dataset,model_a,model_b,rmse,mae,pcc,d_amp,d_morph,d_hf
a5a,R,O1,0.08536680787801743,0.07792017608880997,0.10344248265028,0.08221571147441864,0.05780273202068292,0.14851455967176524
a5a,R,O50,0.3098548948764801,0.2556760907173157,0.008764699101448059,0.8864191770553589,0.490682367277595,0.2679783961458701
a5a,R,M1,0.313651442527771,0.26808154582977295,0.027216244488954544,0.8327523469924927,0.43549379441224395,0.25101634368736453
a5a,O1,O50,0.27815935015678406,0.2198597639799118,0.1829414665699005,0.8042034655809402,0.4328796352569121,0.11946383647410486
a5a,O1,M1,0.2998186945915222,0.25259894132614136,0.16858378052711487,0.750536635518074,0.377691062391561,0.10250178401559928
a5a,O50,M1,0.18645474314689636,0.13421672582626343,0.7471738457679749,0.05366683006286621,0.05518857286535106,0.016962052458505572
a5b,R,O1,0.1339605450630188,0.12238332629203796,0.06122700497508049,0.15532303228974342,0.01945153741366462,0.10065695863832136
a5b,R,O50,0.3158222436904907,0.25614380836486816,0.023005411028862,0.8179756887257099,0.5349005096139687,0.25255232243952014
a5b,R,M1,0.2901187539100647,0.2402721643447876,0.01874607615172863,0.6595497615635395,0.43283997798720447,0.3022254197419365
a5b,O1,O50,0.27124664187431335,0.20283646881580353,0.05888468772172928,0.6626526564359665,0.5154489722003041,0.15189536380119878
a5b,O1,M1,0.29240718483924866,0.24065783619880676,-0.026417002081871033,0.5042267292737961,0.41338844057353985,0.20156846110361515
a5b,O50,M1,0.2338981181383133,0.1834069788455963,0.6528759598731995,0.1584259271621704,0.1020605316267642,0.04967309730241637
a5c,R,O1,0.0788663700222969,0.06499023735523224,0.5190467238426208,0.06768831610679626,0.04859383173583193,0.05907734434790045
a5c,R,O50,0.26021650433540344,0.1971036195755005,0.18045438826084137,0.7232544422149658,0.33918984559451054,0.25743719134080517
a5c,R,M1,0.3490206003189087,0.2968626320362091,0.15074904263019562,0.7856753468513489,0.22038955545983113,0.21475655707502495
a5c,O1,O50,0.23647210001945496,0.16790172457695007,0.24033968150615692,0.6555661261081696,0.2905960138586786,0.19835984699290474
a5c,O1,M1,0.33166661858558655,0.27432456612586975,0.14236246049404144,0.7179870307445526,0.1717957237239992,0.1556792127271245
a5c,O50,M1,0.22612614929676056,0.16816532611846924,0.7100068926811218,0.06242090463638306,0.11880029013467941,0.042680634265780226
