dataset,family,arm,nfe,generative_nfe,latency_ms,hr_abs_err_bpm,morph_corr,amp_abs_dev,rmse,rpeak_f1,cond_gain_bpm,dominated_by,pareto_optimal
a5a,OT-CFM,heun25,50,True,4171.375778387301,8.081092729427047,0.6503153265639183,0.05064183473587036,0.4351275649392758,0.14036863315974094,5.693045666635085,,True
a5a,OT-CFM,heun10,20,True,1648.8109159981832,8.285990577228496,0.6459520311430249,0.04848325252532959,0.433451780089645,0.13990351127105058,5.507340005787855,,True
a5a,OT-CFM,heun5,10,True,826.2126895133406,9.084332854371963,0.6101414180304873,0.02929025888442993,0.425968539286728,0.14065702597938495,4.823450688985677,,True
a5a,OT-CFM,heun2,4,True,328.07309506461024,15.758302223661401,0.41947175481758336,0.20253753662109375,0.42064270719548336,0.1286091825008846,2.0690094473424843,iMeanFlow:meanflow1;iMeanFlow:meanflow2;iMeanFlow:meanflow4,False
a5a,OT-CFM,heun1,2,True,161.5118820918724,30.548145162700678,0.11022907342594264,1.317307472229004,0.621472206307033,0.10016831815011365,-0.15493045496699764,iMeanFlow:meanflow1;iMeanFlow:meanflow2,False
a5a,OT-CFM,euler1,1,True,82.19574391841888,41.96027640636176,0.21743569130700624,0.8548453003168106,0.3035346042771626,0.07949050369540933,0.2366843229750799,iMeanFlow:meanflow1,False
a5a,iMeanFlow,meanflow1,1,True,81.61391550675035,9.581699988908525,0.5951267536985673,0.10430866479873657,0.44262941927513644,0.13947365951136684,4.469424997554066,,True
a5a,iMeanFlow,meanflow2,2,True,162.87214250769466,7.997687270741749,0.6604853502295793,0.07815998792648315,0.4445528635197116,0.1360240021401021,5.600833345386077,,True
a5a,iMeanFlow,meanflow4,4,True,326.91850361879915,7.018449994720021,0.718633856961802,0.07325434684753418,0.43901169027387604,0.13530121144271334,6.586163545102503,,True
a5a,MSE regressor,regressor,1,False,80.09931596461684,35.70836802560895,0.15963295928632332,0.9370610117912292,0.289101723587213,0.01163891321076249,2.370887629392584,iMeanFlow:meanflow1,False
a5b,OT-CFM,heun25,50,True,4155.617106007412,8.15670289799964,0.6832125852714189,0.1304692029953003,0.44825769000025145,0.12505372342972584,8.76593278674805,,True
a5b,OT-CFM,heun10,20,True,1652.0763101289049,7.945792971648919,0.675585305207154,0.1176496148109436,0.4485495628563046,0.12325045660656458,9.03895693365145,,True
a5b,OT-CFM,heun5,10,True,825.6434457143769,8.369833412897995,0.6323711708332528,0.06516605615615845,0.45008949031433126,0.12102747831179492,8.717719724866932,,True
a5b,OT-CFM,heun2,4,True,326.62690756842494,16.404357811012094,0.4073490573586643,0.33608829975128174,0.49876199665620924,0.10674553849728448,3.0549313764250314,iMeanFlow:meanflow1;iMeanFlow:meanflow2;iMeanFlow:meanflow4,False
a5b,OT-CFM,heun1,2,True,162.70996839739382,41.890478709065846,0.07028083102520272,1.5640687942504883,0.7525985189707961,0.0459354408537635,-0.2257728171926061,OT-CFM:euler1;iMeanFlow:meanflow1;iMeanFlow:meanflow2;MSE regressor:regressor,False
a5b,OT-CFM,euler1,1,True,82.42792508099228,35.22759156306307,0.16776361307111487,0.7931218594312668,0.3471263243686486,0.06925443843645096,0.27718377293393814,iMeanFlow:meanflow1,False
a5b,iMeanFlow,meanflow1,1,True,81.70760760549456,11.960474626793436,0.5811520536446547,0.2888951301574707,0.44904694925896776,0.12425425042517227,4.780290084652631,,True
a5b,iMeanFlow,meanflow2,2,True,164.05375895556062,11.557936803903974,0.6064129777629353,0.26084965467453003,0.44618748290496796,0.1241166681327479,6.179127724568087,,True
a5b,iMeanFlow,meanflow4,4,True,327.14355702046305,11.2625241190954,0.6348575404156396,0.24663549661636353,0.44324400238865214,0.11995385252857196,6.096811475275253,,True
a5b,MSE regressor,regressor,1,False,79.68106947373599,32.341899481285004,0.14831207565745025,0.9484448917210102,0.31777789011653984,0.054300863534861646,1.3150007358954596,iMeanFlow:meanflow1,False
a5c,OT-CFM,heun25,50,True,4159.285853966139,9.432528846411996,0.6699211441722588,0.0229758620262146,0.4402715621624593,0.43994307329758187,7.161464014819931,,True
a5c,OT-CFM,heun10,20,True,1630.417665001005,9.576906040677143,0.6480171951637086,0.0011801719665527344,0.4402514554869484,0.4431708844866133,7.438869220935487,,True
a5c,OT-CFM,heun5,10,True,810.8803179347888,9.948644188733123,0.5856768615217333,0.06868469715118408,0.43998743428658865,0.4454509424645614,7.232975194266668,,True
a5c,OT-CFM,heun2,4,True,320.4488705378026,15.374339571090896,0.3774465726711203,0.4787569046020508,0.4753866304572051,0.40204290659039926,3.392338409946664,iMeanFlow:meanflow1;iMeanFlow:meanflow2;iMeanFlow:meanflow4,False
a5c,OT-CFM,heun1,2,True,159.68725294806063,40.614182018588735,0.10595630276246758,2.091973066329956,0.7604765716994627,0.07252099036302953,0.30443854878775767,OT-CFM:euler1;iMeanFlow:meanflow1;iMeanFlow:meanflow2;MSE regressor:regressor,False
a5c,OT-CFM,euler1,1,True,81.48579648695886,15.587550388752447,0.37932513031358017,0.6785419881343842,0.35458242538430174,0.481116791562724,6.63650266635911,iMeanFlow:meanflow1,False
a5c,iMeanFlow,meanflow1,1,True,81.42671245150268,11.854721169673326,0.5511208540375794,0.03944504261016846,0.48519355715759716,0.3851953066294742,4.287975748876137,,True
a5c,iMeanFlow,meanflow2,2,True,162.79643401503563,11.621396709195006,0.6008907706747217,0.06366735696792603,0.4667518020361289,0.3941800068374055,5.168017367760459,,True
a5c,iMeanFlow,meanflow4,4,True,319.6794521063566,12.184291892968218,0.6372498044969898,0.05214214324951172,0.46095482853151454,0.3973189030613974,5.390491316092541,,True
a5c,MSE regressor,regressor,1,False,79.7253935597837,19.223535993395238,0.33073129857774825,0.7462303042411804,0.3431380928010771,0.4363189879953858,5.697021277791858,OT-CFM:euler1;iMeanFlow:meanflow1,False
