dataset,model_a,model_b,rmse,mae,pcc,d_amp,d_morph,d_hf
a6a,Rfull,Rsmall,0.041784752160310745,0.037663254886865616,0.23684681951999664,0.0011707767844200134,0.015573740212308368,0.005253090245934211
a6a,Rfull,O1,0.08172300457954407,0.07447091490030289,0.1259656846523285,0.08104493468999863,0.042228991808374555,0.14326146942583104
a6a,Rfull,O50,0.3079036474227905,0.2537565529346466,0.01359391026198864,0.8852484002709389,0.47510862706528667,0.26272530589993587
a6a,Rfull,M1,0.31521594524383545,0.27002742886543274,0.03348911926150322,0.8315815702080727,0.4199200541999356,0.24576325344143032
a6b,Rfull,Rsmall,0.04426831379532814,0.04095384106040001,0.16189877688884735,0.015347722917795181,0.03535903520909306,0.004364539309283132
a6b,Rfull,O1,0.12036839127540588,0.10923092812299728,0.12084809690713882,0.1706707552075386,0.015907497795428438,0.09629241932903823
a6b,Rfull,O50,0.30805978178977966,0.24760091304779053,0.024306034669280052,0.8333234116435051,0.4995414744048756,0.248187783130237
a6b,Rfull,M1,0.28336384892463684,0.23316073417663574,0.0027768320869654417,0.6748974844813347,0.3974809427781114,0.29786088043265335
a6c,Rfull,Rsmall,0.045028094202280045,0.03609995171427727,0.6716993451118469,0.012372836470603943,0.014682049342856995,0.0010511753071888522
a6c,Rfull,O1,0.07810826599597931,0.06334321945905685,0.5116584897041321,0.08006115257740021,0.06327588107868892,0.05802616904071159
a6c,Rfull,O50,0.2592918574810028,0.19421011209487915,0.17993655800819397,0.7356272786855698,0.35387189493736754,0.2563860160336163
a6c,Rfull,M1,0.3486572504043579,0.29533931612968445,0.15312476456165314,0.7980481833219528,0.23507160480268813,0.2137053817678361
