arm,rmse_all,rmse_peak,rmse_nonpeak,peak_over_nonpeak,peak_region_energy_ratio,slope_ratio,peak_amp_ae
O50,16.11882898699942,19.013842670712755,12.986458584106645,1.4641283878564606,1.674920457341265,1.2025272555262763,15.93356645531898
O20,15.145353535342599,17.605286116370987,12.388402220949509,1.4211103096571585,1.3717231431577404,1.0866836912847828,15.705017190382966
O10,14.825744317192177,17.07207056549439,12.247077180204434,1.3939710115560335,1.2357549513878607,1.0051734428138424,15.617754582299282
O4,14.686274119478472,16.786945115426743,12.2255708984586,1.373101121808818,1.1499452708980402,0.9716973200027025,15.533675937091603
O2,14.64878509783849,16.7104453683073,12.210903328197318,1.3684856000554584,1.1103182023052218,0.9425875351406257,15.537302955169409
O1,14.64498962155249,16.706549228226773,12.209769688527137,1.3682935595357721,1.0898349983484812,0.9312310524778832,15.645719598870063
M1,32.26457697939144,40.896319160294844,24.49741568891589,1.6694136099751455,2.1006259201916024,6.126473105580922,20.29743171391261
M2,28.8251541892861,36.08069480218568,22.184442372995345,1.6263962913986043,1.8139929573305136,3.0964571772432725,19.18659800118269
M4,26.633674336451456,32.38840787990298,21.23550332054127,1.5252008577811018,1.6088044504281214,2.2969546136196257,17.76466349052817
R,13.095030907529583,15.204899095829571,10.602161770790078,1.4341319652111377,1.1327015907613471,0.9078339243419129,14.171550076303228
