scale,arm,rmse_all,rmse_peak,rmse_nonpeak,peak_over_nonpeak,peak_region_energy_ratio,slope_ratio,peak_amp_ae
raw,O50,16.11882898699942,19.013842670712755,12.986458584106645,1.4641283878564606,1.674920457341265,1.2025272555262763,15.93356645531898
raw,O20,15.145353535342599,17.605286116370987,12.388402220949509,1.4211103096571585,1.3717231431577404,1.0866836912847828,15.705017190382966
raw,O10,14.825744317192177,17.07207056549439,12.247077180204434,1.3939710115560335,1.2357549513878607,1.0051734428138424,15.617754582299282
raw,O4,14.686274119478472,16.786945115426743,12.2255708984586,1.373101121808818,1.1499452708980402,0.9716973200027025,15.533675937091603
raw,O2,14.64878509783849,16.7104453683073,12.210903328197318,1.3684856000554584,1.1103182023052218,0.9425875351406257,15.537302955169409
raw,O1,14.64498962155249,16.706549228226773,12.209769688527137,1.3682935595357721,1.0898349983484812,0.9312310524778832,15.645719598870063
raw,M1,32.26457697939144,40.896319160294844,24.49741568891589,1.6694136099751455,2.1006259201916024,6.126473105580922,20.29743171391261
raw,M2,28.8251541892861,36.08069480218568,22.184442372995345,1.6263962913986043,1.8139929573305136,3.0964571772432725,19.18659800118269
raw,M4,26.633674336451456,32.38840787990298,21.23550332054127,1.5252008577811018,1.6088044504281214,2.2969546136196257,17.76466349052817
raw,R,13.095030907529583,15.204899095829571,10.602161770790078,1.4341319652111377,1.1327015907613471,0.9078339243419129,14.171550076303228
global-z,O50,17.792041476220543,20.437712224255137,14.728801920354973,1.387601811387696,1.4403307773858807,1.1882452456906107,18.028565169121386
global-z,O20,17.01934294381343,19.665169323722694,13.985115281983754,1.406149962099793,1.4492745462235666,1.5360018188592846,17.072454100498906
global-z,O10,16.041193541480986,18.56030567230269,13.247022510720132,1.4010926347624753,1.478555171044199,2.122277858810231,15.68894302906161
global-z,O4,15.690762362556512,17.768870369385077,13.571076297482376,1.309319171146466,1.618504290018106,3.622326484249379,14.760794415412644
global-z,O2,18.87020459126524,20.45299187844844,17.317587922719543,1.1810531564627111,2.308761720235691,7.371147934574294,20.453855384988852
global-z,O1,13.43427519992623,15.546374542674991,11.000193788113378,1.4132818786769137,1.3091625510778664,1.0003956257381492,13.881736982094198
global-z,M1,18.198162358643533,21.434865824103877,14.73646738768665,1.4545457374685473,1.5765640377976662,1.489189052989645,18.742735368258618
global-z,M2,16.74233036832518,19.53521749560316,13.620207724439352,1.4342819060351215,1.2061100194374372,1.0829957408760942,18.26733239205949
global-z,M4,16.335814992378545,19.128022130608038,13.177939989126058,1.451518381961958,1.0839193974156611,1.059251474781798,18.375666182696502
global-z,R,13.03072886362867,15.189458060160474,10.538036257939568,1.4413936039284767,1.1185056988675868,0.9109353576130595,13.78793064990175
