arm,nfe,K,rule,total_nfe,hr_err,ci_lo,ci_hi
iMF,1,1,median,1,10.077943594556466,9.703782470271344,10.45947700145213
iMF,1,1,mean,1,10.077943594556466,9.703782470271344,10.45947700145213
iMF,1,1,trim20,1,10.077943594556466,9.703782470271344,10.45947700145213
iMF,1,2,median,2,9.507250001937187,9.144334806365183,9.871955883163599
iMF,1,2,mean,2,9.507250001937187,9.144334806365183,9.871955883163599
iMF,1,2,trim20,2,9.507250001937187,9.144334806365183,9.871955883163599
iMF,1,4,median,4,7.887180414182354,7.536150321985017,8.252964301057645
iMF,1,4,mean,4,8.919135976194607,8.586756922750729,9.261434112469859
iMF,1,4,trim20,4,7.887180414182354,7.536150321985017,8.252964301057645
iMF,1,8,median,8,7.110769870997838,6.753638822026531,7.48219299342288
iMF,1,8,mean,8,8.583093765733508,8.253496299043576,8.935861289145071
iMF,1,8,trim20,8,7.625957754671891,7.28185300090251,7.9943783132988555
iMF,1,16,median,16,6.674682537654346,6.311970082992265,7.046773782830049
iMF,1,16,mean,16,8.352677877540598,8.02402114953917,8.700223777611324
iMF,1,16,trim20,16,7.045221795086453,6.6987145177400835,7.405880407271668
iMF,1,32,median,32,6.453671656837048,6.094205937284744,6.8298468659163065
iMF,1,32,mean,32,8.24416028689782,7.917498720130571,8.586586335388526
iMF,1,32,trim20,32,6.8913655132203315,6.549207981033791,7.245882282316194
iMF,2,1,median,2,9.285332464907594,8.917721253178385,9.654334491005894
iMF,2,1,mean,2,9.285332464907594,8.917721253178385,9.654334491005894
iMF,2,1,trim20,2,9.285332464907594,8.917721253178385,9.654334491005894
iMF,2,2,median,4,8.762826663052161,8.415813055583751,9.119313999143653
iMF,2,2,mean,4,8.762826663052161,8.415813055583751,9.119313999143653
iMF,2,2,trim20,4,8.762826663052161,8.415813055583751,9.119313999143653
iMF,2,4,median,8,7.1551705840485855,6.794909026469001,7.521373816589952
iMF,2,4,mean,8,8.173233098355961,7.838669120530287,8.518078410527245
iMF,2,4,trim20,8,7.1551705840485855,6.794909026469001,7.521373816589952
iMF,2,8,median,16,6.501861073312294,6.139052432701571,6.875567814274956
iMF,2,8,mean,16,7.849172942003172,7.515619419401481,8.193786058504326
iMF,2,8,trim20,16,6.924791203251856,6.5693769289956,7.282152766965303
iMF,2,16,median,32,6.175685382603318,5.805581026091796,6.55898851834681
iMF,2,16,mean,32,7.597855623655717,7.264430157660316,7.943246108040351
iMF,2,16,trim20,32,6.383393533196899,6.024033808127286,6.751724291571899
CD,1,1,median,1,7.8764743236527535,7.488052827674234,8.254471226784402
CD,1,1,mean,1,7.8764743236527535,7.488052827674234,8.254471226784402
CD,1,1,trim20,1,7.8764743236527535,7.488052827674234,8.254471226784402
CD,1,2,median,2,7.5680391569374,7.200330654888805,7.931425697608762
CD,1,2,mean,2,7.5680391569374,7.200330654888805,7.931425697608762
CD,1,2,trim20,2,7.5680391569374,7.200330654888805,7.931425697608762
CD,1,4,median,4,6.774242665392302,6.391006322754174,7.1556192210532075
CD,1,4,mean,4,7.187001832322494,6.81938185139975,7.556538309855244
CD,1,4,trim20,4,6.774242665392302,6.391006322754174,7.1556192210532075
CD,1,8,median,8,6.385450314476423,6.012102922622323,6.7764489352490935
CD,1,8,mean,8,6.86453764948813,6.502775302076667,7.242539000577261
CD,1,8,trim20,8,6.31302642214424,5.947952385635506,6.68955399553584
CD,1,16,median,16,6.228603629671313,5.850176164585994,6.620194074599548
CD,1,16,mean,16,6.700391826559328,6.334847511560547,7.070601013643751
CD,1,16,trim20,16,6.018192045144289,5.643018869656891,6.4004123202208465
CD,1,32,median,32,6.137938457926438,5.760082389083188,6.535381187520972
CD,1,32,mean,32,6.611139293335403,6.251951424751217,6.98315666821392
CD,1,32,trim20,32,5.90535538957581,5.533769712741971,6.292072687446504
PENGUIN,1,1,median,1,7.328804273720836,6.896245370002915,7.776290260328445
