model,S,K,n_windows_rho,rho_bar,rho_bar_lo,rho_bar_hi,rho_bar_fisher_z,gain_G,gain_lo,gain_hi,center_err_C,individual_err_I,MAD,SD,wave_RMS,feature_div,K_eff,sqrt_1_over_Keff,observed_C_over_I
iMF,1,16,18171,0.5576849231813393,0.531497574598632,0.5824027371897026,0.5577124637534325,3.44610559042763,3.3550996052700395,3.5373445329284383,6.674682552904308,10.12078814333194,3.488224069604906,10.227588638359867,0.47667799519848464,1.2886365967004374,1.708439097474452,0.765068373076881,0.6595022500596368
iMF,2,16,17820,0.5859149370810605,0.5576858351994055,0.6121737840826756,0.5859524256464957,3.2362671924594655,3.1465570600183934,3.321315105810833,6.1756853879591,9.411952580418564,3.036305411587383,9.587017572880834,0.5050402297637473,1.5226947365259071,1.6345337664146218,0.7821734165218697,0.6561534745518722
iMF,4,16,17139,0.6448224608369933,0.6142273545166891,0.6728911299752657,0.6448557187346299,2.7521698469048523,2.675084206105172,2.8288452336926952,6.221372742204904,8.973542589109757,2.8085602290096965,8.612502666796072,0.489754162126847,1.540289231983308,1.4992030453215597,0.8167135709872104,0.6933017457068883
iMF,8,16,16639,0.6711128059995727,0.6393364111011196,0.7002310298666601,0.6711680112740062,2.5300586590455523,2.455384865728018,2.602951717444593,6.30363098939864,8.833689648444192,2.713504766653887,8.176575161448728,0.4878801360056173,1.4355613229749737,1.4457798111566746,0.8316659519450098,0.7135898181015278
consistency distillation,1,16,17839,0.7284893822821581,0.7018628027230904,0.7520891291003855,0.7285213701254096,2.02014112280087,1.9516702835608644,2.0893637235618,6.228603624596038,8.248744747396907,2.732660197199259,6.9174147195366675,0.4224779014095615,1.2658063413034042,1.3414557659176105,0.8633995574990313,0.755097146940039
consistency distillation,2,16,18910,0.6279894168935833,0.6047171446706741,0.6494864152562319,0.6280181502505771,2.70422010231535,2.6252373995764695,2.784611847138056,6.253283550720657,8.957503653036007,3.0378479835696144,8.41216071184975,0.46184327289540733,1.3251402630854245,1.5355320307565563,0.8069944723092807,0.6981056098817446
consistency distillation,4,16,18402,0.6668926690232759,0.6420537555321211,0.6895024127522764,0.6669240098607238,2.4364134642494144,2.3581020215346338,2.5109859277041644,6.202630711939943,8.639044176189358,2.918835199531062,7.7973273014980435,0.4742901644863183,1.344238342916223,1.454097323515654,0.829283954510951,0.7179765012702938
consistency distillation,8,16,18457,0.678201266645537,0.6535690003657977,0.7006234663715464,0.678241219716369,2.210431555688863,2.1350626338595133,2.285205022899849,6.171020312068636,8.3814518677575,2.766017121541204,7.320501249590269,0.4718862774066561,1.3710113541201585,1.432021193238271,0.8356516543872757,0.7362710434224237
PENGUIN (Euler),1,16,16797,0.8580002136584345,0.838618374967929,0.874441254697377,0.8581426633217353,1.2379889940487427,1.1701585102941525,1.3078407694827578,7.4375054668933815,8.675494460942122,2.5303622067041873,5.7097894745596145,0.07372026875008435,0.35394244434567984,1.153568587091213,0.9310613300447949,0.8573004686220156
PENGUIN (Euler),2,16,17631,0.7894367287963974,0.7649991139158524,0.8106379104773297,0.7894859737206265,1.7204898919358484,1.6607899194630755,1.783583031493796,6.348723870801045,8.069213762736894,2.627080169610983,6.178277438656447,0.21856602706512268,0.8832366451896277,1.2459554211786645,0.8958777445871856,0.7867834534411569
PENGUIN (Euler),4,16,18016,0.7170125396270393,0.6919921143425629,0.7396433576704416,0.717056816585234,2.1316261719518197,2.0649344709711244,2.1981770227092263,6.128350370386146,8.259976542337968,2.6915602392508555,7.089029498470097,0.3329805537097642,1.250281923330423,1.361101147127927,0.8571459945075572,0.7419331446008598
PENGUIN (Euler),8,16,19116,0.6517997860747607,0.6286621538848207,0.6731097561888706,0.6518556001756085,2.4344893826330103,2.362616869804194,2.504110504742913,6.02821464632997,8.462704028962978,2.6829631350309153,7.70867424444756,0.4046212032355547,1.322025064059367,1.4846436637321394,0.8207084131682142,0.7123272450151691
