model,seed,S,K,groups,draws_used,operator,hr_err
consistency distillation,42,1,1,32,32,median,8.266568290675066
consistency distillation,42,1,1,32,32,mean,8.266568290675066
consistency distillation,42,1,1,32,32,trimmed20,8.266568290675066
consistency distillation,42,1,2,16,32,median,7.701651174676408
consistency distillation,42,1,2,16,32,mean,7.701651174676408
consistency distillation,42,1,2,16,32,trimmed20,7.701651174676408
consistency distillation,42,1,3,10,30,median,6.975540251912358
consistency distillation,42,1,3,10,30,mean,7.403105690259241
consistency distillation,42,1,3,10,30,trimmed20,7.403105690259241
consistency distillation,42,1,4,8,32,median,6.782429699778601
consistency distillation,42,1,4,8,32,mean,7.22445798440583
consistency distillation,42,1,4,8,32,trimmed20,7.22445798440583
consistency distillation,42,1,8,4,32,median,6.411761298153621
consistency distillation,42,1,8,4,32,mean,6.907830474488908
consistency distillation,42,1,8,4,32,trimmed20,6.5100208333108425
consistency distillation,42,1,16,2,32,median,6.237285911416367
consistency distillation,42,1,16,2,32,mean,6.720475916875377
consistency distillation,42,1,16,2,32,trimmed20,6.244625454490266
consistency distillation,42,1,32,1,32,median,6.1379384424728745
consistency distillation,42,1,32,1,32,mean,6.611139490246456
consistency distillation,42,1,32,1,32,trimmed20,6.155789262865492
consistency distillation,1,1,1,32,32,median,9.017516412856716
consistency distillation,1,1,1,32,32,mean,9.017516412856716
consistency distillation,1,1,1,32,32,trimmed20,9.017516412856716
consistency distillation,1,1,2,16,32,median,8.377215748531881
consistency distillation,1,1,2,16,32,mean,8.377215748531881
consistency distillation,1,1,2,16,32,trimmed20,8.377215748531881
consistency distillation,1,1,3,10,30,median,7.321289501926866
consistency distillation,1,1,3,10,30,mean,8.061041979253009
consistency distillation,1,1,3,10,30,trimmed20,8.061041979253009
consistency distillation,1,1,4,8,32,median,7.123689413488491
consistency distillation,1,1,4,8,32,mean,7.8697169388435535
consistency distillation,1,1,4,8,32,trimmed20,7.8697169388435535
consistency distillation,1,1,8,4,32,median,6.562754249799348
consistency distillation,1,1,8,4,32,mean,7.5301986836253025
consistency distillation,1,1,8,4,32,trimmed20,6.902224831442384
consistency distillation,1,1,16,2,32,median,6.321262342810058
consistency distillation,1,1,16,2,32,mean,7.322457649399395
consistency distillation,1,1,16,2,32,trimmed20,6.497324768393221
consistency distillation,1,1,32,1,32,median,6.1962077486940785
consistency distillation,1,1,32,1,32,mean,7.204255863667096
consistency distillation,1,1,32,1,32,trimmed20,6.374996842266197
consistency distillation,2,1,1,32,32,median,9.342985902435988
consistency distillation,2,1,1,32,32,mean,9.342985902435988
consistency distillation,2,1,1,32,32,trimmed20,9.342985902435988
consistency distillation,2,1,2,16,32,median,8.670508525985388
consistency distillation,2,1,2,16,32,mean,8.670508525985388
consistency distillation,2,1,2,16,32,trimmed20,8.670508525985388
consistency distillation,2,1,3,10,30,median,7.590974474163042
consistency distillation,2,1,3,10,30,mean,8.335319104339503
consistency distillation,2,1,3,10,30,trimmed20,8.335319104339503
consistency distillation,2,1,4,8,32,median,7.387294080729699
consistency distillation,2,1,4,8,32,mean,8.132436987727987
consistency distillation,2,1,4,8,32,trimmed20,8.132436987727989
consistency distillation,2,1,8,4,32,median,6.831255109508609
consistency distillation,2,1,8,4,32,mean,7.761787045135789
consistency distillation,2,1,8,4,32,trimmed20,7.145449111135055
consistency distillation,2,1,16,2,32,median,6.566629840607037
consistency distillation,2,1,16,2,32,mean,7.53032098006854
consistency distillation,2,1,16,2,32,trimmed20,6.734882347133791
consistency distillation,2,1,32,1,32,median,6.444247079121831
consistency distillation,2,1,32,1,32,mean,7.392890419881438
consistency distillation,2,1,32,1,32,trimmed20,6.602425069731869
iMF,42,2,1,32,32,median,9.422194408965474
iMF,42,2,1,32,32,mean,9.422194408965474
iMF,42,2,1,32,32,trimmed20,9.422194408965474
iMF,42,2,2,16,32,median,8.738089573769248
iMF,42,2,2,16,32,mean,8.738089573769248
iMF,42,2,2,16,32,trimmed20,8.738089573769248
iMF,42,2,3,10,30,median,7.403884456353887
iMF,42,2,3,10,30,mean,8.400301472797592
iMF,42,2,3,10,30,trimmed20,8.400301472797592
iMF,42,2,4,8,32,median,7.185177958480285
iMF,42,2,4,8,32,mean,8.204037094919762
iMF,42,2,4,8,32,trimmed20,8.204037094919762
iMF,42,2,8,4,32,median,6.5182430925180235
iMF,42,2,8,4,32,mean,7.858497428628467
iMF,42,2,8,4,32,trimmed20,7.008991144581915
iMF,42,2,16,2,32,median,6.196552900161677
iMF,42,2,16,2,32,mean,7.634843794391244
iMF,42,2,16,2,32,trimmed20,6.512207997704363
iMF,42,2,32,1,32,median,6.055597510644071
iMF,42,2,32,1,32,mean,7.504705759504671
iMF,42,2,32,1,32,trimmed20,6.3694284418375755
iMF,1,2,1,32,32,median,8.594741392157296
