model,B,K,S,hr_err,ci_lo,ci_hi
iMF,1,1,1,10.077943594556466,9.703782470271344,10.45947700145213
iMF,2,2,1,9.507250001937187,9.144334806365183,9.871955883163599
iMF,2,1,2,9.285332464907594,8.917721253178385,9.654334491005894
iMF,4,4,1,7.887180414182354,7.536150321985017,8.252964301057645
iMF,4,2,2,8.762826663052161,8.415813055583751,9.119313999143653
iMF,4,1,4,8.549733269129337,8.16147007610429,8.933381220434347
iMF,8,8,1,7.110769870997838,6.753638822026531,7.48219299342288
iMF,8,4,2,7.1551705840485855,6.794909026469001,7.521373816589952
iMF,8,2,4,8.316009191826769,7.953093316109991,8.682265855767001
iMF,8,1,8,8.189788361690624,7.80145830234829,8.590466333997666
iMF,16,16,1,6.674682537654346,6.311970082992265,7.046773782830049
iMF,16,8,2,6.501861073312294,6.139052432701571,6.875567814274956
iMF,16,4,4,7.019836926154696,6.651369017565388,7.388197054021814
iMF,16,2,8,8.083240892937022,7.713425231522646,8.469648307393658
iMF,16,1,16,8.14050896147911,7.757215538914119,8.542637908394383
iMF,32,32,1,6.453671656837048,6.094205937284744,6.8298468659163065
iMF,32,16,2,6.175685382603318,5.805581026091796,6.55898851834681
iMF,32,8,4,6.477859413469943,6.109732088527844,6.853683677064962
iMF,32,4,8,6.9761963849735045,6.609718833327047,7.366729191992788
iMF,32,2,16,8.057184779463476,7.692270357430718,8.441856498263489
iMF,32,1,32,8.099638959553282,7.705040789245592,8.5155852266152
consistency distillation,1,1,1,7.8764743236527535,7.488052827674234,8.254471226784402
consistency distillation,2,2,1,7.5680391569374,7.200330654888805,7.931425697608762
consistency distillation,2,1,2,8.919204260834276,8.547316835853831,9.299428918398267
consistency distillation,4,4,1,6.774242665392302,6.391006322754174,7.1556192210532075
consistency distillation,4,2,2,8.2803551043182,7.934177214524327,8.640158619253201
consistency distillation,4,1,4,8.423682488100184,8.05949270954867,8.812277931641704
consistency distillation,8,8,1,6.385450314476423,6.012102922622323,6.7764489352490935
consistency distillation,8,4,2,7.078283036475433,6.722245423370318,7.44107740302538
consistency distillation,8,2,4,7.9721356268166135,7.618886609170392,8.342957180067245
consistency distillation,8,1,8,8.23426867354283,7.884708820231509,8.60337858880891
consistency distillation,16,16,1,6.228603629671313,5.850176164585994,6.620194074599548
consistency distillation,16,8,2,6.537166401505916,6.169358194462282,6.91324860396335
consistency distillation,16,4,4,6.897915127946358,6.536429863653847,7.2691852563024915
consistency distillation,16,2,8,7.784892148526368,7.439122278922165,8.149870988990157
consistency distillation,16,1,16,8.11932498411641,7.756803459140687,8.518700107058875
consistency distillation,32,32,1,6.137938457926438,5.760082389083188,6.535381187520972
consistency distillation,32,16,2,6.253283551428916,5.881213329204026,6.626953916305247
consistency distillation,32,8,4,6.4636787663978845,6.108809749730971,6.834419605363981
consistency distillation,32,4,8,6.830112299626917,6.4720728260284766,7.20213053832573
consistency distillation,32,2,16,7.754779090347593,7.396332358885271,8.131004721969541
consistency distillation,32,1,32,8.062555008971021,7.6876185216370185,8.44733043044782
PENGUIN (Euler),1,1,1,7.328804273720836,6.896245370002915,7.776290260328445
PENGUIN (Euler),2,2,1,7.742728985392362,7.319171458116513,8.179438774711308
PENGUIN (Euler),2,1,2,7.628322478055693,7.233415067052434,8.02725756265488
PENGUIN (Euler),4,4,1,7.639545507529868,7.228189801539074,8.068132446527416
PENGUIN (Euler),4,2,2,7.480300599312534,7.105480667744996,7.858474831139637
PENGUIN (Euler),4,1,4,7.974126733114465,7.587852745512683,8.359475659861147
PENGUIN (Euler),8,8,1,7.541101411970241,7.117256192298788,7.973109198492835
PENGUIN (Euler),8,4,2,6.8326426568425225,6.451539417582291,7.23295594084926
PENGUIN (Euler),8,2,4,7.6651129878318995,7.307081353147523,8.032489132095016
PENGUIN (Euler),8,1,8,8.476968321149002,8.116845394943887,8.842122463950497
PENGUIN (Euler),16,16,1,7.437505470354341,7.02628973941013,7.860354673895303
PENGUIN (Euler),16,8,2,6.510419563659826,6.132471345551354,6.909576821699448
PENGUIN (Euler),16,4,4,6.678672140128504,6.305714376323597,7.055047872276061
PENGUIN (Euler),16,2,8,7.8116609257313945,7.4621823478695255,8.162357125101739
PENGUIN (Euler),16,1,16,8.873394433970072,8.52393791399792,9.227282153959234
PENGUIN (Euler),32,32,1,7.365757264068636,6.945644991901604,7.78828381206175
PENGUIN (Euler),32,16,2,6.348723870127087,5.970934351509564,6.746316245585832
PENGUIN (Euler),32,8,4,6.304229131711386,5.934884483785052,6.695680838591935
PENGUIN (Euler),32,4,8,6.713447712011302,6.347960347498496,7.084813563855234
PENGUIN (Euler),32,2,16,8.191431583175811,7.847210581852923,8.530209462073362
PENGUIN (Euler),32,1,32,9.274970956444053,8.92073888059743,9.623844840645035
