model,S,K,hr_sd_across_samples,sd_lo,sd_hi,single_err,consensus_err,gain,gain_lo,gain_hi,frac_windows_all_samples_identical_hr
iMF,1,32,10.370103274213895,10.208247344198288,10.537933144611843,10.12645269064679,6.453671669548128,3.6727810210986624,3.574086219918402,3.767715924247439,0.0
iMF,2,16,9.273347791197166,9.12316427455053,9.428816450881047,9.411952580418564,6.1756853879591,3.2362671924594655,3.153953949654665,3.3199188767974372,0.0
iMF,4,8,7.372218690802516,7.224063150108093,7.526969879081271,8.984889113888995,6.477859420637542,2.507029693251453,2.436963252715465,2.5799683861075415,0.0001535076497978816
iMF,8,4,5.397355673402886,5.264024210957191,5.543435081768911,8.78228865878783,6.976196386095431,1.8060922726924016,1.74805845547431,1.8724257327240688,0.010643197052653123
iMF,16,2,3.1482859028879666,3.0498276103344333,3.2543238329602664,8.570764800388181,8.057184781388658,0.5135800189995224,0.48091942572879487,0.5504115931529246,0.09051834416415085
iMF,32,1,nan,nan,nan,8.099638959553282,8.099638959553282,0.0,0.0,0.0,nan
consistency distillation,1,32,7.165235734284381,7.021829060316108,7.312868411457135,8.266568290675067,6.137938442472874,2.1286298482021926,2.064908920823388,2.195417929996044,0.0
consistency distillation,2,16,8.142968554521286,7.987773443065484,8.303312186821321,8.957503653036007,6.253283550720658,2.70422010231535,2.6275501222277735,2.7799099456819256,0.0
consistency distillation,4,8,6.82741794418072,6.670207399118984,6.991814420193388,8.648502951476896,6.463678799833207,2.184824151643689,2.1173156417665817,2.2595745997116397,0.0
consistency distillation,8,4,5.329070950879382,5.181998473776519,5.477727854355775,8.41152650656888,6.830112312059604,1.5814141945092757,1.5220939804503635,1.639488944460191,0.0003070152995957632
consistency distillation,16,2,3.233566657893525,3.1149366175081084,3.3651478599252362,8.306626001256152,7.754779071736631,0.5518469295195187,0.5166310205827228,0.588209627335789,0.058179399273397124
consistency distillation,32,1,nan,nan,nan,8.062555008971021,8.062555008971021,0.0,0.0,0.0,nan
PENGUIN (Euler),1,32,5.922586527453864,5.730483533086874,6.117837040565407,8.681605463965326,7.365757262353727,1.3158482016115984,1.2503158926413867,1.3843686662442607,0.0
PENGUIN (Euler),2,16,5.955043189727489,5.8110669565218265,6.104534203664647,8.069213762736894,6.348723870801047,1.7204898919358482,1.6613962173155667,1.7814000450984073,0.0
PENGUIN (Euler),4,8,6.149908473031008,6.00872735510983,6.298654569001114,8.26176665273064,6.304229119338268,1.9575375333923724,1.8929406538654516,2.027732178837976,0.0
PENGUIN (Euler),8,4,5.58214090071676,5.452562895962136,5.716317384801848,8.455890482261733,6.713447733157571,1.742442749104161,1.6869547974903507,1.8022036256093554,0.0001535076497978816
PENGUIN (Euler),16,2,4.091853545657206,3.9847377649952485,4.198272333522581,8.836254720385298,8.191431594453585,0.6448231259317115,0.6118384108782323,0.6811785766411599,0.03203192959115796
PENGUIN (Euler),32,1,nan,nan,nan,9.274970956444053,9.274970956444053,0.0,0.0,0.0,nan
