model,S,K,wave_pairwise_rms,wave_lo,wave_hi,feat_pairwise_rms,feat_lo,feat_hi,feat_dist_to_target,sample_std_of_waveform
iMF,1,8,0.4780959329496984,0.47324247484418885,0.4832135798804997,1.2930338457753061,1.2806300031915776,1.3068285001335105,1.9937651428648815,0.3311961946037601
iMF,2,8,0.5061128423908067,0.5008236093616302,0.5114963368222512,1.529731494392939,1.5143312322630837,1.546069016216029,1.8076584867018428,0.35276727189089296
iMF,4,8,0.4907406786246084,0.48573117742445626,0.49592027545055756,1.5469410682141018,1.5306925970269516,1.5640829898262998,1.8114084199224922,0.3365637668697271
iMF,8,4,0.48828562089044375,0.4812408135026197,0.4952510809200713,1.4501221487373515,1.4246566900139597,1.4766208786214705,1.906327567998229,0.28801015505927036
iMF,16,2,0.4844273804460131,0.4738404672088533,0.49597371878282875,1.4030833330964638,1.363510403064799,1.4466232509811374,1.9781550002959418,0.19541444815909131
iMF,32,1,nan,nan,nan,nan,nan,nan,1.9957771567125486,nan
consistency distillation,1,8,0.42319052974255095,0.4190837404396814,0.4275657849882666,1.275258313897276,1.2611167919880812,1.2892689745551897,1.577740721224684,0.28271491729292825
consistency distillation,2,8,0.4626475217942056,0.4585997926621916,0.46699889010794937,1.3361833108829482,1.3200326839993852,1.3534911892201205,1.5586276230255038,0.3026488423222881
consistency distillation,4,8,0.47494719780151573,0.47062025346748493,0.4798122243132351,1.3709533741885587,1.354019534827535,1.3887860557097023,1.6542536997593864,0.30848664087993977
consistency distillation,8,4,0.4710037037534114,0.46468475095458295,0.47746583870817255,1.3855014657408362,1.3602756390580317,1.411450773597814,1.6919662473652854,0.26029117375010163
consistency distillation,16,2,0.46534487408556774,0.45625093317944104,0.47556400109385316,1.4041814733300155,1.3541825841407442,1.4582647433133828,1.8186948839399233,0.17179261859255365
consistency distillation,32,1,nan,nan,nan,nan,nan,nan,1.9456545132902445,nan
PENGUIN (Euler),1,8,0.07391541988535776,0.07248830683414648,0.07543438948996506,0.35452300551075183,0.3486437269926246,0.3612657326916434,2.756952240184503,0.05252107618967773
PENGUIN (Euler),2,8,0.2190399247055106,0.21728114185185313,0.22081239104470754,0.8900678958969029,0.8799343915497613,0.9006025233306703,1.642456018812556,0.1312708646885841
PENGUIN (Euler),4,8,0.3336858452128949,0.3309398923623144,0.336614338656067,1.26690020372793,1.2508175744977428,1.283668215778744,1.5736852440833917,0.20547203419815
PENGUIN (Euler),8,4,0.4039501941011472,0.39969617767290905,0.40852038927422474,1.346346934526001,1.3205575359747121,1.3729104617454355,1.545640469780647,0.22388086351831396
PENGUIN (Euler),16,2,0.4404929015173744,0.43304593115764783,0.44849121112980683,1.3856201365024452,1.3434421548734503,1.4296819278688138,1.531857772458449,0.1716256277668093
PENGUIN (Euler),32,1,nan,nan,nan,nan,nan,nan,1.5192011361309967,nan
