model,seed,allocation,K,S,hr_err,ci_lo,ci_hi
iMF,42,width,32,1,6.453671656837048,6.094205937284744,6.8298468659163065
iMF,42,best,16,2,6.175685382603318,5.805581026091796,6.55898851834681
iMF,42,depth,1,32,8.099638959553282,7.705040789245592,8.5155852266152
iMF,1,width,32,1,6.183090920449978,5.8097049692119285,6.5685750851616715
iMF,1,best,16,2,6.11545020354873,5.7408237029638,6.509382749060955
iMF,1,depth,1,32,7.966938357333681,7.563789481630321,8.365308265922614
iMF,2,width,32,1,6.221481887470536,5.860279372567623,6.59700668783519
iMF,2,best,16,2,6.183912407648046,5.824303891443173,6.556335959565859
iMF,2,depth,1,32,8.698458890998358,8.3123243056716,9.098753045785525
consistency distillation,42,width,32,1,6.137938457926438,5.760082389083188,6.535381187520972
consistency distillation,42,balanced,16,2,6.253283551428916,5.881213329204026,6.626953916305247
consistency distillation,42,depth,1,32,8.062555008971021,7.6876185216370185,8.44733043044782
consistency distillation,1,width,32,1,6.1962077486940785,5.827565803400646,6.5845329941105435
consistency distillation,1,balanced,16,2,6.467961929148672,6.1054182425871195,6.828648075953196
consistency distillation,1,depth,1,32,11.725440315033751,11.323317931332317,12.09469541957371
consistency distillation,2,width,32,1,6.444247079121831,6.065903498010624,6.838441031561104
consistency distillation,2,balanced,16,2,6.980525511985579,6.626655186957648,7.345728654539169
consistency distillation,2,depth,1,32,10.621552504703425,10.236570145381036,11.014149530341891
PENGUIN (Euler),42,width,32,1,7.365757264068636,6.945644991901604,7.78828381206175
PENGUIN (Euler),42,best,8,4,6.304229131711386,5.934884483785052,6.695680838591935
PENGUIN (Euler),42,depth,1,32,9.274970956444053,8.92073888059743,9.623844840645035
PENGUIN (Euler),1,width,32,1,7.288615156887572,6.873069587620062,7.705893385024476
PENGUIN (Euler),1,best,8,4,6.46497714398159,6.107216768482372,6.824671382709228
PENGUIN (Euler),1,depth,1,32,11.03240085240327,10.66996778524795,11.390976653082726
PENGUIN (Euler),2,width,32,1,7.5335086186370726,7.115209330112977,7.9723497275631905
PENGUIN (Euler),2,best,8,4,6.546180013336104,6.181160408003024,6.921000726180626
PENGUIN (Euler),2,depth,1,32,10.962358041831088,10.614025224283859,11.330240723970666
