dataset,functional,budget,K,S,NFE,error,ci_lo,ci_hi,n_clusters,latency_seq_batch1_ms,latency_batched_ms
MIMIC-BP,SBP,B32,32,1,32,14.431965641222503,13.495427364124696,15.450619953289374,190,624.2183451540768,20.269059808924794
MIMIC-BP,SBP,B32,16,2,32,14.484085295062911,13.53963778958046,15.513663752419617,190,622.837282018736,39.18902622535825
MIMIC-BP,SBP,B32,8,4,32,14.530961757650353,13.580709421894012,15.564916126533262,190,616.2893201690167,78.30595085397363
MIMIC-BP,SBP,B32,4,8,32,14.649472414556897,13.678949924468988,15.702790414274778,190,615.6407280359417,154.34681600891054
MIMIC-BP,SBP,B32,2,16,32,14.829791113296546,13.845357505994343,15.883537456737132,190,613.5892940219492,308.67626098915935
MIMIC-BP,SBP,B32,1,32,32,14.764438685366981,13.841256489402369,15.757874973956797,190,615.8557289745659,615.5432721134275
MIMIC-BP,SBP,B16,16,1,16,14.431028519250395,13.495391276003428,15.450199334648914,190,308.00272012129426,19.740929128602147
MIMIC-BP,SBP,B16,8,2,16,14.484970543079807,13.539615052235158,15.512211733873027,190,307.78708402067423,38.54973497800529
MIMIC-BP,SBP,B16,4,4,16,14.527144166568766,13.576507129626167,15.561403687847594,190,307.0246980059892,76.45244291052222
MIMIC-BP,SBP,B16,2,8,16,14.650800174722697,13.68291995862612,15.702068576999176,190,305.7634758297354,154.42330203950405
MIMIC-BP,SBP,B16,1,16,16,14.88834796915078,13.917122372964275,15.935266527496188,190,307.21783894114196,306.16309586912394
MIMIC-BP,SBP,shipped_ref,1,Heun25,50,14.931422145910433,14.009422156398463,15.9325951202316,190,958.7672890629619,
MIMIC-BP,DBP,B32,32,1,32,9.914607134271684,9.260532749204707,10.575619997686614,190,624.2183451540768,20.269059808924794
MIMIC-BP,DBP,B32,16,2,32,10.023818380695237,9.36093998175695,10.6932734646355,190,622.837282018736,39.18902622535825
MIMIC-BP,DBP,B32,8,4,32,9.93772236310151,9.278995531564968,10.598524580683028,190,616.2893201690167,78.30595085397363
MIMIC-BP,DBP,B32,4,8,32,9.618482915070421,8.98732060124581,10.262209596674545,190,615.6407280359417,154.34681600891054
MIMIC-BP,DBP,B32,2,16,32,9.15861345592298,8.548851203210969,9.774918633587674,190,613.5892940219492,308.67626098915935
MIMIC-BP,DBP,B32,1,32,32,9.084308804198914,8.468547003934852,9.717365872416575,190,615.8557289745659,615.5432721134275
MIMIC-BP,DBP,B16,16,1,16,9.915994029893612,9.261707755801073,10.575674050431502,190,308.00272012129426,19.740929128602147
MIMIC-BP,DBP,B16,8,2,16,10.021182970510688,9.358426513956307,10.691028309747992,190,307.78708402067423,38.54973497800529
MIMIC-BP,DBP,B16,4,4,16,9.933221518150846,9.274734637367992,10.592346453661902,190,307.0246980059892,76.45244291052222
MIMIC-BP,DBP,B16,2,8,16,9.613110720316568,8.984137113054892,10.254590245803794,190,305.7634758297354,154.42330203950405
MIMIC-BP,DBP,B16,1,16,16,9.184702289361404,8.578010396744668,9.798728394857326,190,307.21783894114196,306.16309586912394
MIMIC-BP,DBP,shipped_ref,1,Heun25,50,9.226292102593826,8.581264173789728,9.90447181661505,190,958.7672890629619,
MIMIC-BP,MAP,B32,32,1,32,10.624940290283458,9.943665639768797,11.29771940581592,190,624.2183451540768,20.269059808924794
MIMIC-BP,MAP,B32,16,2,32,10.50604555959867,9.82642469039812,11.185456234593874,190,622.837282018736,39.18902622535825
MIMIC-BP,MAP,B32,8,4,32,10.36054955737231,9.680965443788345,11.043240431128236,190,616.2893201690167,78.30595085397363
MIMIC-BP,MAP,B32,4,8,32,10.181077841306035,9.502352823298253,10.86642927219371,190,615.6407280359417,154.34681600891054
MIMIC-BP,MAP,B32,2,16,32,10.072145150133728,9.367837834289384,10.804208438265213,190,613.5892940219492,308.67626098915935
MIMIC-BP,MAP,B32,1,32,32,10.128664960540586,9.412387929199573,10.894161270681005,190,615.8557289745659,615.5432721134275
MIMIC-BP,MAP,B16,16,1,16,10.625944346394249,9.945166277777702,11.299025528473537,190,308.00272012129426,19.740929128602147
MIMIC-BP,MAP,B16,8,2,16,10.50754451917788,9.82742169891414,11.187995138178076,190,307.78708402067423,38.54973497800529
MIMIC-BP,MAP,B16,4,4,16,10.36493194577884,9.684016680227145,11.047544233260517,190,307.0246980059892,76.45244291052222
MIMIC-BP,MAP,B16,2,8,16,10.18783987782466,9.51078525278582,10.86912453129529,190,305.7634758297354,154.42330203950405
MIMIC-BP,MAP,B16,1,16,16,10.079196796520685,9.376390829601078,10.80860098873413,190,307.21783894114196,306.16309586912394
MIMIC-BP,MAP,shipped_ref,1,Heun25,50,10.267578982221416,9.512417068504385,11.078896246723051,190,958.7672890629619,
