dataset,functional,S,n_blocks,I,C,G,G_lo,G_hi,G_over_I,SD,MAD,waveform_pairwise_RMS,rho_bar,rho_lo,rho_hi,K_eff
MIMIC-BP,SBP,1,19950,14.446151348678091,14.431028519250395,0.015122829427695213,0.002440966064768627,0.027203240841552425,0.001046841408668963,1.0376632518399183,0.6206128891488364,2.3436962829478203,0.9963589173519306,0.9958033410394106,0.9968224300391332,1.0034252069779024
MIMIC-BP,SBP,2,19950,14.501030303864253,14.484085295062911,0.01694500880133837,0.0026968114931780595,0.03064849234523629,0.0011685382656446725,1.1731123220341264,0.706504609148604,2.2303282521378027,0.9953916712331708,0.9947011610545974,0.9959766499469958,1.0043390542707304
MIMIC-BP,SBP,4,19950,14.558335127101506,14.531141886507957,0.027193240593549307,0.010745339131893069,0.043367297551984485,0.0018678812073041865,1.4605340246471858,0.8975525497015856,2.364246135514083,0.9929683099283537,0.9919208175131795,0.9938537648956979,1.0066359550476915
MIMIC-BP,SBP,8,19950,14.702169182593364,14.649326468063775,0.05284271452958721,0.0325533568691789,0.07240124477957723,0.003594212110696587,1.938597356430575,1.2098354922798942,2.9111382958521013,0.9877992768078911,0.9859991396267129,0.9893232642252467,1.011570523702175
MIMIC-BP,DBP,1,19950,9.922435408618517,9.915994029893612,0.00644137872490369,-0.011141327212926443,0.024095928564406267,0.0006491731575605703,1.261980627415132,0.7048747957081424,2.3436962829478203,0.9856850579052118,0.9835530400102427,0.9873607183442701,1.0136028114560385
MIMIC-BP,DBP,2,19950,10.024478711293156,10.023818380695237,0.0006603305979181345,-0.013873963699603743,0.015748834956558724,6.587181407989164e-05,1.1233426921413312,0.6270997172190731,2.2303282521378027,0.9886248019922393,0.9869219812915874,0.989971869052872,1.010779200197853
MIMIC-BP,DBP,4,19950,9.940438905168596,9.939093479357268,0.001345425811327789,-0.00870840982207678,0.011643789670819922,0.00013534873300496077,0.9459764012650006,0.5478910985387357,2.364246135514083,0.9922346237657076,0.9910485035084983,0.9931619711826498,1.007333427869487
MIMIC-BP,DBP,8,19950,9.628438616300883,9.618956682305585,0.00948193399529708,0.0006590691210333274,0.01873577138564939,0.000984784176662271,0.9386762221750449,0.5429145183897854,2.9111382958521013,0.9924364460957721,0.9912763863311411,0.9933447974080342,1.0071414707530224
MIMIC-BP,MAP,1,19950,10.648281368650963,10.625944346394249,0.022337022256713013,0.016452895460667253,0.027916734345308346,0.002097711497601317,0.5611644522830843,0.35043727450660966,2.3436962829478203,0.9979728938337171,0.9976471008514363,0.9982262295883071,1.001904030473309
MIMIC-BP,MAP,2,19950,10.527511062764676,10.50604555959867,0.021465503166004887,0.01546394987584514,0.027184915773323135,0.0020389912713487794,0.5841207323493603,0.36575607389715825,2.2303282521378027,0.9978056047673761,0.9974531211167303,0.9980799474914595,1.0020614865145032
MIMIC-BP,MAP,4,19950,10.380587269005861,10.359383456996621,0.021203812009241797,0.014911078463759591,0.02731449177818587,0.002042640889167388,0.6321222895591725,0.3975854445813704,2.364246135514083,0.997434928853555,0.9970225704487496,0.9977557549306515,1.0024105509823908
MIMIC-BP,MAP,8,19950,10.197869556952702,10.176150838706764,0.021718718245938268,0.015092661522563722,0.028167354046309316,0.002129730932980103,0.7267954247932191,0.4596531801130202,2.9111382958521013,0.9966182932714968,0.9960735695382636,0.9970433837035313,1.0031804331443754
