subject,n_blocks,SBP_K32_S1,SBP_K16_S2,SBP_K8_S4,SBP_K4_S8,SBP_K2_S16,SBP_K1_S32,SBP_K16_S1,SBP_K8_S2,SBP_K4_S4,SBP_K2_S8,SBP_K1_S16,SBP_K1_S1,SBP_K1_S2,SBP_K1_S4,SBP_K1_S8,SBP_K16_S4,SBP_K16_S8,SBP_heun50,DBP_K32_S1,DBP_K16_S2,DBP_K8_S4,DBP_K4_S8,DBP_K2_S16,DBP_K1_S32,DBP_K16_S1,DBP_K8_S2,DBP_K4_S4,DBP_K2_S8,DBP_K1_S16,DBP_K1_S1,DBP_K1_S2,DBP_K1_S4,DBP_K1_S8,DBP_K16_S4,DBP_K16_S8,DBP_heun50,MAP_K32_S1,MAP_K16_S2,MAP_K8_S4,MAP_K4_S8,MAP_K2_S16,MAP_K1_S32,MAP_K16_S1,MAP_K8_S2,MAP_K4_S4,MAP_K2_S8,MAP_K1_S16,MAP_K1_S1,MAP_K1_S2,MAP_K1_S4,MAP_K1_S8,MAP_K16_S4,MAP_K16_S8,MAP_heun50
11,105.0,9.004546,9.020712,9.209051,9.543721,10.366051,10.992134,8.994037,8.989863,9.146119,9.590002,10.606807,8.86992,8.949368,9.243149,9.777587,9.219845,9.647317,11.36139,17.961962,18.187368,17.941326,16.962165,15.006153,13.456855,17.946123,18.160509,17.95716,16.892777,15.028722,17.812131,18.116047,17.925979,16.952149,17.947559,16.956955,12.077892,9.30497,9.039859,8.674816,8.112907,7.572968,7.398493,9.320431,9.039779,8.679436,8.126629,7.58184,9.334689,9.052909,8.688939,8.108309,8.676651,8.114171,7.306178
22,105.0,18.013352,18.639076,18.929298,19.440408,20.27205,19.273679,18.012793,18.634776,18.857979,19.438154,20.1534,17.773563,18.419622,18.720978,19.383356,18.901254,19.491443,19.677771,9.593323,9.389182,9.642422,10.422679,12.289915,14.454768,9.598862,9.401764,9.622306,10.487428,12.263566,9.610377,9.375504,9.57699,10.415525,9.587359,10.402101,16.070285,14.143806,14.61798,15.277889,16.334867,17.959522,19.133967,14.14259,14.626289,15.223157,16.297996,17.885851,13.995343,14.469334,15.118218,16.23205,15.267369,16.373184,20.406482
27,105.0,16.254726,16.156582,16.04059,15.874847,15.912556,16.5817,16.255735,16.145531,16.017904,15.920416,16.297546,16.247961,16.157304,16.075145,16.048114,16.083347,16.002629,16.649802,13.110204,12.857973,13.029171,13.806493,15.615297,17.872254,13.113028,12.847081,13.038301,13.851623,15.599281,13.315359,13.021667,13.173064,13.85015,13.050093,13.810574,19.469422,11.563713,11.777673,12.105242,12.78074,13.969731,15.073321,11.569438,11.776501,12.100379,12.791237,13.973681,11.555093,11.749837,12.086422,12.771299,12.117218,12.787994,16.24997
30,105.0,16.579983,16.380997,16.260339,15.951178,15.770967,16.508849,16.593137,16.36368,16.2925,16.06895,15.874287,16.657285,16.498642,16.440811,16.19537,16.278609,16.053314,16.290681,14.285548,14.589173,14.541717,13.964864,12.390952,10.914756,14.285957,14.605473,14.551545,13.911995,12.382614,14.247835,14.552873,14.543945,13.91505,14.527243,13.89794,9.901062,18.636469,18.23842,17.642407,16.644011,15.372041,14.381104,18.649888,18.229717,17.609472,16.691478,15.212402,18.611786,18.183559,17.575226,16.57453,17.656648,16.697247,13.285493
38,105.0,12.317559,12.103667,11.957073,11.703476,11.473908,12.201146,12.291701,12.107239,11.970011,11.687226,11.647506,12.299193,12.147037,12.053714,11.847362,11.969352,11.656552,12.124162,9.264792,9.527176,9.422127,8.667436,7.068118,6.222933,9.25142,9.497425,9.4379,8.574455,7.139317,9.108845,9.416316,9.384359,8.654185,9.46881,8.688663,5.753222,13.974111,13.430758,12.69971,11.499319,10.106476,9.654589,13.974144,13.422925,12.697597,11.554378,10.156948,14.037055,13.498917,12.776752,11.597478,12.703735,11.500076,8.816268
46,105.0,17.085407,16.503609,15.97626,15.165833,14.571245,16.178738,17.07706,16.507873,15.946732,15.267358,14.640757,17.243866,16.655851,16.130898,15.30834,15.947444,15.181298,15.892874,4.983598,5.286292,5.386119,5.131861,4.89874,5.752734,5.033519,5.308174,5.385838,5.13811,5.032771,5.118993,5.361577,5.393314,5.174526,5.353858,5.130243,6.826638,10.432346,10.051753,9.62457,8.820927,7.916528,7.375866,10.42089,10.090386,9.605159,8.877327,7.924908,10.52098,10.152771,9.678531,8.911047,9.585923,8.805734,6.864016
49,105.0,5.249859,5.348588,5.479253,5.818783,6.22004,6.493311,5.276832,5.356578,5.568304,5.770365,6.299606,5.241416,5.34598,5.463488,5.724154,5.451211,5.775831,6.878054,8.70412,8.956491,8.813346,8.083269,6.231103,4.270816,8.706081,8.912421,8.827953,8.085902,6.217024,8.484096,8.798912,8.72056,8.099824,8.818064,8.061115,3.122771,11.306572,10.823041,10.125216,9.02755,7.504185,6.24641,11.320263,10.812297,10.149129,9.082665,7.416618,11.324604,10.827527,10.139312,9.010334,10.136454,9.007209,5.168033
62,105.0,10.41636,10.217164,9.994176,9.7744,9.702259,10.369931,10.410604,10.169398,10.047493,9.934792,9.931115,10.578447,10.369547,10.245487,10.036725,10.035995,9.773962,10.360472,6.821649,7.162511,7.017555,6.312663,4.852715,4.402313,6.814322,7.198821,7.034163,6.339863,4.925538,7.049003,7.38135,7.188351,6.381364,6.99956,6.261421,4.54526,10.170343,9.736635,9.130603,8.184854,6.924487,6.132125,10.17598,9.753174,9.173653,8.229745,6.996887,10.289323,9.853804,9.245304,8.270424,9.106457,8.14837,5.347569
72,105.0,14.19915,14.427944,14.463167,14.744457,14.826148,14.473495,14.166547,14.382649,14.542208,14.413437,14.792577,13.831085,14.030376,14.072476,14.226438,14.531164,14.773382,14.944301,5.241189,5.148887,5.227108,5.236547,5.473374,6.30165,5.20371,5.175265,5.203558,5.22963,5.445702,5.06289,5.112252,5.163598,5.209591,5.204257,5.253752,7.116404,7.381492,7.478961,7.610699,7.883603,8.437812,8.880946,7.377152,7.459299,7.584808,7.858619,8.337142,7.304865,7.402381,7.539214,7.802309,7.630169,7.91066,9.534269
73,105.0,18.860696,19.084399,19.087907,19.289967,19.464707,18.644833,18.859909,19.014713,19.054993,19.167829,19.63569,18.688566,18.926065,18.945586,19.190842,19.192297,19.485778,18.987759,4.531645,4.596673,4.547245,4.494674,4.852402,6.135206,4.53706,4.615153,4.563007,4.563144,4.98769,4.846707,4.891934,4.833423,4.735076,4.562347,4.437182,7.336398,3.752404,4.040031,4.553555,5.459991,6.875276,7.981899,3.766643,4.035996,4.539286,5.464038,6.94679,3.750458,4.052142,4.56299,5.511399,4.556088,5.460928,9.146925
