dataset,functional,budget,K,S,NFE,error,ci_lo,ci_hi,n_clusters,latency_seq_batch1_ms,latency_batched_ms
BIDMC,RR,B32,32,1,32,2.4583333333333335,1.28125,3.9583333333333335,6,627.7485392056406,20.574126858264208
BIDMC,RR,B32,16,2,32,2.7708333333333335,1.6354166666666667,4.145833333333333,6,624.7902079485357,39.572231005877256
BIDMC,RR,B32,8,4,32,2.8854166666666665,2.1145833333333335,3.8541666666666665,6,619.4635278079659,78.38634005747736
BIDMC,RR,B32,4,8,32,3.0833333333333335,2.32265625,3.8333333333333335,6,619.7516408283263,154.2615608777851
BIDMC,RR,B32,2,16,32,3.8958333333333335,3.3958333333333335,4.302083333333333,6,615.0188830215484,308.27332311309874
BIDMC,RR,B32,1,32,32,4.645833333333333,4.083333333333333,5.208333333333333,6,615.1814078912139,614.8819020017982
BIDMC,RR,B16,16,1,16,2.65625,1.5208333333333333,4.145833333333333,6,311.4427858963609,19.599952967837453
BIDMC,RR,B16,8,2,16,2.875,1.8958333333333333,4.083333333333333,6,309.4993990380317,39.00157590396702
BIDMC,RR,B16,4,4,16,3.0625,2.520572916666667,3.75,6,307.8467478044331,77.44744792580605
BIDMC,RR,B16,2,8,16,3.90625,3.4895833333333335,4.270833333333333,6,307.8802521340549,154.97229900211096
BIDMC,RR,B16,1,16,16,4.645833333333333,4.083333333333333,5.208333333333333,6,307.8676851000637,308.32710303366184
BIDMC,RR,shipped_ref,1,Heun25,50,4.5,3.8125,5.1875,6,963.131969794631,
WESAD,RR,B32,32,1,32,3.6869158878504673,3.182242990654206,4.247663551401869,107,623.7777061760426,20.010421983897686
WESAD,RR,B32,16,2,32,3.5514018691588785,3.0606308411214953,4.098130841121495,107,614.9306390434504,39.064125856384635
WESAD,RR,B32,8,4,32,3.7616822429906542,3.2149532710280373,4.350584112149531,107,619.1813650075346,77.42014317773283
WESAD,RR,B32,4,8,32,3.9299065420560746,3.336448598130841,4.574766355140187,107,613.2793889846653,154.84799002297223
WESAD,RR,B32,2,16,32,4.588785046728972,3.9953271028037385,5.200934579439252,107,614.4773431587964,308.2763340789825
WESAD,RR,B32,1,32,32,5.046728971962617,4.355140186915888,5.766355140186916,107,614.7292838431895,613.8125348370522
WESAD,RR,B16,16,1,16,3.7429906542056073,3.2149532710280373,4.322429906542056,107,309.40365488640964,19.57940706051886
WESAD,RR,B16,8,2,16,3.7990654205607477,3.2663551401869158,4.378621495327101,107,308.4764590021223,38.741837022826076
WESAD,RR,B16,4,4,16,4.154205607476635,3.542056074766355,4.808411214953271,107,307.25571513175964,76.87882403843105
WESAD,RR,B16,2,8,16,4.429906542056075,3.845677570093458,5.0327102803738315,107,308.00420814193785,154.3044599238783
WESAD,RR,B16,1,16,16,5.261682242990654,4.5607476635514015,5.97196261682243,107,309.3213429674506,307.85353505052626
WESAD,RR,shipped_ref,1,Heun25,50,4.97196261682243,4.289719626168225,5.682242990654205,107,961.8091860320419,
