model,B,n_cal,subset,UCB_K,UCB_S,UCB_cal_mean,UCB_cal_ucb,UCB_heldout_risk,UCB_regret,UCB_near_optimal,UCB_heldout_micro_risk,ERM_K,ERM_S,ERM_cal_mean,ERM_cal_ucb,ERM_heldout_risk,ERM_regret,ERM_near_optimal,ERM_heldout_micro_risk,oracle_K,oracle_S,oracle_risk,fullval_heldout_risk,regret_pure_width,regret_pure_depth,regret_balanced,regret_historical,regret_fullval
iMF,32,5,0,8,4,5.662238,7.561466,6.493873,0.36908,False,6.500662,8,4,5.662238,7.561466,6.493873,0.36908,False,6.500662,16,2,6.124794,6.124794,0.351641,2.247941,0.36908,0.0,0.0
iMF,32,5,1,8,4,2.928956,4.097822,6.541995,0.374875,False,6.546774,8,4,2.928956,4.097822,6.541995,0.374875,False,6.546774,16,2,6.16712,6.16712,0.359331,2.251469,0.374875,0.0,0.0
iMF,32,5,2,32,1,4.175637,7.087603,6.505678,0.361072,False,6.456423,32,1,4.175637,7.087603,6.505678,0.361072,False,6.456423,16,2,6.144606,6.144606,0.361072,2.24991,0.356693,0.0,0.0
iMF,32,5,3,16,2,2.508194,3.658808,6.180636,0.0,True,6.169918,16,2,2.508194,3.658808,6.180636,0.0,True,6.169918,16,2,6.180636,6.180636,0.348872,2.253046,0.351662,0.0,0.0
iMF,32,5,4,32,1,7.270117,9.646116,6.451198,0.354542,False,6.392689,32,1,7.270117,9.646116,6.451198,0.354542,False,6.392689,16,2,6.096655,6.096655,0.354542,2.25242,0.35273,0.0,0.0
iMF,32,5,5,16,2,4.459881,6.084234,6.146275,0.0,True,6.136992,8,4,4.45555,6.163532,6.515118,0.368843,False,6.52102,16,2,6.146275,6.146275,0.350672,2.23044,0.368843,0.0,0.0
iMF,32,5,6,4,8,3.708831,4.592294,7.224987,1.070278,False,7.231142,4,8,3.708831,4.592294,7.224987,1.070278,False,7.231142,16,2,6.154709,6.154709,0.341918,2.248007,0.359068,0.0,0.0
iMF,32,5,7,16,2,3.679919,5.509699,6.160007,0.0,True,6.15015,16,2,3.679919,5.509699,6.160007,0.0,True,6.15015,16,2,6.160007,6.160007,0.348252,2.235134,0.358261,0.0,0.0
iMF,32,5,8,32,1,4.744744,6.275451,6.495658,0.357077,False,6.446821,32,1,4.744744,6.275451,6.495658,0.357077,False,6.446821,16,2,6.138582,6.138582,0.357077,2.248116,0.363451,0.0,0.0
iMF,32,5,9,16,2,7.674169,14.587354,6.089686,0.0,True,6.088291,8,4,7.520634,15.065044,6.461155,0.371469,False,6.47321,16,2,6.089686,6.089686,0.341972,2.255599,0.371469,0.0,0.0
iMF,32,5,10,32,1,6.297425,11.036304,6.468322,0.353694,False,6.420627,8,4,6.2057,11.341569,6.484305,0.369677,False,6.491494,16,2,6.114628,6.114628,0.353694,2.274522,0.369677,0.0,0.0
iMF,32,5,11,32,1,5.21135,8.08348,6.487444,0.359779,False,6.438949,32,1,5.21135,8.08348,6.487444,0.359779,False,6.438949,16,2,6.127665,6.127665,0.359779,2.239278,0.366161,0.0,0.0
iMF,32,5,12,4,8,4.732744,6.063517,7.20696,1.070127,False,7.228892,8,4,4.650647,6.123024,6.511683,0.37485,False,6.531901,16,2,6.136834,6.136834,0.351229,2.263877,0.37485,0.0,0.0
iMF,32,5,13,16,2,8.534,14.458753,6.074548,0.0,True,6.078457,16,2,8.534,14.458753,6.074548,0.0,True,6.078457,16,2,6.074548,6.074548,0.345671,2.227656,0.354781,0.0,0.0
iMF,32,5,14,4,8,5.007506,8.200055,7.202123,1.069379,False,7.209233,4,8,5.007506,8.200055,7.202123,1.069379,False,7.209233,16,2,6.132744,6.132744,0.347477,2.280911,0.363193,0.0,0.0
iMF,32,5,15,16,2,3.941956,6.026814,6.155394,0.0,True,6.14573,16,2,3.941956,6.026814,6.155394,0.0,True,6.14573,16,2,6.155394,6.155394,0.34416,2.246011,0.350971,0.0,0.0
iMF,32,5,16,1,32,5.718975,9.256637,8.411196,2.286807,False,8.487662,8,4,5.60645,9.983005,6.494856,0.370467,False,6.515921,16,2,6.124389,6.124389,0.349278,2.286807,0.370467,0.0,0.0
iMF,32,5,17,16,2,3.583319,5.631565,6.161708,0.0,True,6.15178,16,2,3.583319,5.631565,6.161708,0.0,True,6.15178,16,2,6.161708,6.161708,0.349964,2.22003,0.358849,0.0,0.0
iMF,32,5,18,8,4,5.46035,8.873415,6.497428,0.363868,False,6.504068,16,2,5.182131,9.297052,6.13356,0.0,True,6.124807,16,2,6.13356,6.13356,0.331334,2.253438,0.363868,0.0,0.0
iMF,32,5,19,16,2,4.532219,7.583447,6.145002,0.0,True,6.135772,16,2,4.532219,7.583447,6.145002,0.0,True,6.135772,16,2,6.145002,6.145002,0.332163,2.240537,0.360377,0.0,0.0
iMF,32,5,20,32,1,6.360144,12.354522,6.467218,0.360862,False,6.419569,32,1,6.360144,12.354522,6.467218,0.360862,False,6.419569,16,2,6.106357,6.106357,0.360862,2.249488,0.362566,0.0,0.0
iMF,32,5,21,16,2,2.6576,3.687717,6.178006,0.0,True,6.173209,16,2,2.6576,3.687717,6.178006,0.0,True,6.173209,16,2,6.178006,6.178006,0.350926,2.229682,0.367146,0.0,0.0
iMF,32,5,22,32,1,5.536081,7.272331,6.481726,0.35506,False,6.433471,8,4,5.459631,7.745069,6.49744,0.370774,False,6.50408,16,2,6.126666,6.126666,0.35506,2.233405,0.370774,0.0,0.0
iMF,32,5,23,16,2,3.301831,4.369113,6.166664,0.0,True,6.156529,16,2,3.301831,4.369113,6.166664,0.0,True,6.156529,16,2,6.166664,6.166664,0.350531,2.229083,0.358953,0.0,0.0
iMF,32,5,24,16,2,3.494669,4.474919,6.163269,0.0,True,6.153276,16,2,3.494669,4.474919,6.163269,0.0,True,6.153276,16,2,6.163269,6.163269,0.346593,2.253563,0.357912,0.0,0.0
iMF,32,5,25,8,4,9.117531,15.156526,6.433041,0.371102,False,6.44237,8,4,9.117531,15.156526,6.433041,0.371102,False,6.44237,16,2,6.061939,6.061939,0.338512,2.234421,0.371102,0.0,0.0
iMF,32,5,26,8,4,4.297038,5.383565,6.517909,0.365754,False,6.523694,16,2,4.125962,5.610538,6.152154,0.0,True,6.142625,16,2,6.152154,6.152154,0.346215,2.227635,0.365754,0.0,0.0
iMF,32,5,27,32,1,3.909319,6.128261,6.510367,0.360834,False,6.460915,32,1,3.909319,6.128261,6.510367,0.360834,False,6.460915,16,2,6.149532,6.149532,0.360834,2.224723,0.355778,0.0,0.0
iMF,32,5,28,4,8,6.382619,8.18684,7.177913,1.079148,False,7.186034,4,8,6.382619,8.18684,7.177913,1.079148,False,7.186034,16,2,6.098765,6.098765,0.340851,2.276957,0.37082,0.0,0.0
iMF,32,5,29,16,2,5.529719,6.917073,6.12744,0.0,True,6.118943,16,2,5.529719,6.917073,6.12744,0.0,True,6.118943,16,2,6.12744,6.12744,0.328797,2.186846,0.324946,0.0,0.0
iMF,32,5,30,8,4,3.616619,6.376489,6.529888,0.37952,False,6.546996,8,4,3.616619,6.376489,6.529888,0.37952,False,6.546996,16,2,6.150368,6.150368,0.338887,2.27829,0.37952,0.0,0.0
iMF,32,5,31,16,2,3.127172,4.23934,6.169739,0.0,True,6.173215,16,2,3.127172,4.23934,6.169739,0.0,True,6.173215,16,2,6.169739,6.169739,0.338952,2.211745,0.354146,0.0,0.0
