model,B,n_cal,mean_paired_diff,median_paired_diff,median_paired_se,share_ci_upper_below_0,share_top2_contains_fullval
iMF,32,5,-0.2943743738839287,-0.22759341517857046,0.4066608031822905,0.02,0.86
iMF,32,10,-0.3138012875744048,-0.2726874999999994,0.35135761416759387,0.03,0.965
iMF,32,25,-0.2219235255952381,-0.19085107142857172,0.22284834777867452,0.06,0.985
iMF,32,50,-0.27738504761904764,-0.26810838541666693,0.16870176942754,0.27,1.0
iMF,32,100,-0.28750734680059525,-0.29215677827380965,0.11980844627719675,0.725,1.0
iMF,32,200,-0.3259536903831845,-0.32738705915178556,0.08779970686670625,1.0,1.0
iMF,16,5,-0.3697826316964285,-0.3193906249999998,0.4893452389559324,0.03,0.92
iMF,16,10,-0.35773606194196433,-0.3167375,0.4185482992021579,0.045,0.955
iMF,16,25,-0.25718775825892853,-0.21497281249999986,0.26236785376771743,0.08,0.995
iMF,16,50,-0.28122470011160716,-0.270811450892857,0.19893449704895722,0.175,1.0
iMF,16,100,-0.25273398270089276,-0.24942908482142867,0.13789760036876586,0.42,1.0
iMF,16,200,-0.2453088577566963,-0.24895914341517855,0.0995114076756107,0.86,1.0
CD,32,5,-0.321334115327381,-0.2541312499999997,0.4366887728499258,0.01,0.79
CD,32,10,-0.3247684341517857,-0.2612187499999996,0.38805252698362996,0.02,0.89
CD,32,25,-0.26416636763392864,-0.24735078125000076,0.24927276194771225,0.075,0.96
CD,32,50,-0.2715418555431548,-0.2654464955357146,0.190667556146002,0.28,0.995
CD,32,100,-0.2568776728050596,-0.25374288318452365,0.1303528792859036,0.45,1.0
CD,32,200,-0.2547229842633929,-0.253874367559524,0.09428996509630541,0.93,1.0
CD,16,5,-0.5421820956101189,-0.4123601562499992,0.5582069371663406,0.01,0.89
CD,16,10,-0.5375398216145832,-0.44006458333333365,0.4843630946973323,0.07,0.975
CD,16,25,-0.507423108705357,-0.4931531250000001,0.31103177933387227,0.255,0.995
CD,16,50,-0.5256077466145832,-0.5258514843749997,0.23655839652838195,0.63,1.0
CD,16,100,-0.5107949442708333,-0.5150697860863094,0.1620535758362433,0.955,1.0
CD,16,200,-0.5120822658110118,-0.5100932719494047,0.11610583637194818,1.0,1.0
PENGUIN,32,5,-0.30028338988095243,-0.21803794642857155,0.49587905326930926,0.015,0.73
PENGUIN,32,10,-0.24832991778273816,-0.22332656249999955,0.3548720141551125,0.02,0.825
PENGUIN,32,25,-0.1618400419642857,-0.1419196875,0.2148689315038937,0.025,0.915
PENGUIN,32,50,-0.11317935744047623,-0.1020179687500004,0.15664688861754164,0.03,0.975
PENGUIN,32,100,-0.0645540369419643,-0.057287075892857094,0.11120853210675291,0.0,0.995
PENGUIN,32,200,-0.036034448604910736,-0.03259441406249996,0.07972165355546507,0.0,1.0
PENGUIN,16,5,-0.4571719311755953,-0.37893750000000054,0.6322802167553276,0.04,0.85
PENGUIN,16,10,-0.38780185026041664,-0.3287859375000005,0.5040888439483673,0.025,0.915
PENGUIN,16,25,-0.28704302648809527,-0.2533447321428572,0.3141813463497281,0.085,0.985
PENGUIN,16,50,-0.3151341341517857,-0.2914942410714284,0.22360538121709153,0.22,1.0
PENGUIN,16,100,-0.2777792869791667,-0.2758375613839287,0.15649912293808754,0.355,1.0
PENGUIN,16,200,-0.2751710736049107,-0.27586839657738094,0.11206616669513834,0.825,1.0
iMF,32,289,-0.34826681959548517,-0.34826681959548517,0.07081909546980562,1.0,1.0
iMF,16,289,-0.24978404983316846,-0.24978404983316846,0.08254874408405755,1.0,1.0
CD,32,289,-0.2530399584466139,-0.2530399584466139,0.0780340179443186,1.0,1.0
CD,16,289,-0.5090502566835557,-0.5090502566835557,0.09630251276431145,1.0,1.0
PENGUIN,32,289,-0.011471476458230481,-0.011471476458230481,0.06588169770715059,0.0,1.0
PENGUIN,16,289,-0.27909070300914485,-0.27909070300914485,0.09221953506008623,1.0,1.0
