model,B,n_cal,policy,mean_regret,mean_regret_ci,near_optimal_rate,near_optimal_rate_ci,material_rate,mean_heldout_risk,mean_heldout_risk_ci,median_regret,regret_p2.5_p97.5_across_subsets,oracle_recovery,fullval_recovery,fullval_recovery_ci,within_delta_of_fullval,entropy_nats,micro_mean_regret
iMF,32,5,UCB,0.350909,"[0.250409, 0.487894]",0.435,"[0.325, 0.680125]",0.115,6.465074,"[5.707172, 7.313015]",0.354491,"[0.0, 2.278326]",0.435,0.435,"[0.31, 0.53]",0.435,1.381527,0.347022
iMF,32,5,ERM,0.211256,"[0.161454, 0.281012]",0.525,"[0.415, 0.755125]",0.045,6.325421,"[5.590894, 7.158229]",0.0,"[0.0, 1.069401]",0.525,0.525,"[0.4, 0.63]",0.525,1.153447,0.206416
iMF,32,5,pure_width,0.348778,"[0.199471, 0.487356]",0.0,"[0.0, 1.0]",0.0,6.462942,"[5.749425, 7.232832]",,,,,,,,
iMF,32,5,pure_depth,2.247911,"[1.958535, 2.555449]",0.0,"[0.0, 0.0]",1.0,8.362075,"[7.61816, 9.155766]",,,,,,,,
iMF,32,5,balanced,0.362326,"[0.208277, 0.517735]",0.0,"[0.0, 0.965]",0.0,6.476491,"[5.727598, 7.28466]",,,,,,,,
iMF,32,5,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.114165,"[5.387331, 6.901927]",,,,,,,,
iMF,32,5,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.114165,"[5.387331, 6.901927]",,,,,,,,
iMF,32,10,UCB,0.140072,"[0.124536, 0.22909]",0.67,"[0.47, 0.8]",0.015,6.253714,"[5.538882, 7.101681]",0.0,"[0.0, 0.395366]",0.67,0.67,"[0.449875, 0.72]",0.67,0.921139,0.13607
iMF,32,10,ERM,0.122658,"[0.094117, 0.164285]",0.7,"[0.55, 0.835]",0.005,6.236301,"[5.501797, 7.04337]",0.0,"[0.0, 0.392195]",0.7,0.7,"[0.53, 0.785]",0.7,0.84073,0.11984
iMF,32,10,pure_width,0.346876,"[0.1997, 0.488188]",0.0,"[0.0, 0.985]",0.0,6.460519,"[5.75064, 7.236336]",,,,,,,,
iMF,32,10,pure_depth,2.245812,"[1.959628, 2.553661]",0.0,"[0.0, 0.0]",1.0,8.359454,"[7.620387, 9.158336]",,,,,,,,
iMF,32,10,balanced,0.360683,"[0.207011, 0.517281]",0.0,"[0.0, 0.8805]",0.0,6.474326,"[5.73088, 7.28442]",,,,,,,,
iMF,32,10,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.113642,"[5.387665, 6.900135]",,,,,,,,
iMF,32,10,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.113642,"[5.387665, 6.900135]",,,,,,,,
iMF,32,25,UCB,0.084676,"[0.031907, 0.097747]",0.785,"[0.7, 0.94]",0.0,6.202905,"[5.438984, 6.976595]",0.0,"[0.0, 0.411451]",0.785,0.785,"[0.665, 0.93]",0.785,0.666671,0.081569
iMF,32,25,ERM,0.061807,"[0.02141, 0.08164]",0.845,"[0.745, 0.96]",0.0,6.180036,"[5.43085, 6.954852]",0.0,"[0.0, 0.411451]",0.845,0.845,"[0.71, 0.955]",0.845,0.538642,0.060003
iMF,32,25,pure_width,0.351445,"[0.200117, 0.487687]",0.0,"[0.0, 0.905]",0.0,6.469674,"[5.755657, 7.239315]",,,,,,,,
iMF,32,25,pure_depth,2.244024,"[1.959115, 2.554697]",0.0,"[0.0, 0.0]",1.0,8.362252,"[7.617061, 9.157651]",,,,,,,,
iMF,32,25,balanced,0.364829,"[0.207284, 0.518707]",0.0,"[0.0, 0.780625]",0.0,6.483058,"[5.729837, 7.295539]",,,,,,,,
iMF,32,25,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.118229,"[5.391496, 6.899811]",,,,,,,,
iMF,32,25,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.118229,"[5.391496, 6.899811]",,,,,,,,
iMF,32,50,UCB,0.020004,"[0.0, 0.045054]",0.955,"[0.86, 1.0]",0.025,6.126207,"[5.396953, 6.93139]",0.0,"[0.0, 0.445734]",0.955,0.955,"[0.83, 1.0]",0.955,0.212164,0.019708
iMF,32,50,ERM,0.016029,"[0.0, 0.038398]",0.965,"[0.88, 1.0]",0.025,6.122232,"[5.393236, 6.922793]",0.0,"[0.0, 0.445734]",0.965,0.965,"[0.855, 1.0]",0.965,0.151714,0.016498
iMF,32,50,pure_width,0.344864,"[0.199612, 0.488793]",0.0,"[0.0, 0.80025]",0.0,6.451067,"[5.751117, 7.23635]",,,,,,,,
iMF,32,50,pure_depth,2.248417,"[1.960279, 2.557988]",0.0,"[0.0, 0.0]",1.0,8.35462,"[7.623678, 9.16116]",,,,,,,,
iMF,32,50,balanced,0.364219,"[0.207519, 0.51707]",0.0,"[0.0, 0.68525]",0.025,6.470423,"[5.732321, 7.28682]",,,,,,,,
iMF,32,50,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.106203,"[5.385908, 6.907449]",,,,,,,,
iMF,32,50,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.106203,"[5.385908, 6.907449]",,,,,,,,
iMF,32,100,UCB,0.00285,"[0.0, 0.011642]",0.995,"[0.965, 1.0]",0.005,6.111804,"[5.395961, 6.903333]",0.0,"[0.0, 0.0]",0.995,0.995,"[0.965, 1.0]",0.995,0.031479,0.002856
iMF,32,100,ERM,0.00285,"[0.0, 0.010008]",0.995,"[0.97, 1.0]",0.005,6.111804,"[5.396797, 6.902272]",0.0,"[0.0, 0.0]",0.995,0.995,"[0.97, 1.0]",0.995,0.031479,0.002856
iMF,32,100,pure_width,0.352031,"[0.200259, 0.487683]",0.015,"[0.0, 0.69025]",0.055,6.460985,"[5.748472, 7.232259]",,,,,,,,
iMF,32,100,pure_depth,2.264428,"[1.958186, 2.554254]",0.0,"[0.0, 0.0]",1.0,8.373382,"[7.619402, 9.156276]",,,,,,,,
iMF,32,100,balanced,0.366679,"[0.206317, 0.521382]",0.0,"[0.0, 0.625125]",0.08,6.475633,"[5.735436, 7.280876]",,,,,,,,
iMF,32,100,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.108954,"[5.3951, 6.898911]",,,,,,,,
iMF,32,100,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.108954,"[5.3951, 6.898911]",,,,,,,,
iMF,32,200,UCB,0.0,"[0.0, 0.002028]",1.0,"[1.0, 1.0]",0.0,6.085676,"[5.386971, 6.914358]",0.0,"[0.0, 0.0]",1.0,1.0,"[1.0, 1.0]",1.0,-0.0,0.0
iMF,32,200,ERM,0.0,"[0.0, 0.002007]",1.0,"[1.0, 1.0]",0.0,6.085676,"[5.386971, 6.914358]",0.0,"[0.0, 0.0]",1.0,1.0,"[1.0, 1.0]",1.0,-0.0,0.0
iMF,32,200,pure_width,0.36099,"[0.200665, 0.489444]",0.105,"[0.005, 0.60525]",0.185,6.446666,"[5.756017, 7.2386]",,,,,,,,
iMF,32,200,pure_depth,2.267598,"[1.956489, 2.558504]",0.0,"[0.0, 0.0]",1.0,8.353275,"[7.615012, 9.162976]",,,,,,,,
iMF,32,200,balanced,0.366767,"[0.208432, 0.518445]",0.11,"[0.005, 0.58]",0.215,6.452443,"[5.707758, 7.307736]",,,,,,,,
iMF,32,200,historical,0.0,"[0.0, 0.001974]",1.0,"[1.0, 1.0]",0.0,6.085676,"[5.386971, 6.914358]",,,,,,,,
iMF,32,200,fullval,0.0,"[0.0, 0.001974]",1.0,"[1.0, 1.0]",0.0,6.085676,"[5.386971, 6.914358]",,,,,,,,
iMF,16,5,UCB,0.299334,"[0.187949, 0.420493]",0.505,"[0.385, 0.85]",0.19,6.717607,"[5.990337, 7.540051]",0.0,"[0.0, 2.01094]",0.505,0.505,"[0.35, 0.575]",0.505,1.168549,0.298572
iMF,16,5,ERM,0.199254,"[0.131182, 0.273572]",0.565,"[0.455, 0.885125]",0.145,6.617526,"[5.888225, 7.418299]",0.0,"[0.0, 0.66606]",0.565,0.565,"[0.41, 0.65]",0.565,1.040722,0.194812
iMF,16,5,pure_width,0.249576,"[0.089084, 0.410245]",0.0,"[0.0, 1.0]",0.0,6.667848,"[5.968479, 7.418302]",,,,,,,,
iMF,16,5,pure_depth,1.974853,"[1.670413, 2.291341]",0.0,"[0.0, 0.0]",1.0,8.393126,"[7.632315, 9.174463]",,,,,,,,
iMF,16,5,balanced,0.598542,"[0.421862, 0.779394]",0.0,"[0.0, 0.0]",1.0,7.016815,"[6.276695, 7.834134]",,,,,,,,
iMF,16,5,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.418272,"[5.688105, 7.207047]",,,,,,,,
iMF,16,5,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.418272,"[5.688105, 7.207047]",,,,,,,,
iMF,16,10,UCB,0.144356,"[0.098441, 0.232547]",0.605,"[0.495, 0.94]",0.07,6.560273,"[5.844098, 7.372492]",0.0,"[0.0, 0.632925]",0.605,0.605,"[0.43, 0.725]",0.605,0.884162,0.13581
iMF,16,10,ERM,0.123559,"[0.07867, 0.164559]",0.675,"[0.565, 0.945]",0.06,6.539477,"[5.816727, 7.325891]",0.0,"[0.0, 0.632925]",0.675,0.675,"[0.5, 0.78]",0.675,0.813069,0.11678
iMF,16,10,pure_width,0.249672,"[0.089508, 0.409676]",0.0,"[0.0, 1.0]",0.0,6.665589,"[5.967575, 7.423759]",,,,,,,,
iMF,16,10,pure_depth,1.973989,"[1.67032, 2.290288]",0.0,"[0.0, 0.0]",1.0,8.389907,"[7.63558, 9.181332]",,,,,,,,
iMF,16,10,balanced,0.598342,"[0.420832, 0.779358]",0.0,"[0.0, 0.0]",1.0,7.01426,"[6.276548, 7.839206]",,,,,,,,
iMF,16,10,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.415917,"[5.693325, 7.207293]",,,,,,,,
iMF,16,10,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.415917,"[5.693325, 7.207293]",,,,,,,,
iMF,16,25,UCB,0.104192,"[0.039643, 0.107365]",0.675,"[0.645, 0.99]",0.035,6.526708,"[5.757408, 7.28786]",0.0,"[0.0, 0.64507]",0.675,0.675,"[0.525, 0.905]",0.675,0.741622,0.095613
iMF,16,25,ERM,0.069196,"[0.029999, 0.084871]",0.785,"[0.71, 0.995]",0.02,6.491713,"[5.746077, 7.26724]",0.0,"[0.0, 0.30507]",0.785,0.785,"[0.605, 0.935]",0.785,0.587044,0.063501
