model,B,n_cal,method,K,S,frequency,entropy_nats,is_fullval
iMF,32,5,UCB,32,1,0.285,1.3815268345318632,False
iMF,32,5,UCB,16,2,0.435,1.3815268345318632,True
iMF,32,5,UCB,8,4,0.165,1.3815268345318632,False
iMF,32,5,UCB,4,8,0.06,1.3815268345318632,False
iMF,32,5,UCB,2,16,0.02,1.3815268345318632,False
iMF,32,5,UCB,1,32,0.035,1.3815268345318632,False
iMF,32,5,ERM,32,1,0.23,1.1534471090328644,False
iMF,32,5,ERM,16,2,0.525,1.1534471090328644,True
iMF,32,5,ERM,8,4,0.2,1.1534471090328644,False
iMF,32,5,ERM,4,8,0.04,1.1534471090328644,False
iMF,32,5,ERM,2,16,0.005,1.1534471090328644,False
iMF,32,5,ERM,1,32,0.0,1.1534471090328644,False
iMF,32,10,UCB,32,1,0.175,0.9211386865901507,False
iMF,32,10,UCB,16,2,0.67,0.9211386865901507,True
iMF,32,10,UCB,8,4,0.14,0.9211386865901507,False
iMF,32,10,UCB,4,8,0.01,0.9211386865901507,False
iMF,32,10,UCB,2,16,0.0,0.9211386865901507,False
iMF,32,10,UCB,1,32,0.005,0.9211386865901507,False
iMF,32,10,ERM,32,1,0.145,0.8407301681241617,False
iMF,32,10,ERM,16,2,0.7,0.8407301681241617,True
iMF,32,10,ERM,8,4,0.15,0.8407301681241617,False
iMF,32,10,ERM,4,8,0.0,0.8407301681241617,False
iMF,32,10,ERM,2,16,0.0,0.8407301681241617,False
iMF,32,10,ERM,1,32,0.005,0.8407301681241617,False
iMF,32,25,UCB,32,1,0.125,0.666671473030435,False
iMF,32,25,UCB,16,2,0.785,0.666671473030435,True
iMF,32,25,UCB,8,4,0.09,0.666671473030435,False
iMF,32,25,UCB,4,8,0.0,0.666671473030435,False
iMF,32,25,UCB,2,16,0.0,0.666671473030435,False
iMF,32,25,UCB,1,32,0.0,0.666671473030435,False
iMF,32,25,ERM,32,1,0.08,0.5386420895761914,False
iMF,32,25,ERM,16,2,0.845,0.5386420895761914,True
iMF,32,25,ERM,8,4,0.075,0.5386420895761914,False
iMF,32,25,ERM,4,8,0.0,0.5386420895761914,False
iMF,32,25,ERM,2,16,0.0,0.5386420895761914,False
