gate,metric,requirement,U,E,effect,ci_lo,ci_hi,rel_improvement,margin,magnitude_ok,ci_ok,result,note
G1,qrs_deriv_rmse,relative improvement >= 5% AND 95% paired CI entirely > 0,0.3209976751293294,0.3124484618374968,0.00854921329183266,0.008316620595609893,0.008766112240725023,0.026633256108126484,0.05,False,True,FAIL,CI is entirely favourable but the improvement (2.66%) is below the frozen 5% bar
G2,qrs_curvature_err,relative improvement >= 5% AND 95% paired CI entirely > 0,0.21436754231131114,0.19740401155964216,0.016963530751669016,0.01678781352579388,0.01714673151154082,0.0791329254828794,0.05,True,True,PASS,
G3,per-subject,neither subject worsens > 2% on BOTH gate metrics,,,,,,,0.02,True,True,PASS,"an0: deriv +3.50%, curv +8.94%; k2s: deriv +1.84%, curv +6.90%"
N1,f1_excess@50,E no worse than U by more than 0.02 (abs_worse_max),0.32129379055107465,0.3386955230386181,0.01740173248754351,0.015875618951718275,0.0189216620668104,0.054161434174300284,0.02,True,True,PASS,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
N2,beats_ratio_dev,E no worse than U by more than 0.02 (abs_worse_max),0.10896047449425302,0.09981008259708703,0.009150391897165999,0.008205381609578264,0.010100201493278988,0.08397900192375368,0.02,True,True,PASS,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
N3,qrs_ptp_dev,E no worse than U by more than 0.05 (rel_worse_max),0.48694239250164223,0.5175350310057291,-0.03059263850408679,-0.03204800115357176,-0.029148847192732714,-0.06282599127777452,0.05,False,True,FAIL,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
N4,qrs_energy_dev,E no worse than U by more than 0.05 (rel_worse_max),0.6407242583122728,0.6271879014770609,0.013536356835211677,0.011028428678591641,0.016547644217574112,0.021126649505776224,0.05,True,True,PASS,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
N5,corr,E no worse than U by more than 0.02 (abs_worse_max),0.10802332372603271,0.12949295268231995,0.021469628956287214,0.020692737103072213,0.022207194908964858,0.19874993858491355,0.02,True,True,PASS,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
N6,rmse,E no worse than U by more than 0.05 (rel_worse_max),0.4152162006535911,0.42046028176973654,-0.005244081116145447,-0.00558510153005764,-0.004912322269373269,-0.012629760370358236,0.05,True,True,PASS,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
N7,F4__ratio_dev,E no worse than U by more than 0.1 (rel_worse_max),0.3809006604505141,0.42087619592854064,-0.03997553547802672,-0.04245987142990999,-0.03733750448613934,-0.10495002930881009,0.1,False,True,FAIL,NOT EVALUATED FOR THE VERDICT: prereg §11 stops at the G1 failure
