patient,n_windows,n_omega_hr,ham_K1_S5,ham_K1_S10,ham_K2_S5,ham_K1_S15,ham_K3_S5,ham_K1_S20,ham_K2_S10,ham_K4_S5,ham_K1_S25,ham_K5_S5,ham_K16_S5,ham_K16_S10,ham_K16_S15,ham_K16_S20,ham_K16_S25,proj_K1_S5,proj_K1_S10,proj_K2_S5,proj_K1_S15,proj_K3_S5,proj_K1_S20,proj_K2_S10,proj_K4_S5,proj_K1_S25,proj_K5_S5,proj_K16_S5,proj_K16_S10,proj_K16_S15,proj_K16_S20,proj_K16_S25,ppg_findpeaks,ppg_official,mech_I_S5,mech_C_S5,mech_G_S5,mech_SD_S5,mech_MAD_S5,mech_wRMS_S5,mech_I_S10,mech_C_S10,mech_G_S10,mech_SD_S10,mech_MAD_S10,mech_wRMS_S10,mech_I_S15,mech_C_S15,mech_G_S15,mech_SD_S15,mech_MAD_S15,mech_wRMS_S15,mech_I_S20,mech_C_S20,mech_G_S20,mech_SD_S20,mech_MAD_S20,mech_wRMS_S20,mech_I_S25,mech_C_S25,mech_G_S25,mech_SD_S25,mech_MAD_S25,mech_wRMS_S25
4,15.0,15.0,0.243786,0.259116,0.214595,0.273008,0.205881,0.278928,0.221677,0.204208,0.336614,0.200152,0.168466,0.175346,0.178169,0.18151,0.176972,0.484641,0.90773,0.454969,1.240346,0.280084,1.322893,0.866023,0.276001,1.350257,0.276365,0.266521,0.258962,0.263474,0.267503,0.259166,0.243876,,0.243786,0.168466,0.07532,0.168195,0.110839,0.998424,0.259116,0.175346,0.08377,0.195497,0.126255,1.058577,0.273008,0.178169,0.094839,0.211991,0.138227,1.075979,0.278928,0.18151,0.097418,0.221878,0.138149,1.083534,0.336614,0.176972,0.159643,0.477304,0.145231,1.087716
5,15.0,15.0,3.184772,4.39179,3.037993,4.033275,1.73539,3.779409,4.619791,2.165177,4.489936,1.736634,1.566117,2.725875,2.909722,2.739387,2.93855,6.927168,7.005503,6.456433,7.16329,5.086927,7.146277,6.814795,5.306528,7.233563,5.131779,5.288416,5.139472,4.818171,4.665989,4.706107,2.542117,,0.611318,0.367044,0.244274,0.843187,0.174887,1.026564,0.818582,0.328194,0.490387,1.476591,0.225786,1.089025,1.091158,0.306078,0.785079,2.292155,0.242943,1.1061,1.091842,0.319222,0.77262,2.35754,0.275098,1.111874,1.115073,0.299637,0.815436,2.543515,0.258574,1.114355
6,15.0,15.0,16.789748,16.767925,16.676715,16.766611,16.956662,16.868241,16.645175,16.948461,16.917916,16.970533,16.967534,16.956708,16.934006,16.929218,16.940187,31.785409,31.764779,31.78083,31.74119,31.760043,31.742798,31.757592,31.776482,31.684863,31.76352,31.772551,31.767381,31.770209,31.767637,31.767778,17.000099,,16.789748,16.967534,-0.177786,1.331446,0.158653,1.060284,16.767925,16.956708,-0.188783,1.546716,0.186613,1.113488,16.766611,16.934006,-0.167395,1.645323,0.198655,1.128952,16.868241,16.929218,-0.060976,1.396491,0.197056,1.134513,16.917916,16.940187,-0.02227,1.270322,0.201281,1.137011
17,15.0,15.0,8.261815,8.654064,8.140302,9.387741,8.403376,9.164998,8.213975,7.807481,10.006466,8.123586,8.232149,7.511009,8.209867,8.140454,8.696982,7.301584,9.265561,6.838449,9.350172,3.766263,9.2441,8.904842,3.512104,8.957216,3.245942,2.987372,2.974905,4.33307,3.662702,4.374096,4.262099,,2.608724,2.627469,-0.018745,1.242623,0.332188,1.006611,2.73291,2.591578,0.141332,1.844394,0.334694,1.066067,2.946723,2.684577,0.262146,1.870723,0.354849,1.082756,2.829138,2.682631,0.146508,2.518989,0.389443,1.089088,3.155376,2.67714,0.478236,2.616042,0.432229,1.091716
19,15.0,15.0,5.684029,6.363074,5.62544,6.239621,5.70427,6.270089,5.918388,5.637657,6.332001,5.646547,5.605006,5.720319,5.684324,5.687619,5.693423,3.445999,3.255976,3.616181,3.35671,3.061977,3.309328,2.807136,2.603366,3.113338,2.734489,2.612537,2.414211,2.4251,2.678421,2.302621,5.860543,,4.693283,4.44409,0.249193,0.838925,0.181212,1.073613,5.149678,4.469051,0.680627,2.548802,0.20202,1.131404,5.160474,4.472919,0.687555,2.448857,0.220951,1.145314,5.191435,4.484643,0.706792,2.58916,0.228102,1.149789,5.299149,4.480264,0.818885,3.181751,0.232736,1.151619
32,31.0,31.0,4.116813,4.057418,4.025227,3.987084,3.805876,4.433486,3.90214,3.592741,4.097065,4.029874,3.735865,3.386389,3.57646,3.742232,3.581575,5.17169,6.30949,5.043238,6.769103,4.953049,6.801446,5.90049,4.995549,6.645978,4.931866,4.684515,6.024972,6.25114,5.917147,5.727472,3.322194,,2.049206,1.911911,0.137295,1.033208,0.58078,1.000953,2.096035,1.806496,0.289539,1.221368,0.529399,1.051665,2.16029,1.779781,0.38051,1.518233,0.682557,1.06663,2.417878,1.911775,0.506102,1.778637,0.54637,1.072435,2.228432,1.743014,0.485418,1.987566,0.719424,1.075312
33,16.0,16.0,0.214791,0.297232,0.169279,0.321424,0.143156,0.329272,0.245407,0.137062,0.386028,0.135682,0.101002,0.113602,0.100105,0.107114,0.111268,1.787947,2.756116,1.748757,2.888969,0.296564,2.977015,2.694063,0.281204,2.842174,0.295656,0.245867,0.270289,0.239541,0.235365,0.246016,0.670398,,0.212513,0.100437,0.112076,0.240494,0.130098,1.006739,0.293438,0.11388,0.179558,0.505389,0.141689,1.064635,0.327602,0.099731,0.227871,0.601594,0.151097,1.081246,0.334983,0.106776,0.228207,0.60668,0.163379,1.088067,0.396255,0.111208,0.285047,0.806586,0.169382,1.0917
51,15.0,15.0,0.235267,0.257992,0.198936,0.349719,0.192001,0.353838,0.212859,0.173669,0.380532,0.176251,0.145327,0.163356,0.161934,0.161705,0.170593,0.5807,0.689818,0.546475,0.791135,0.210305,0.814942,0.645926,0.197827,0.833992,0.205472,0.168177,0.167387,0.172607,0.172435,0.175837,1.977547,,0.235267,0.145327,0.08994,0.223197,0.130403,1.047712,0.257992,0.163356,0.094637,0.253327,0.148799,1.112633,0.349719,0.161934,0.187785,0.571173,0.15918,1.132548,0.353838,0.161705,0.192132,0.546417,0.167639,1.141498,0.380532,0.170593,0.209939,0.629475,0.163101,1.145985
52,15.0,15.0,3.960943,3.318825,3.801466,3.493023,3.700997,3.497729,3.102445,2.968178,3.762521,3.176329,2.441559,2.554346,2.475261,2.352254,3.24353,2.012556,2.353193,1.986506,3.200708,1.290781,3.319494,2.191963,1.281809,3.610918,1.457468,0.901033,1.160383,1.01296,1.570125,1.568476,6.876084,,2.536129,2.463732,0.072397,0.188352,0.114342,1.002995,2.552999,2.465385,0.087614,0.2153,0.114301,1.064761,2.557336,2.45966,0.097676,0.223914,0.128708,1.082791,2.556899,2.449728,0.107171,0.228006,0.126362,1.089616,2.561005,2.449995,0.11101,0.234967,0.134707,1.093036
53,15.0,15.0,1.631689,1.703984,1.607786,1.793525,1.424839,1.846094,1.670465,1.429253,1.739504,1.370762,1.344576,1.395068,1.368307,1.374982,1.374159,0.835574,0.769614,0.810905,0.800804,0.699771,0.806098,0.734761,0.69058,0.834175,0.700919,0.675139,0.669289,0.67409,0.680343,0.679106,2.157149,,1.631689,1.344576,0.287113,0.927487,0.140205,1.020109,1.703984,1.395068,0.308916,0.839186,0.227608,1.088903,1.793525,1.368307,0.425218,1.105183,0.205987,1.109176,1.846094,1.374982,0.471112,1.424784,0.212587,1.116807,1.739504,1.374159,0.365345,1.171015,0.223651,1.120531
