corpus,K,nfe_per_window,coverage,C_nested,C_lo,C_hi,I_nested,G_nested,G_lo,G_hi,C_partition,mean_partition,trimmed20_partition,diff_vs_K1,diff_lo,diff_hi,win_rate_vs_K1
VITALDB,1,20,1.0,8.752551276363336,8.367244971440002,9.136742951949659,8.752551276363336,0.0,0.0,0.0,8.737168062721462,8.737168062721462,8.737168062721462,,,,
VITALDB,2,40,1.0,8.508049789813365,8.135755524837405,8.8882712936877,8.754057558131361,0.24600776831799503,0.2295209667472093,0.2626926755611061,8.489070686950027,8.489070686950027,8.489070686950027,-0.2445014865499721,-0.2963932314947087,-0.19665290266399824,0.6245674740484429
VITALDB,3,60,1.0,8.4093131671155,8.030777088784996,8.795567841775432,8.750711671213324,0.34139850409782463,0.3064888550861929,0.3737483521418491,8.408764152436817,8.390882187328609,8.390882187328609,-0.3432381092478376,-0.41280064378823544,-0.2768896013012748,0.6418685121107266
VITALDB,4,80,1.0,8.310971190797396,7.937178411108654,8.692735377798442,8.733904201740847,0.42293301094345115,0.3945375034542809,0.44899394101997325,8.31869547015068,8.339762104393492,8.339762104393492,-0.44158008556594003,-0.5081143998658596,-0.3771198045254733,0.6756055363321799
VITALDB,8,160,1.0,8.236599022472333,7.865943321128216,8.621586319392206,8.736543024573574,0.4999440021012421,0.46946484177708214,0.5297650136629354,8.243483536829121,8.252025191960064,8.225521555487651,-0.5159522538910046,-0.5873619204893441,-0.44378539591303223,0.6980968858131488
VITALDB,16,320,1.0,8.19814778806644,7.835479703172374,8.579949188095316,8.737168062721462,0.5390202746550259,0.5069175690194315,0.5710332677600722,8.19814778806644,8.201396156347444,8.179790083682702,-0.5544034882968997,-0.6292957663482567,-0.478700457215858,0.7032871972318339
WESAD,1,20,1.0,2.7998480334611893,2.3531275568232273,3.3459045319514518,2.7998480334611893,0.0,0.0,0.0,2.797675733566391,2.797675733566391,2.797675733566391,,,,
WESAD,2,40,1.0,2.578741473677991,2.1360282496959564,3.138007987140062,2.8137850026943267,0.23504352901633607,0.20923319886906563,0.261948464832961,2.5690770452709595,2.5690770452709595,2.5690770452709595,-0.2211065597831983,-0.25811164359624666,-0.18553413636326005,1.0
WESAD,3,60,1.0,2.4952374245626614,2.0610054776584845,3.0452904574348088,2.8160281193282235,0.3207906947655622,0.2821385068490665,0.36444305585649456,2.4831357907184235,2.4771599796812636,2.4771599796812636,-0.3046106088985277,-0.34296611672331645,-0.26733967819476245,1.0
WESAD,4,80,1.0,2.4194155064940057,1.9957265166500442,2.969447013349088,2.8105256510679273,0.39111014457392174,0.3436107458786391,0.44705446538632637,2.412015883042007,2.4293056805677407,2.4293056805677407,-0.38043252696718344,-0.4278250137072314,-0.3333760490204639,1.0
WESAD,8,160,1.0,2.329128712030765,1.9193184018566076,2.8646773276742694,2.803064343330247,0.4739356312994824,0.41033252292230055,0.5497375095960408,2.333597186171166,2.349294296969843,2.326510282901026,-0.4707193214304239,-0.537331758551309,-0.40542463750404195,1.0
WESAD,16,320,1.0,2.2871854699273677,1.8831758502100633,2.818988415993742,2.797675733566391,0.5104902636390237,0.4397156831254548,0.5944182718767729,2.2871854699273677,2.303808288700957,2.2789010403388943,-0.5126625635338213,-0.5869203661419815,-0.441767246249453,1.0
CAPNO,1,20,0.9996031746031746,2.304476756830691,1.3521575916405606,3.5692576124677604,2.304476756830691,0.0,0.0,0.0,2.2437096673740258,2.2437096673740258,2.2437096673740258,,,,
CAPNO,2,40,0.9996031746031746,2.168562754039413,1.2400660778252595,3.3924811813714726,2.2900612238602585,0.12149846982084608,0.0861859993950603,0.1633958996424066,2.126359942319782,2.126359942319782,2.126359942319782,-0.1359140027912785,-0.2017626027836931,-0.08109178834911383,0.8571428571428571
CAPNO,3,60,0.9996031746031746,2.032584948132462,1.1317625558144453,3.253339781049496,2.2545858942479735,0.2220009461155119,0.1542318243387205,0.30767033911069563,2.0243630354251247,2.08710678470622,2.08710678470622,-0.2718918086982295,-0.3857732544461331,-0.17476478020121589,0.9761904761904762
CAPNO,4,80,0.9996031746031746,1.9853752469434411,1.127199877878813,3.13120384016618,2.2506458021356996,0.26527055519225834,0.19171893119808484,0.3462707861901509,1.9765422994899378,2.054358890922108,2.054358890922108,-0.31910150988724983,-0.4602286917505263,-0.20471148394992358,0.9761904761904762
CAPNO,8,160,0.9996031746031746,1.9072019097563047,1.0808442930847597,3.0281885893049383,2.2448965795131617,0.33769466975685714,0.23783520737042588,0.4510319015091695,1.914622494398001,2.009248180187964,1.9542688162716082,-0.39727484707438687,-0.576900325730126,-0.24894428619820957,0.9761904761904762
CAPNO,16,320,0.9996031746031746,1.8865937406915707,1.0594863467503954,3.0092854332559007,2.2437096673740258,0.3571159266824556,0.2550510616939276,0.47205094974882644,1.8865937406915707,1.98201467905331,1.9082359609245048,-0.4178830161391208,-0.5905057011064271,-0.268384878651488,0.9523809523809523
DALIA,1,20,0.9999691052891745,3.2505010482572865,2.66825006144247,3.9987762135547844,3.2505010482572865,0.0,0.0,0.0,3.239048259854852,3.239048259854852,3.239048259854852,,,,
