seed,B,solver,K,steps,nfe_per_sample,total_nfe,hr_err,ci_lo,ci_hi,ms_per_sample_gpu,ms_per_window_gpu
42,32,heun,1,16,32,32,9.55381826755906,9.194723759500988,9.909484677385521,64.8500110979375,64.8500110979375
42,32,heun,2,8,16,32,8.703942897292153,8.352121101701014,9.050872587589492,34.27399893389154,68.54799786778308
42,32,heun,4,4,8,32,7.336757575326984,6.981499872002363,7.707675225404843,14.65860068562971,58.63440274251884
42,32,heun,8,2,4,32,7.670318306652284,7.295667140072404,8.048099676701936,7.399716893158491,59.19773514526793
42,32,heun,16,1,2,32,21.02442162623085,20.541153129306526,21.516028126123615,3.786123644028093,60.57797830444949
42,32,euler,1,32,32,32,9.274970956444053,8.92073888059743,9.623844840645035,nan,nan
42,32,euler,2,16,16,32,8.191431583175811,7.847210581852923,8.530209462073362,nan,nan
42,32,euler,4,8,8,32,6.713447712011302,6.347960347498496,7.084813563855234,nan,nan
42,32,euler,8,4,4,32,6.304229131711386,5.934884483785052,6.695680838591935,nan,nan
42,32,euler,16,2,2,32,6.348723870127087,5.970934351509564,6.746316245585832,nan,nan
42,32,euler,32,1,1,32,7.365757264068636,6.945644991901604,7.78828381206175,nan,nan
42,50,heun,1,25,50,50,9.64427125940637,9.283733919233011,10.003710084512239,70.86435946645457,70.86435946645457
42,50,heun,5,5,10,50,7.116855772543509,6.741610383462849,7.502492601157793,12.444570471280262,62.222852356401305
42,50,heun,25,1,2,50,20.32272079783809,19.821678370406143,20.82977546880006,3.2928864088787075,82.32216022196769
42,50,euler,1,50,50,50,9.443593725006194,9.09399992280388,9.7882333157516,62.48192929012797,62.48192929012797
42,50,euler,5,10,10,50,6.506841279577228,6.145340566027159,6.874670504266006,12.6911037185085,63.455518592542504
42,50,euler,10,5,5,50,6.1704312368384056,5.795118879709137,6.5532271417887245,6.409805159367737,64.09805159367737
42,50,euler,25,2,2,50,6.273059545921204,5.897221621994805,6.672124990919091,2.596692634981626,64.91731587454065
42,50,euler,50,1,1,50,7.346167248637367,6.931168321307308,7.771671568078508,1.2959048335635768,64.79524167817884
1,32,heun,1,16,32,32,10.947195487133872,10.585723834165869,11.31152472318023,40.39213406953906,40.39213406953906
1,32,heun,2,8,16,32,9.347219730532364,9.00384438224066,9.699283131264167,19.797514465001356,39.59502893000271
1,32,heun,4,4,8,32,7.3488834662189175,6.97760776882124,7.726397552139195,9.933109684884622,39.73243873953849
1,32,heun,8,2,4,32,9.401210408511231,8.970496061498734,9.818241352215864,5.044666144430192,40.35732915544153
1,32,heun,16,1,2,32,20.03859016006229,19.57913452714825,20.506871864466035,2.578878326436793,41.26205322298869
1,32,euler,1,32,32,32,11.03240085240327,10.66996778524795,11.390976653082726,nan,nan
1,32,euler,2,16,16,32,9.900304937942034,9.571515790361099,10.23886186959149,20.440846243793892,40.881692487587785
1,32,euler,4,8,8,32,7.8650488515729595,7.521290654158856,8.203451990602597,10.250378127154992,41.00151250861997
1,32,euler,8,4,4,32,6.46497714398159,6.107216768482372,6.824671382709228,nan,nan
1,32,euler,16,2,2,32,6.247045494901334,5.869740887360759,6.64239003011302,2.5746947872580663,41.19511659612906
1,32,euler,32,1,1,32,7.288615156887572,6.873069587620062,7.705893385024476,nan,nan
1,50,heun,1,25,50,50,11.058004005333315,10.70939204045887,11.410168432578125,64.07158910387521,64.07158910387521
1,50,heun,5,5,10,50,6.878174321331948,6.492735455812762,7.2571434271264526,12.796720675772642,63.98360337886321
1,50,heun,25,1,2,50,19.51391960217158,19.04096354307518,20.00165756321229,2.3839979938588867,59.599949846472164
1,50,euler,1,50,50,50,11.108176729469577,10.76335861952773,11.463604715040043,31.742930138615506,31.742930138615506
1,50,euler,5,10,10,50,7.441370684275476,7.093203798101579,7.79263511983348,6.34542166994711,31.727108349735552
1,50,euler,10,5,5,50,6.481839229826117,6.122699302883941,6.8442142189693,3.1732195930188087,31.732195930188087
1,50,euler,25,2,2,50,6.191968924811853,5.808176999553061,6.595154222186653,2.1044407588013865,52.611018970034664
