model,S,K,total_nfe,center_err,center_err_lo,center_err_hi,individual_err,individual_err_lo,individual_err_hi,median_gain,median_gain_lo,median_gain_hi,disp_mad,disp_mad_lo,disp_mad_hi,disp_sd,disp_sd_lo,disp_sd_hi,f1_per_sample,f1_per_sample_lo,f1_per_sample_hi,nan_sample_frac,wave_pairwise_rms,wave_pairwise_rms_lo,wave_pairwise_rms_hi,feat_pairwise,feat_pairwise_lo,feat_pairwise_hi,fd_per_sample_mean
iMF,1,16,16,6.674682537654346,6.311970082992265,7.046773782830049,10.12078814333194,9.785711959071877,10.467045500831835,3.4461056056775936,3.355563244167454,3.5380884304121936,3.4882242679595947,3.3715994358062744,3.6071248054504395,10.227587699890137,10.053666114807129,10.407578468322754,0.6747448949690049,0.6662913836350867,0.6829095463308043,0.008014378549864401,0.4766779951984845,0.4730355860537681,0.4802517976169226,1.2886365967004374,1.2796948453948969,1.2977267783489712,2.410113868524623
iMF,2,16,32,6.175685382603318,5.805581026091796,6.55898851834681,9.411952580418564,9.079833153144062,9.754895452431969,3.2362671978152484,3.1539539528408667,3.3199188744365595,3.0363056659698486,2.938340663909912,3.13614821434021,9.587017059326172,9.431294441223145,9.747501373291016,0.6729731161821487,0.6646178894779818,0.6810897433401946,0.010198664483446758,0.5050402297637473,0.5011165930084446,0.5089049214514293,1.5226947365259071,1.5104119656591675,1.5355369471213596,2.598978618263328
iMF,4,16,64,6.221372742204904,5.8459781006931335,6.611892473316298,8.973542589109757,8.626521071677924,9.32969569945683,2.7521698469048532,2.6780706723503593,2.8283715672010636,2.8085602290096965,2.716374447692533,2.90484419984574,8.612502666796074,8.464160391283622,8.768908299482579,0.6766333045701012,0.6682099882048446,0.6848396632235035,0.02393120298828225,0.4897541621268469,0.48582979858947156,0.49349119353022974,1.5402892319833084,1.5268044545676882,1.5542193408917546,2.470391944928454
iMF,8,16,128,6.303630989398641,5.927593881819078,6.7034099844827635,8.833689648444192,8.480527450764127,9.208667591212667,2.530058659045552,2.459166608695964,2.60340597687324,2.713504766653887,2.6216992933044083,2.8099820269091134,8.176575161448728,8.026661566333454,8.333943309431785,0.6769459011519693,0.668496329336961,0.6853676880403052,0.032700327482986236,0.4878801360056174,0.4839327233291932,0.4915922067999127,1.4355613229749733,1.4221733921308495,1.4494515280367823,2.6934549050967833
consistency distillation,1,16,16,6.228603629671313,5.850176164585994,6.620194074599548,8.248744747396907,7.888669175468265,8.620679596557029,2.0201411177255943,1.9551662085157948,2.0898453827654646,2.7326602935791016,2.6438798904418945,2.824251413345337,6.917414665222168,6.765746116638184,7.07319450378418,0.675004579147925,0.6665174267877308,0.683069872476757,0.017774906616179708,0.4224779014095615,0.41895317670852106,0.4258283123617628,1.265806341303404,1.2545572563315253,1.2760946384341911,3.029355346247325
consistency distillation,2,16,32,6.253283551428916,5.881213329204026,6.626953916305247,8.957503653036007,8.623937645515465,9.318966206286373,2.704220101607093,2.627550108925191,2.7799099123017856,3.0378479957580566,2.9408161640167236,3.137828826904297,8.412160873413086,8.251786231994629,8.577881813049316,0.6637128931173351,0.6555437684433744,0.671630051460171,0.002558460829964693,0.46184327289540733,0.4581824886098703,0.46550407289889323,1.3251402630854245,1.3117125640498692,1.3382703999775412,3.3018996109940613
consistency distillation,4,16,64,6.202630711939942,5.842396194077749,6.571890647084072,8.639044176189358,8.297767628276864,9.002907124494962,2.4364134642494144,2.363174288945033,2.51166719663647,2.9188351995310615,2.824352313659632,3.015529548348708,7.797327301498043,7.630902834111902,7.970793024949011,0.6687836637212604,0.6606515834459601,0.6767897649621074,0.0068119019597809955,0.4742901644863183,0.4701197075806456,0.47842376322693597,1.3442383429162232,1.3305021658003295,1.3587971138984827,5.198189967458201
consistency distillation,8,16,128,6.171020312068636,5.80376290787214,6.5516031613813475,8.3814518677575,8.030598745393407,8.744259519516463,2.210431555688863,2.1382344900013783,2.287111969308163,2.7660171215412035,2.6805038870077538,2.8560415651493725,7.32050124959027,7.155892541812528,7.501855408937529,0.6768338401741097,0.6683757666605166,0.6850623887170999,0.0064409251394361156,0.47188627740665623,0.4674132639900094,0.47659519993201965,1.3710113541201585,1.3547282028702075,1.3876588153540352,10.225418791078933
PENGUIN (Euler),1,16,16,7.437505470354341,7.02628973941013,7.860354673895303,8.675494460942124,8.254718580207205,9.096814758251456,1.2379889905877834,1.1730208441643557,1.3078577796604915,2.530362367630005,2.4186224937438965,2.6477065086364746,5.709789276123047,5.515674591064453,5.910439491271973,0.755403275626897,0.7458697293198225,0.7649313229228657,0.05286739497518293,0.07372026875008435,0.07232791869148006,0.07520858259782673,0.3539424443456799,0.3484466974539075,0.360451894625854,21.498267046145664
PENGUIN (Euler),2,16,32,6.348723870127087,5.970934351509564,6.746316245585832,8.069213762736894,7.699542741132222,8.455611942947888,1.720489892609807,1.6613961984894143,1.7814000536108825,2.627080202102661,2.5367414951324463,2.7188336849212646,6.178277492523193,6.028624534606934,6.332929611206055,0.7028044008588958,0.6940941887883271,0.7112712786659773,0.022306580361254668,0.2185660270651227,0.2169456589051482,0.22020959036798254,0.8832366451896276,0.8753756619409452,0.8913543982568817,14.919551020785727
