model,seed,S,K,total_nfe,R_partition,R_partition_lo,R_partition_hi,R_nested,R_nested_lo,R_nested_hi,marginal_gain_to_2K,marginal_gain_to_2K_lo,marginal_gain_to_2K_hi,R_minus_R32,R_minus_R32_lo,R_minus_R32_hi
iMF,42,2,1,2,9.422194408965476,9.09375781755416,9.76421181245452,9.285332464907594,8.917721253178385,9.654334491005894,0.684104835196227,0.6621802674420113,0.7071267491442598,3.366596898321406,3.2816110394758407,3.4557253869839974
iMF,42,2,2,4,8.73808957376925,8.418444119948708,9.072022088886683,8.762826671486046,8.415813032120626,9.119314014768904,1.5529116152889644,1.5152865169226732,1.5928462116927866,2.682492063125179,2.603651534652249,2.765444670467067
iMF,42,2,4,8,7.185177958480285,6.841280733698089,7.540516432150823,7.155170576608505,6.794908998057146,7.521373814083154,0.666934865962262,0.6393014499635472,0.6969747162169424,1.1295804478362146,1.0780877408897338,1.1816690706739859
iMF,42,2,8,16,6.518243092518023,6.163720724196467,6.891723589779641,6.501861068599458,6.13905244285666,6.875567806014498,0.3216901923563454,0.2984543317216312,0.34525461953841297,0.46264558187395255,0.4315580941484629,0.49534747653788946
iMF,42,2,16,32,6.196552900161677,5.835920009089406,6.570994693145731,6.1756853879591,5.8055810331834214,6.558988509447235,0.14095538951760717,0.12232848978823921,0.16037080100303697,0.14095538951760717,0.12232848978823921,0.16037080100303697
iMF,42,2,32,64,6.05559751064407,5.687962849177551,6.42868848705257,6.05559751064407,5.687962849177551,6.42868848705257,nan,nan,nan,0.0,0.0,0.0
iMF,1,2,1,2,8.594741392157296,8.254037686984264,8.95253234679566,8.406301320470472,8.036556369559037,8.787210490015305,0.5869773809175477,0.5673736462113245,0.6078721225218969,2.5792024044705664,2.512182428776119,2.649986176709092
iMF,1,2,2,4,8.00776401123975,7.670778005135553,8.357342572444612,7.914328876325165,7.558989209104153,8.27359924033419,1.2271893464367234,1.1928819514687712,1.2608762905280624,1.9922250235530181,1.931206739939213,2.0578360047420583
iMF,1,2,4,8,6.7805746648030265,6.418151971067807,7.157095359710389,6.736160127699384,6.362419748949194,7.103454933632855,0.4808663576046413,0.4581344331860213,0.5045490179598243,0.7650356771162949,0.7294184234767707,0.8018878321020219
iMF,1,2,8,16,6.299708307198385,5.92934291806094,6.690932880302271,6.289375099198416,5.926225404023312,6.671091529480059,0.1914998950187799,0.17491655060689643,0.20904329663075236,0.2841693195116536,0.2615972175875235,0.30632814079215787
iMF,1,2,16,32,6.108208412179605,5.737098870852446,6.502259057273603,6.11545020354873,5.7408237029638,6.509382749060955,0.09266942449287369,0.07937152719898295,0.10661227182510728,0.09266942449287369,0.07937152719898295,0.10661227182510728
iMF,1,2,32,64,6.015538987686731,5.642658210539808,6.412512138201355,6.015538987686731,5.642658210539808,6.412512138201355,nan,nan,nan,0.0,0.0,0.0
iMF,2,2,1,2,9.639177749881243,9.315575982069166,9.967827126404528,9.616494137781723,9.238458714253188,9.975905920787467,0.7111040514473708,0.6899654217622457,0.7314779385055836,3.5664602684244113,3.4877242115638447,3.6470265317085575
iMF,2,2,2,4,8.928073698433872,8.610525402408358,9.252457681846092,8.921919297077112,8.582263250384344,9.2750501144926,1.6821671185362415,1.6444450308951062,1.7194955050639902,2.85535621697704,2.7808306792425364,2.9294857669778267
