model,S,n_windows,pearson_mean,pearson_p5,pearson_p95,spearman_mean,icc1,median_gain,gain_ci_lower
iMF,1,18171,0.5576849231813393,0.5482015582622322,0.5675203663773315,0.3664790629286658,0.5576747734409934,3.4461056056775936,3.355563244167454
iMF,2,17820,0.5859149370810605,0.5760839854076102,0.5953835509767209,0.3659866161140055,0.5858950747974939,3.2362671978152484,3.1539539528408667
iMF,4,17139,0.6448224608369935,0.6360130167355649,0.6547586074375816,0.37479479732849424,0.6447755218992677,2.7521698469048532,2.6780706723503593
iMF,8,16639,0.6711128059995726,0.6603894306475009,0.6824005254113624,0.38246542354558327,0.6710567930735628,2.530058659045552,2.459166608695964
consistency distillation,1,17839,0.7284893822821581,0.7212535433901102,0.7368322323056955,0.41890584557109645,0.728464823862406,2.0201411177255943,1.9551662085157948
consistency distillation,2,18910,0.6279894168935835,0.6188526926191003,0.6365088947890251,0.4027405984293091,0.6279822382335278,2.704220101607093,2.627550108925191
consistency distillation,4,18402,0.666892669023276,0.65892499386339,0.6753035202974417,0.40923278232090937,0.6668652018051567,2.4364134642494144,2.363174288945033
consistency distillation,8,18457,0.678201266645537,0.6694846109227207,0.6877914828566013,0.4235071674030009,0.6781865116117264,2.210431555688863,2.1382344900013783
PENGUIN (Euler),1,16797,0.8580002136584345,0.8465447124211146,0.8688651329517015,0.7602886609045881,0.857937404983024,1.2379889905877834,1.1730208441643557
PENGUIN (Euler),2,17631,0.7894367287963975,0.7819477466895813,0.7976521092678962,0.43753776061257715,0.789423428987158,1.720489892609807,1.6613961984894143
PENGUIN (Euler),4,18016,0.7170125396270393,0.7091874218209235,0.7261703347189131,0.405888032832747,0.7170049906428114,2.1316261719518192,2.0683860823117883
PENGUIN (Euler),8,19116,0.6517997860747606,0.639111696402789,0.6620866283259973,0.3998563772154597,0.6517700886845321,2.4344893826330107,2.364128800791274
