corpus,task,arm,nfe,metric,unit,value,ci_lo,ci_hi,draw_std,n_units,n_subjects,gen_seconds
u2_bidmc,Resp,C,1,MAE,per-subject-macro,0.695108959499271,0.6529800129264556,0.7427778189769799,0.0014954868001495535,960,8,6.9
u2_bidmc,Resp,C,1,RMSE,per-subject-macro,0.7687611827908514,0.7278869802248421,0.8145794080855876,0.0014829833606353666,960,8,6.9
u2_bidmc,Resp,C,1,RR,per-subject-macro,2.49609375,1.6716796875,3.5118164062499995,0.4485729052976645,64,8,6.9
u2_bidmc,Resp,C,1,Resp_corr,per-subject-macro,-0.06178283710958483,-0.13737041975792186,0.016509900214239075,0.004701590408451368,64,8,6.9
u2_bidmc,Resp,C,2,MAE,per-subject-macro,1.1699611191639638,1.1376081987890192,1.1967989736557425,0.0017896894510373758,960,8,12.7
u2_bidmc,Resp,C,2,RMSE,per-subject-macro,1.4490810024019238,1.4130891133812702,1.480347658608123,0.001955482508935659,960,8,12.7
u2_bidmc,Resp,C,2,RR,per-subject-macro,2.765625,2.10546875,3.609570312499999,0.39912624295140003,64,8,12.7
u2_bidmc,Resp,C,2,Resp_corr,per-subject-macro,-0.047908840502495095,-0.11334749879518319,0.02015187134650471,0.006717648552953391,64,8,12.7
u2_bidmc,Resp,C,4,MAE,per-subject-macro,0.7795941134242629,0.7334177522178847,0.8279160267439506,0.0040653488095584766,960,8,24.9
u2_bidmc,Resp,C,4,RMSE,per-subject-macro,0.9254761403608702,0.8767398587896239,0.9771985911858933,0.004575667950454941,960,8,24.9
u2_bidmc,Resp,C,4,RR,per-subject-macro,3.2734375,2.57421875,4.03515625,0.46225975601521924,64,8,24.9
u2_bidmc,Resp,C,4,Resp_corr,per-subject-macro,-0.03728861946203885,-0.09140683952064518,0.01567101673288605,0.011590458477228803,64,8,24.9
u2_bidmc,Resp,C,50,MAE,per-subject-macro,0.804072917698945,0.7675628958876873,0.8433923385823217,0.010295820711000422,960,8,301.3
u2_bidmc,Resp,C,50,RMSE,per-subject-macro,0.9598157767547747,0.9199241641249198,1.001618618576454,0.010652653597728037,960,8,301.3
u2_bidmc,Resp,C,50,RR,per-subject-macro,3.33203125,2.88271484375,3.8633789062499995,0.1191886429874403,64,8,301.3
