corpus,task,arm,nfe,metric,unit,value,ci_lo,ci_hi,draw_std,n_units,n_subjects,gen_seconds
u2_mimicbp,ABP,C,1,DBP,per-subject-macro,10.093955166034744,9.48628259336624,10.70973361486711,0.07339291189115549,5954,229,82.2
u2_mimicbp,ABP,C,1,MAE,per-subject-macro,13.171538678098623,12.643454925671431,13.703769377481219,0.0018981751570498117,11908,229,82.2
u2_mimicbp,ABP,C,1,RMSE,per-subject-macro,15.501994518555879,14.939955539042826,16.04849979199311,0.0035231478778666356,11908,229,82.2
u2_mimicbp,ABP,C,1,SBP,per-subject-macro,14.330610626689694,13.578742791687755,15.09827502712452,0.016876747040451844,5954,229,82.2
u2_mimicbp,ABP,C,2,DBP,per-subject-macro,9.703669856609338,9.126924128763862,10.276089652224519,0.06251925391764303,5954,229,155.1
u2_mimicbp,ABP,C,2,MAE,per-subject-macro,13.21820428241024,12.687535276715836,13.750091153420978,0.002005395136084909,11908,229,155.1
u2_mimicbp,ABP,C,2,RMSE,per-subject-macro,15.56051505995208,14.99564560324409,16.10301442930088,0.00371665747495367,11908,229,155.1
u2_mimicbp,ABP,C,2,SBP,per-subject-macro,14.458800700594205,13.707182835996012,15.234221499663773,0.018256947416017216,5954,229,155.1
u2_mimicbp,ABP,C,4,DBP,per-subject-macro,9.527461421701947,8.9578978210117,10.093910670863089,0.054184935383122565,5954,229,307.1
u2_mimicbp,ABP,C,4,MAE,per-subject-macro,13.28269710986037,12.751065315702549,13.817493090753864,0.0022065842556735315,11908,229,307.1
u2_mimicbp,ABP,C,4,RMSE,per-subject-macro,15.66130537065153,15.097968831903453,16.201520664527383,0.0042630187552710926,11908,229,307.1
u2_mimicbp,ABP,C,4,SBP,per-subject-macro,14.666806048661382,13.902614769496731,15.445425046367216,0.01927953330085704,5954,229,307.1
u2_mimicbp,ABP,C,50,DBP,per-subject-macro,10.146128272705921,9.48386975120369,10.842911880379521,0.025509546420866124,5954,229,3738.4
u2_mimicbp,ABP,C,50,MAE,per-subject-macro,13.76964873778521,13.22595441014408,14.304898490506815,0.010559141583396147,11908,229,3738.4
u2_mimicbp,ABP,C,50,RMSE,per-subject-macro,16.52566080080528,15.974175812210133,17.07086731002221,0.013583436918095467,11908,229,3738.4
u2_mimicbp,ABP,C,50,SBP,per-subject-macro,17.112164012689817,16.255330810716657,18.002526422727414,0.046724462019149704,5954,229,3738.4
u2_mimicbp,ABP,I,1,DBP,per-subject-macro,23.616885404439437,22.503735203690127,24.733215767807874,0.009051757724187447,5954,229,78.2
