corpus,task,arm,nfe,metric,unit,value,ci_lo,ci_hi,draw_std,n_units,n_subjects,gen_seconds
u2_ucibp,ABP,C,1,DBP,per-subject-macro,8.91206086174647,8.91206086174647,8.91206086174647,0.012225768904107405,6000,1,25.2
u2_ucibp,ABP,C,1,MAE,per-subject-macro,13.868665551058328,13.868665551058328,13.868665551058328,0.0020151728474756348,12000,1,25.2
u2_ucibp,ABP,C,1,RMSE,per-subject-macro,16.733556406328674,16.733556406328674,16.733556406328674,0.0027124929489296045,12000,1,25.2
u2_ucibp,ABP,C,1,SBP,per-subject-macro,17.861025738398233,17.861025738398233,17.861025738398233,0.03796914165504728,6000,1,25.2
u2_ucibp,ABP,C,2,DBP,per-subject-macro,8.839093557834625,8.839093557834625,8.839093557834625,0.01102644480147221,6000,1,49.7
u2_ucibp,ABP,C,2,MAE,per-subject-macro,13.878295944507233,13.878295944507233,13.878295944507233,0.0018929502465982457,12000,1,49.7
u2_ucibp,ABP,C,2,RMSE,per-subject-macro,16.747961132727248,16.747961132727248,16.747961132727248,0.002666531861657675,12000,1,49.7
u2_ucibp,ABP,C,2,SBP,per-subject-macro,17.996360740661622,17.996360740661622,17.996360740661622,0.03535720164661809,6000,1,49.7
u2_ucibp,ABP,C,4,DBP,per-subject-macro,8.825865142822266,8.825865142822266,8.825865142822266,0.012304825954503676,6000,1,99.3
u2_ucibp,ABP,C,4,MAE,per-subject-macro,13.957397268759086,13.957397268759086,13.957397268759086,0.0020798200433024923,12000,1,99.3
u2_ucibp,ABP,C,4,RMSE,per-subject-macro,16.871510938251717,16.871510938251717,16.871510938251717,0.0026981726477324627,12000,1,99.3
u2_ucibp,ABP,C,4,SBP,per-subject-macro,18.458155200004576,18.458155200004576,18.458155200004576,0.03282511269711971,6000,1,99.3
u2_ucibp,ABP,C,50,DBP,per-subject-macro,9.593212790807089,9.593212790807089,9.593212790807089,0.008890189327519478,6000,1,1240.5
u2_ucibp,ABP,C,50,MAE,per-subject-macro,15.549205499381758,15.549205499381758,15.549205499381758,0.009673059107029463,12000,1,1240.5
u2_ucibp,ABP,C,50,RMSE,per-subject-macro,19.24329155290095,19.24329155290095,19.24329155290095,0.012076714845204848,12000,1,1240.5
u2_ucibp,ABP,C,50,SBP,per-subject-macro,26.470126231193543,26.470126231193543,26.470126231193543,0.04123726631468236,6000,1,1240.5
u2_ucibp,ABP,I,1,DBP,per-subject-macro,32.880780534505845,32.880780534505845,32.880780534505845,0.02605088505109438,6000,1,25.0
u2_ucibp,ABP,I,1,MAE,per-subject-macro,33.997060744131375,33.997060744131375,33.997060744131375,0.010123898560747349,12000,1,25.0
u2_ucibp,ABP,I,1,RMSE,per-subject-macro,41.559240649400806,41.559240649400806,41.559240649400806,0.010189390336168743,12000,1,25.0
u2_ucibp,ABP,I,1,SBP,per-subject-macro,30.705884919484458,30.705884919484458,30.705884919484458,0.010241070120060506,6000,1,25.0
u2_ucibp,ABP,I,2,DBP,per-subject-macro,20.672768917878468,20.672768917878468,20.672768917878468,0.014911745810757795,6000,1,49.7
u2_ucibp,ABP,I,2,MAE,per-subject-macro,30.641536503551837,30.641536503551837,30.641536503551837,0.013197434428332478,12000,1,49.7
u2_ucibp,ABP,I,2,RMSE,per-subject-macro,38.71660547716356,38.71660547716356,38.71660547716356,0.012604906328126214,12000,1,49.7
u2_ucibp,ABP,I,2,SBP,per-subject-macro,33.27448850949605,33.27448850949605,33.27448850949605,0.014113222645381092,6000,1,49.7
u2_ucibp,ABP,I,4,DBP,per-subject-macro,15.990105074246724,15.990105074246724,15.990105074246724,0.002802075500577748,6000,1,99.2
u2_ucibp,ABP,I,4,MAE,per-subject-macro,29.575797510077244,29.575797510077244,29.575797510077244,0.016594983047980936,12000,1,99.2
u2_ucibp,ABP,I,4,RMSE,per-subject-macro,37.884327431990016,37.884327431990016,37.884327431990016,0.015574672168562311,12000,1,99.2
u2_ucibp,ABP,I,4,SBP,per-subject-macro,36.86571814409892,36.86571814409892,36.86571814409892,0.021587483009832664,6000,1,99.2
u2_ucibp,ABP,C,1,FD_discrete,corpus-pooled,31.67817366218567,nan,nan,0.0613469426749043,3000,1,25.2
u2_ucibp,ABP,C,1,FD_kanflow,corpus-pooled,68904.0078986755,nan,nan,96.44621075801153,3000,1,25.2
u2_ucibp,ABP,C,2,FD_discrete,corpus-pooled,31.426153719902036,nan,nan,0.0561189110954604,3000,1,49.7
u2_ucibp,ABP,C,2,FD_kanflow,corpus-pooled,68228.74838812264,nan,nan,98.56368518189763,3000,1,49.7
u2_ucibp,ABP,C,4,FD_discrete,corpus-pooled,31.583645332336424,nan,nan,0.05508099562699212,3000,1,99.3
u2_ucibp,ABP,C,4,FD_kanflow,corpus-pooled,67634.1506235905,nan,nan,108.15458849269736,3000,1,99.3
u2_ucibp,ABP,C,50,FD_discrete,corpus-pooled,37.23214525604248,nan,nan,0.11026462566197269,3000,1,1240.5
u2_ucibp,ABP,C,50,FD_kanflow,corpus-pooled,70606.16938793912,nan,nan,259.56365396954914,3000,1,1240.5
u2_ucibp,ABP,I,1,FD_discrete,corpus-pooled,63.24211690028508,nan,nan,0.12274997006052084,3000,1,25.0
u2_ucibp,ABP,I,1,FD_kanflow,corpus-pooled,685991.2712665327,nan,nan,653.7865936283981,3000,1,25.0
u2_ucibp,ABP,I,2,FD_discrete,corpus-pooled,59.57837594509125,nan,nan,0.09588566601028538,3000,1,49.7
