corpus,task,arm,nfe,metric,unit,value,ci_lo,ci_hi,draw_std,n_units,n_subjects,gen_seconds
u2_wesad,Resp,C,1,MAE,per-subject-macro,0.5894726489555218,0.5830778338017829,0.5958674641092606,0.0008340411314920579,2775,2,18.8
u2_wesad,Resp,C,1,RMSE,per-subject-macro,0.6648639409033711,0.6599082995113277,0.6698195822954145,0.001023155539740769,2775,2,18.8
u2_wesad,Resp,C,1,RR,per-subject-macro,4.233579638752053,4.002873563218391,4.464285714285714,0.12395396743006251,185,2,18.8
u2_wesad,Resp,C,1,Resp_corr,per-subject-macro,0.14561779958978568,0.10813309902950348,0.1831025001500679,0.008896884042115482,185,2,18.8
u2_wesad,Resp,C,2,MAE,per-subject-macro,0.8742581303422869,0.8706868511004894,0.8778294095840845,0.0011545273273527309,2775,2,35.8
u2_wesad,Resp,C,2,RMSE,per-subject-macro,1.0905724941265293,1.0854734970133302,1.0956714912397283,0.0015165819706692302,2775,2,35.8
u2_wesad,Resp,C,2,RR,per-subject-macro,4.392798498709829,4.158045977011494,4.627551020408164,0.10452957764370402,185,2,35.8
u2_wesad,Resp,C,2,Resp_corr,per-subject-macro,0.11301573781098408,0.08693023979711492,0.13910123582485323,0.008131406291688539,185,2,35.8
u2_wesad,Resp,C,4,MAE,per-subject-macro,0.6979745117102363,0.6926867935503503,0.7032622298701221,0.002239327230058791,2775,2,70.2
u2_wesad,Resp,C,4,RMSE,per-subject-macro,0.8373190238396799,0.8319427469857659,0.842695300693594,0.0024164273325974197,2775,2,70.2
u2_wesad,Resp,C,4,RR,per-subject-macro,5.341162326999765,5.239795918367347,5.442528735632184,0.19173037603148077,185,2,70.2
u2_wesad,Resp,C,4,Resp_corr,per-subject-macro,0.07938954939989788,0.06268779420240282,0.09609130459739294,0.008924173906116543,185,2,70.2
u2_wesad,Resp,C,50,MAE,per-subject-macro,0.7593386355964269,0.7566503628281904,0.7620269083646635,0.005169637628375684,2775,2,862.8
u2_wesad,Resp,C,50,RMSE,per-subject-macro,0.8937411050576745,0.8891440127593524,0.8983381973559965,0.005644182709708983,2775,2,862.8
u2_wesad,Resp,C,50,RR,per-subject-macro,5.020188247712879,4.885204081632653,5.155172413793103,0.22192196911078452,185,2,862.8
u2_wesad,Resp,C,50,Resp_corr,per-subject-macro,0.038099616244831117,0.032950523609115885,0.043248708880546355,0.011227474048763677,185,2,862.8
u2_wesad,Resp,I,1,MAE,per-subject-macro,0.7787871895273215,0.775368372147226,0.782206006907417,0.005206446599044358,2775,2,18.0
u2_wesad,Resp,I,1,RMSE,per-subject-macro,0.9197095119824302,0.9175065184017478,0.9219125055631127,0.005630280959709371,2775,2,18.0
u2_wesad,Resp,I,1,RR,per-subject-macro,5.12689127375088,5.038265306122449,5.2155172413793105,0.12568948771473118,185,2,18.0
u2_wesad,Resp,I,1,Resp_corr,per-subject-macro,0.0017574423888191625,-0.0011771964760522538,0.004692081253690579,0.010403142437537772,185,2,18.0
u2_wesad,Resp,I,2,MAE,per-subject-macro,0.7781892965766231,0.7737910690522086,0.7825875241010376,0.0054538196794498076,2775,2,35.6
u2_wesad,Resp,I,2,RMSE,per-subject-macro,0.9179730413301064,0.9146859231687443,0.9212601594914686,0.005917988512528864,2775,2,35.6
u2_wesad,Resp,I,2,RR,per-subject-macro,5.119575416373446,4.994897959183674,5.244252873563219,0.1776321686878241,185,2,35.6
u2_wesad,Resp,I,2,Resp_corr,per-subject-macro,0.002032732458509283,-0.0012776056087857215,0.005343070525804287,0.011336653958395336,185,2,35.6
u2_wesad,Resp,I,4,MAE,per-subject-macro,0.775038923888385,0.7704717619975647,0.7796060857792054,0.005502073987637154,2775,2,69.9
u2_wesad,Resp,I,4,RMSE,per-subject-macro,0.9138225164518586,0.9102145295234608,0.9174305033802564,0.006085702985246121,2775,2,69.9
