corpus,task,arm,nfe,metric,unit,value,ci_lo,ci_hi,draw_std,n_units,n_subjects,gen_seconds
u2_wesad,Resp,C,1,MAE,per-subject-macro,0.5794077475243429,0.5647171302374545,0.5940983648112313,0.0005851782482534188,2775,2,6.0
u2_wesad,Resp,C,1,RMSE,per-subject-macro,0.6533300592869826,0.6388345639333664,0.6678255546405989,0.0006342368685814083,2775,2,6.0
u2_wesad,Resp,C,1,RR,per-subject-macro,3.743534482758621,3.3620689655172415,4.125,0.075734237691366,185,2,6.0
u2_wesad,Resp,C,1,Resp_corr,per-subject-macro,0.19282038001502314,0.13305734236312167,0.2525834176669246,0.005929438617584461,185,2,6.0
u2_wesad,Resp,C,2,MAE,per-subject-macro,0.8833006236952591,0.8778158910999831,0.888785356290535,0.000861920087930978,2775,2,11.6
u2_wesad,Resp,C,2,RMSE,per-subject-macro,1.1054666937579674,1.1021106825456686,1.108822704970266,0.001135021742409596,2775,2,11.6
u2_wesad,Resp,C,2,RR,per-subject-macro,4.020701384001876,3.7097701149425286,4.331632653061225,0.10746305976210772,185,2,11.6
u2_wesad,Resp,C,2,Resp_corr,per-subject-macro,0.16767640635548092,0.11606933711975753,0.21928347559120429,0.006509444731868683,185,2,11.6
u2_wesad,Resp,C,4,MAE,per-subject-macro,0.7150829644314071,0.7030492129908913,0.7271167158719228,0.0023940425973781442,2775,2,23.1
u2_wesad,Resp,C,4,RMSE,per-subject-macro,0.8642768629056005,0.8508796544224041,0.8776740713887968,0.002512344587838474,2775,2,23.1
u2_wesad,Resp,C,4,RR,per-subject-macro,4.655113769645789,4.468390804597701,4.841836734693878,0.14186844084020933,185,2,23.1
u2_wesad,Resp,C,4,Resp_corr,per-subject-macro,0.13648704997628347,0.09746378274073547,0.17551031721183144,0.008562084421610366,185,2,23.1
u2_wesad,Resp,C,50,MAE,per-subject-macro,0.7405790200944686,0.7313102700823828,0.7498477701065545,0.0045096700038498895,2775,2,288.1
u2_wesad,Resp,C,50,RMSE,per-subject-macro,0.8754905619666365,0.864072453305374,0.8869086706278991,0.005009447976649209,2775,2,288.1
u2_wesad,Resp,C,50,RR,per-subject-macro,4.8631685432793805,4.778061224489796,4.948275862068965,0.19578727069922824,185,2,288.1
u2_wesad,Resp,C,50,Resp_corr,per-subject-macro,0.07590004967661008,0.05787778439970991,0.09392231495351025,0.009291708407723502,185,2,288.1
u2_wesad,Resp,I,1,MAE,per-subject-macro,0.7803769203574844,0.7751706935366328,0.785583147178336,0.005019632306114224,2775,2,5.8
u2_wesad,Resp,I,1,RMSE,per-subject-macro,0.9225436819550994,0.9186544935323785,0.9264328703778204,0.005307923126440815,2775,2,5.8
u2_wesad,Resp,I,1,RR,per-subject-macro,5.067807295331926,4.813775510204081,5.32183908045977,0.21852395100617564,185,2,5.8
u2_wesad,Resp,I,1,Resp_corr,per-subject-macro,0.003760137616555827,0.0005299578262850795,0.006990317406826574,0.010166833196569192,185,2,5.8
u2_wesad,Resp,I,2,MAE,per-subject-macro,0.7818616851416724,0.7760791892267545,0.7876441810565903,0.005233254148344042,2775,2,11.6
u2_wesad,Resp,I,2,RMSE,per-subject-macro,0.923377964373481,0.9189127382356842,0.9278431905112778,0.005680661066063565,2775,2,11.6
u2_wesad,Resp,I,2,RR,per-subject-macro,5.02117053718039,4.846938775510204,5.195402298850575,0.14195001504078647,185,2,11.6
u2_wesad,Resp,I,2,Resp_corr,per-subject-macro,0.0035954947472879,2.953252307479618e-05,0.007161456971501004,0.01078990009466937,185,2,11.6
u2_wesad,Resp,I,4,MAE,per-subject-macro,0.7841425928188899,0.7779130724959277,0.7903721131418522,0.0053585472026773965,2775,2,23.1
u2_wesad,Resp,I,4,RMSE,per-subject-macro,0.9272374663014569,0.9223292645665693,0.9321456680363446,0.005902442410248054,2775,2,23.1
u2_wesad,Resp,I,4,RR,per-subject-macro,5.069038822425522,4.885204081632653,5.252873563218391,0.09106586750752198,185,2,23.1
u2_wesad,Resp,I,4,Resp_corr,per-subject-macro,0.004684363770359191,0.001846207515716697,0.007522520025001685,0.011001506382004186,185,2,23.1
u2_wesad,Resp,C,1,FD_discrete,corpus-pooled,0.9212009522883506,nan,nan,0.001820374538979244,2775,2,6.0
u2_wesad,Resp,C,1,FD_kanflow,corpus-pooled,128.88481641854077,nan,nan,0.11884513075171596,2775,2,6.0
u2_wesad,Resp,C,2,FD_discrete,corpus-pooled,2.92056662071684,nan,nan,0.002619586323714917,2775,2,11.6
u2_wesad,Resp,C,2,FD_kanflow,corpus-pooled,160.16532893330884,nan,nan,0.2757011370095377,2775,2,11.6
u2_wesad,Resp,C,4,FD_discrete,corpus-pooled,1.464184408787465,nan,nan,0.0025471826864076927,2775,2,23.1
u2_wesad,Resp,C,4,FD_kanflow,corpus-pooled,55.48226053865512,nan,nan,0.496127708156203,2775,2,23.1
u2_wesad,Resp,C,50,FD_discrete,corpus-pooled,1.1223759388538321,nan,nan,0.015264360581961779,2775,2,288.1
u2_wesad,Resp,C,50,FD_kanflow,corpus-pooled,1.891140927495857,nan,nan,0.15548803921622678,2775,2,288.1
u2_wesad,Resp,I,1,FD_discrete,corpus-pooled,1.1758628284684993,nan,nan,0.0189342612659993,2775,2,5.8
u2_wesad,Resp,I,1,FD_kanflow,corpus-pooled,7.073988966673392,nan,nan,0.3213138960471977,2775,2,5.8
u2_wesad,Resp,I,2,FD_discrete,corpus-pooled,1.1652772802454634,nan,nan,0.01906188700347263,2775,2,11.6
u2_wesad,Resp,I,2,FD_kanflow,corpus-pooled,6.671917766080336,nan,nan,0.36155638547126395,2775,2,11.6
u2_wesad,Resp,I,4,FD_discrete,corpus-pooled,1.1702067446871673,nan,nan,0.01903132747538615,2775,2,23.1
u2_wesad,Resp,I,4,FD_kanflow,corpus-pooled,8.40478709257768,nan,nan,0.3133830845132683,2775,2,23.1
