corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_bidmc,MAE,1,lower_better,0.804072917698945,0.8334664058692655,-0.029393488170320534,-0.045655096511701895,-0.01041798674595329,-0.035126003731658154,-0.023820097307003008,0.10896395819967397,8
u2_bidmc,MAE,2,lower_better,0.804072917698945,0.8261428589160356,-0.02206994121709069,-0.03748604134534214,-0.005264480444533981,-0.027792127095917073,-0.01666546314423675,0.10896395819967397,8
u2_bidmc,MAE,4,lower_better,0.804072917698945,0.831782779687736,-0.027709861988790975,-0.04316417892613377,-0.011371007074723206,-0.033503508976079566,-0.02223389582767871,0.10896395819967397,8
u2_bidmc,RMSE,1,lower_better,0.9598157767547747,0.9929593315655629,-0.033143554810788164,-0.04933030624534851,-0.015029658465496766,-0.03893756562234492,-0.02731771654456296,0.19105459396392332,8
u2_bidmc,RMSE,2,lower_better,0.9598157767547747,0.9851283885259724,-0.025312611771197722,-0.04116241771984443,-0.008790247029406704,-0.031116161759729002,-0.019476553958614626,0.19105459396392332,8
u2_bidmc,RMSE,4,lower_better,0.9598157767547747,0.9941826829633073,-0.03436690620853258,-0.050513395093156874,-0.018032082948218828,-0.04025820652134518,-0.028515218321861265,0.19105459396392332,8
u2_bidmc,RR,1,lower_better,3.33203125,4.12109375,-0.7890625,-1.0859375,-0.49990234375000053,-1.04697265625,-0.5232421875000011,0.8359375,8
u2_bidmc,RR,2,lower_better,3.33203125,4.0234375,-0.69140625,-1.00390625,-0.40605468750000107,-0.95712890625,-0.4375,0.8359375,8
u2_bidmc,RR,4,lower_better,3.33203125,4.046875,-0.71484375,-1.01962890625,-0.40625,-0.96484375,-0.4609375,0.8359375,8
u2_bidmc,Resp_corr,1,higher_better,-0.023259289349318993,-0.007693045462895424,0.01556624388642357,-0.008019946922143016,0.03831721077976203,0.005728428852256064,0.024684270494775926,0.038523547760265835,8
u2_bidmc,Resp_corr,2,higher_better,-0.023259289349318993,-0.007387053551769959,0.015872235797549032,-0.008278600019218528,0.03830674672008428,0.006110730059679836,0.024855722966328434,0.038523547760265835,8
u2_bidmc,Resp_corr,4,higher_better,-0.023259289349318993,-0.007429486048121748,0.015829803301197244,-0.009322303076896488,0.038473540528488705,0.005984036186131147,0.02490360256729208,0.038523547760265835,8
