corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_wesad,MAE,1,lower_better,0.7405790200944686,0.7803769203574844,-0.03979790026301578,-0.05427287709595323,-0.025322923430078335,-0.04375270825107669,-0.03570252028607524,0.16117127257012576,2
u2_wesad,MAE,2,lower_better,0.7405790200944686,0.7818616851416724,-0.04128266504720373,-0.056333910974207625,-0.02623141912019984,-0.045271984713681546,-0.037342386491166175,0.16117127257012576,2
u2_wesad,MAE,4,lower_better,0.7405790200944686,0.7841425928188899,-0.04356357272442124,-0.05906184305946948,-0.028065302389372992,-0.047597360833129494,-0.03960646004155754,0.16117127257012576,2
u2_wesad,RMSE,1,lower_better,0.8754905619666365,0.9225436819550994,-0.04705311998846297,-0.06236041707244673,-0.0317458229044792,-0.051247634324322326,-0.04290214390939338,0.22216050267965393,2
u2_wesad,RMSE,2,lower_better,0.8754905619666365,0.923377964373481,-0.0478874024068445,-0.06377073720590391,-0.032004067607785076,-0.05204060007385266,-0.04378818823656247,0.22216050267965393,2
u2_wesad,RMSE,4,lower_better,0.8754905619666365,0.9272374663014569,-0.05174690433482025,-0.06807321473097049,-0.03542059393867002,-0.055952879357410334,-0.047637420501628,0.22216050267965393,2
u2_wesad,RR,1,lower_better,4.8631685432793805,5.067807295331926,-0.20463875205254514,-0.3735632183908046,-0.03571428571428571,-0.45844695636875443,0.04215927750410472,1.1196340605207595,2
u2_wesad,RR,2,lower_better,4.8631685432793805,5.02117053718039,-0.15800199390100866,-0.2471264367816092,-0.06887755102040816,-0.41765262139338494,0.10320233696927006,1.1196340605207595,2
u2_wesad,RR,4,lower_better,4.8631685432793805,5.069038822425522,-0.20587027914614123,-0.3045977011494253,-0.10714285714285714,-0.45004948099929626,0.03976659629368986,1.1196340605207595,2
u2_wesad,Resp_corr,1,higher_better,0.07590004967661008,0.003760137616555827,-0.07213991206005424,-0.09339235712722514,-0.050887466992883344,-0.0857116129047762,-0.059583487111157095,0.11692033033841305,2
u2_wesad,Resp_corr,2,higher_better,0.07590004967661008,0.0035954947472879,-0.07230455492932218,-0.09389278243043546,-0.05071632742820891,-0.08593927248884482,-0.05969378871089265,0.11692033033841305,2
u2_wesad,Resp_corr,4,higher_better,0.07590004967661008,0.004684363770359191,-0.07121568590625088,-0.09207610743779353,-0.05035526437470824,-0.08494184583328218,-0.058628058540801095,0.11692033033841305,2
