arm,nfe,K,metric,value,ci_lo,ci_hi
C,1,1,HR,8.471911106302239,8.060190018351308,8.904035405163176
C,1,1,MAE,0.3012867044758436,0.2963807632865175,0.306399952541799
C,1,1,MAE_HR,8.471911106302239,8.060190018351308,8.904035405163176
C,1,1,RMSE,0.3619629827049826,0.3573075627928378,0.36674712710423335
C,1,1,RR_MAE_ms,8.846250414919574,8.663116369076917,9.046993638075111
C,1,1,Rpeak_F1,0.7555461640959374,0.7459693350353469,0.7651805105733115
C,2,1,HR,30.040168294517784,29.684218861595813,30.417975629645603
C,2,1,MAE,0.5312735460576796,0.5285790210786269,0.5341379306392333
C,2,1,MAE_HR,30.040168294517784,29.684218861595813,30.417975629645603
C,2,1,RMSE,0.664226256184996,0.6612425901142999,0.6673579430750786
C,2,1,RR_MAE_ms,31.153986117016252,29.254713598974572,33.06415138956297
C,2,1,Rpeak_F1,0.0605234472021789,0.05950492551864254,0.061579426487641434
C,4,1,HR,12.34366783495489,12.008688626319724,12.674882358018746
C,4,1,MAE,0.39828607652850956,0.39417734654878894,0.4026152820076109
C,4,1,MAE_HR,12.34366783495489,12.008688626319724,12.674882358018746
C,4,1,RMSE,0.5034081481715323,0.49948290949487717,0.507531213298949
C,4,1,RR_MAE_ms,23.29354302452066,23.07620913355097,23.521866606075374
C,4,1,Rpeak_F1,0.6243644138160681,0.6164044272569387,0.6319498471234006
C,50,1,HR,9.686377799244903,9.35813616383768,10.029198108850677
C,50,1,MAE,0.39565854439766657,0.39040763695232616,0.4009360663767581
C,50,1,MAE_HR,9.686377799244903,9.35813616383768,10.029198108850677
C,50,1,RMSE,0.4970067249858948,0.49237365646600606,0.5017669824945008
C,50,1,RR_MAE_ms,23.796317208589272,23.603685858378856,23.995606009166426
C,50,1,Rpeak_F1,0.6446507510503076,0.6366323430611056,0.6522206987884994
I,1,1,HR,10.13931696312187,9.800761981286193,10.486624436719689
I,1,1,MAE,0.4033966810403842,0.3990947378739591,0.4078773741255271
I,1,1,MAE_HR,10.13931696312187,9.800761981286193,10.486624436719689
I,1,1,RMSE,0.4925563047917375,0.48837048994323107,0.4967559725868967
I,1,1,RR_MAE_ms,20.823474461700805,20.607882615948412,21.04267496484602
I,1,1,Rpeak_F1,0.674113237142601,0.665690838631219,0.6823495472326963
I,2,1,HR,9.406210210115226,9.073298775532347,9.759332670364072
I,2,1,MAE,0.41482326917175727,0.4102279439786093,0.4196497159569921
I,2,1,MAE_HR,9.406210210115226,9.073298775532347,9.759332670364072
I,2,1,RMSE,0.5055168179403443,0.501156816666738,0.5098366313361412
I,2,1,RR_MAE_ms,20.03820899577141,19.83151917281545,20.26250778010609
I,2,1,Rpeak_F1,0.6723020746150773,0.663791019797857,0.680386452318105
I,4,1,HR,8.965389235429555,8.61567137157753,9.328193830233918
I,4,1,MAE,0.4057688511390692,0.4008441112211174,0.41086914530947466
I,4,1,MAE_HR,8.965389235429555,8.61567137157753,9.328193830233918
I,4,1,RMSE,0.49856590897626896,0.49398912293031766,0.5031647250226229
I,4,1,RR_MAE_ms,19.129952895921946,18.89945527250547,19.36349537436162
I,4,1,Rpeak_F1,0.6763373294696031,0.6676171534475968,0.6844569922747471
C,1,1,FD_discrete,1.0048332962794033,nan,nan
C,1,1,FD_kanflow,33.49910823307276,nan,nan
C,1,1,Macro_F1,0.7529327040968038,nan,nan
C,1,1,Micro_F1,0.778186716460701,nan,nan
C,2,1,FD_discrete,1.4083062807159992,nan,nan
C,2,1,FD_kanflow,106.93620979231389,nan,nan
C,2,1,Macro_F1,0.06053048306540606,nan,nan
C,2,1,Micro_F1,0.0666958577457759,nan,nan
C,4,1,FD_discrete,0.8195979730375067,nan,nan
C,4,1,FD_kanflow,20.91485100404568,nan,nan
C,4,1,Macro_F1,0.6219782747160911,nan,nan
C,4,1,Micro_F1,0.6341206992052018,nan,nan
C,50,1,FD_discrete,0.6388319458283486,nan,nan
C,50,1,FD_kanflow,4.304262054013535,nan,nan
C,50,1,Macro_F1,0.6423448593186478,nan,nan
C,50,1,Micro_F1,0.641403768137486,nan,nan
I,1,1,FD_discrete,0.7322219896421611,nan,nan
I,1,1,FD_kanflow,4.125403605089922,nan,nan
I,1,1,Macro_F1,0.6720561206374234,nan,nan
I,1,1,Micro_F1,0.673343842099928,nan,nan
I,2,1,FD_discrete,0.6897796254991708,nan,nan
I,2,1,FD_kanflow,3.7951954886139347,nan,nan
I,2,1,Macro_F1,0.6702850250691844,nan,nan
I,2,1,Micro_F1,0.6722756372041271,nan,nan
I,4,1,FD_discrete,0.6618974297552651,nan,nan
I,4,1,FD_kanflow,3.371734369592609,nan,nan
I,4,1,Macro_F1,0.6741394782643824,nan,nan
I,4,1,Micro_F1,0.681055269870179,nan,nan
I,1,16,HR_consensus,6.674682474445718,6.3119700073122145,7.046773715837309
I,2,16,HR_consensus,6.175685292381349,5.8055809395964415,6.5589884185018255
C,50,4,HR_consensus,7.548328206023622,7.201091003275006,7.902043073776005
PPG-only,0,1,HR,9.055716557183153,8.617802056676956,9.502121755003063
C,1,1,ms_per_window,0.5644699471436734,nan,nan
C,2,1,ms_per_window,1.1243498542693036,nan,nan
C,4,1,ms_per_window,2.268521528603273,nan,nan
C,50,1,ms_per_window,28.704730225924074,nan,nan
I,1,1,ms_per_window,0.5705206606805985,nan,nan
I,2,1,ms_per_window,1.1422998947607266,nan,nan
I,4,1,ms_per_window,2.2712813525317026,nan,nan
