arm,nfe,metric,value,ci_lo,ci_hi,diff_vs_I,diff_ci_lo,diff_ci_hi
I,1,HR,10.13931696312187,9.800761981286193,10.486624436719689,,,
I,1,Rpeak_F1,0.674113237142601,0.665690838631219,0.6823495472326963,,,
I,1,RR_MAE_ms,20.823474461700805,20.607882615948412,21.04267496484602,,,
I,1,MAE,0.4033966810403842,0.3990947378739591,0.4078773741255271,,,
I,1,RMSE,0.4925563047917375,0.48837048994323107,0.4967559725868967,,,
I,1,FD_kanflow,4.125403605089922,,,,,
I,1,Micro_F1,0.673343842099928,,,,,
I,1,ms_per_window,1.1743464884465444,,,,,
I,2,HR,9.406210210115226,9.073298775532347,9.759332670364072,,,
I,2,Rpeak_F1,0.6723020746150773,0.663791019797857,0.680386452318105,,,
I,2,RR_MAE_ms,20.03820899577141,19.83151917281545,20.26250778010609,,,
I,2,MAE,0.41482326917175727,0.4102279439786093,0.4196497159569921,,,
I,2,RMSE,0.5055168179403443,0.501156816666738,0.5098366313361412,,,
I,2,FD_kanflow,3.7951954886139347,,,,,
I,2,Micro_F1,0.6722756372041271,,,,,
I,2,ms_per_window,2.1138180450021324,,,,,
I,4,HR,8.965389235429555,8.61567137157753,9.328193830233918,,,
I,4,Rpeak_F1,0.6763373294696031,0.6676171534475968,0.6844569922747471,,,
I,4,RR_MAE_ms,19.129952895921946,18.89945527250547,19.36349537436162,,,
I,4,MAE,0.4057688511390692,0.4008441112211174,0.41086914530947466,,,
I,4,RMSE,0.49856590897626896,0.49398912293031766,0.5031647250226229,,,
I,4,FD_kanflow,3.371734369592609,,,,,
I,4,Micro_F1,0.681055269870179,,,,,
I,4,ms_per_window,2.991719689851536,,,,,
I,1,HR_consensus_K16,6.674682474445718,6.3119700073122145,7.046773715837309,,,
S,1,HR,8.711794917329689,8.358750385388038,9.079857826539419,-1.4269903117219227,-1.5609148417481482,-1.2991629393315964
S,1,Rpeak_F1,0.628814798020377,0.6202932672419591,0.6368905223821602,-0.04529843912222407,-0.04928720911164662,-0.041275291010772645
S,1,RR_MAE_ms,13.745125376602848,13.484000101182094,14.009628760565139,-7.006744367500089,-7.2354855121006105,-6.7556196503221
S,1,MAE,0.41238598167794444,0.4084101060300225,0.41636633880961316,0.008989300637560206,0.00787932147048603,0.010024378724796574
S,1,RMSE,0.5010065796631167,0.4973399875280457,0.5047574665785213,0.008450274871379141,0.00730788734346487,0.009520655343085788
S,1,FD_kanflow,7.840242434227015,,,,,
S,1,Micro_F1,0.6331695716897185,,,,,
S,1,ms_per_window,0.07348034547196942,,,,,
S,2,HR,8.402455397217363,8.057106323968025,8.760698078762802,-1.0037548128978624,-1.1055273631127773,-0.8976864728844146
S,2,Rpeak_F1,0.6201025651269694,0.6117036373707602,0.6280979537450078,-0.05219950948810786,-0.05643654055623979,-0.04791786699833542
S,2,RR_MAE_ms,13.856043306882542,13.591159003404453,14.124165272360749,-6.414448666679064,-6.619597618087718,-6.21205356933191
S,2,MAE,0.4233918468315621,0.41923519713514973,0.4275527938422517,0.008568577659804835,0.007418818186941182,0.009660772590477646
S,2,RMSE,0.5151182575729482,0.5112893110692126,0.5189152285595882,0.009601439632603914,0.008445681120725156,0.010707048836858921
S,2,FD_kanflow,6.702921391339444,,,,,
S,2,Micro_F1,0.61757561089707,,,,,
S,2,ms_per_window,0.23005114631789148,,,,,
S,4,HR,8.593285179943834,8.248021899871278,8.960313589394401,-0.38550272440016486,-0.4800525478302195,-0.2883862103908324
S,4,Rpeak_F1,0.6092855517713299,0.6011251503232572,0.6169464140191151,-0.06705177769827335,-0.07120290251499943,-0.06268334848363266
S,4,RR_MAE_ms,13.836238645828454,13.572433509781593,14.101220690021542,-5.518416768831671,-5.7314743951339375,-5.293303139973743
S,4,MAE,0.42944417208292945,0.4250549696720204,0.4339591899383204,0.02367532094386029,0.022467501599340054,0.024800406580984403
S,4,RMSE,0.5237230599288408,0.5197702123790656,0.5277265902096158,0.025157150952571858,0.023931361892652204,0.026290642880128424
S,4,FD_kanflow,7.1693048366131364,,,,,
S,4,Micro_F1,0.6072439571165626,,,,,
S,4,ms_per_window,0.6652920406291807,,,,,
S,1,HR_consensus_K16,6.548244763471258,6.16285050712621,6.94103660426872,,,
S,1,HR_no_guidance,9.008783218839705,8.639129164668491,9.404069324956714,,,
S,1,Rpeak_F1_no_guidance,0.6412247135726477,0.632563222782416,0.6495876702826491,,,
S,1,FD_kanflow_no_guidance,8.27549004220809,,,,,
P,1,HR,8.959752878339254,8.600616064167554,9.33063902803421,-1.1774112552483775,-1.3007110477723995,-1.0609166410873636
P,1,Rpeak_F1,0.6355066323844186,0.6271148249332397,0.6435660734649942,-0.03860660475818221,-0.04185065169061801,-0.03532066981607191
P,1,RR_MAE_ms,9.263635468230742,9.016281847882658,9.526949049601113,-11.596426326289187,-11.793798673266632,-11.37100811284299
P,1,MAE,0.4590749993068259,0.455610550433555,0.462684138967254,0.05567831826644171,0.05418025528908483,0.05725855107304432
P,1,RMSE,0.5437043651320785,0.5403335927754246,0.5471535697009449,0.051148060340341056,0.04969457480581924,0.052655183709237184
P,1,FD_kanflow,8.930019721997866,,,,,
P,1,Micro_F1,0.6434618955605048,,,,,
P,1,ms_per_window,1.5980068936000038,,,,,
P,2,HR,8.314664434134576,7.957397832544836,8.68105354456078,-1.0705778577152585,-1.1803262292941838,-0.9679277376372357
P,2,Rpeak_F1,0.6368299300648207,0.628154288236276,0.6451536729982444,-0.03547214455025656,-0.03881538057321236,-0.03217013603253772
P,2,RR_MAE_ms,9.02807922845432,8.792826938322998,9.28927499692261,-11.045458328842507,-11.239537725874982,-10.837566386802951
