dataset,model,n_beats,corr_mean,corr_median,p2p_ratio_median,r_amp_ratio_median,qrs_energy_ratio_median,slope_ratio_median,hf_ratio_pred,hf_ratio_gt,seg_rmse,qrs_rmse,shift_abs_median_ms,shift_sd_ms,frac_shift_at_limit
wildppg,MSE,37342,0.347580400452043,0.3400081865677106,0.09049861786764607,0.4096795053480706,0.009018069348805901,0.03166885278755189,0.015414220170531482,0.32750854874129703,0.3524065481989811,0.4111937569946643,46.875,81.14332955142025,0.1471801189009694
wildppg,OT1,37342,0.40020824171004304,0.39064444312495455,0.15845700244292976,0.34656493365729957,0.02584846039785231,0.11148090291695668,0.10076944632846162,0.32750854874129703,0.3523612776547232,0.40152340346524396,39.0625,75.59114009943308,0.10138717797654116
wildppg,iMF1,37342,0.4807837298087769,0.4772072414208277,0.8018228392904574,0.6619974691521656,0.5017003249046814,0.8123605320361948,0.2919791436067805,0.32750854874129703,0.4418927951744879,0.4540190431311651,54.6875,78.20566794684987,0.08135611375930588
wildppg,OT50,37342,0.5708505158488913,0.661745674345309,0.8791177751067695,0.770819000536457,0.8084784505784278,0.8580593110230272,0.2952777398690174,0.32750854874129703,0.38595009881218895,0.38695267322179616,46.875,73.87675929237079,0.07026940174602324
dalia_s2,MSE,9906,0.251742976584954,0.25112753115912134,0.021580692999548977,0.3537587371527027,0.00036493945431028806,0.006997031365664206,0.025370651831847536,0.3552029093115226,0.3001485023141963,0.409389637081767,85.9375,96.5192127163482,0.18312134060165555
dalia_s2,OT1,9906,0.28484655808824505,0.28633778030364293,0.0696329136327298,0.35174987592196894,0.0033200671966568582,0.053521910970951915,0.21990436861729015,0.3552029093115226,0.3112350601130709,0.4143736431831168,78.125,90.83539761529242,0.10195840904502322
dalia_s2,iMF1,9906,0.42228074586731373,0.35067652775046443,0.6583050232286491,0.4950411675515973,0.1739615531507985,0.6123888418070333,0.26346579331490394,0.3552029093115226,0.39962260740396854,0.4349200072454636,78.125,89.92095412699028,0.10195840904502322
dalia_s2,OT50,9906,0.4322558518395353,0.30829017540857,0.7849870665844252,0.566229620146659,0.2341654612519563,0.7031142822046419,0.27731220369286386,0.3552029093115226,0.38281197376966025,0.41783283714976205,78.125,90.03243428993528,0.11336563698768423
dalia_s1,MSE,10096,0.25133240400606904,0.24421619873067923,0.010059751951497206,0.3882403301249587,3.716255703588367e-05,0.0021175092733031,0.032391402472041274,0.22753094484097564,0.32331997328168627,0.4537690164506237,85.9375,100.06778744746704,0.21652139461172742
dalia_s1,OT1,10096,0.2733333594045814,0.27606370154369275,0.08419544039015517,0.33917499641849447,0.003416066420449555,0.06105327206692381,0.15698850825691785,0.22753094484097564,0.34432700496390384,0.46715305944314484,85.9375,97.92833020157818,0.18026941362916007
dalia_s1,iMF1,10096,0.40845562040726546,0.34687979232762817,0.6234562946079136,0.33966978281629173,0.12521932487410004,0.5987711519052649,0.34633915077619604,0.22753094484097564,0.3899852399534929,0.449591031807779,78.125,90.49825935649294,0.11271790808240888
dalia_s1,OT50,10096,0.45739668111760584,0.3781303937930556,0.8553968743798224,0.5387816181686513,0.21570068730912173,0.8111952732615069,0.24788688574208195,0.22753094484097564,0.3732519677929401,0.426547003361437,78.125,90.50533101430557,0.12143423137876387
