dataset,model,n_beats,corr_mean,corr_median,p2p_ratio_median,r_amp_ratio_median,qrs_energy_ratio_median,slope_ratio_median,hf_ratio_pred,hf_ratio_gt,seg_rmse,qrs_rmse,shift_abs_median_ms,shift_sd_ms,frac_shift_at_limit
wildppg,MSE,37342,0.10543582084051782,0.09606222630511552,0.08993574770805954,0.44901392816137375,0.008604211401768225,0.03134858517686742,0.01564655268338778,0.32750854874129703,0.35991781225499103,0.42333681787456,0.0,0.0,0.0
wildppg,OT1,37342,0.12786283556567066,0.11606907322904046,0.15844025548037954,0.4306255625513949,0.02588787464855189,0.11172216238823349,0.10028759688860096,0.32750854874129703,0.3649666925002584,0.426476552714459,0.0,0.0,0.0
wildppg,iMF1,37342,0.049807988634024185,0.005053503222259113,0.8138672885178049,0.6442986993855875,0.3839091657492677,0.8242779320065812,0.2921280248522045,0.32750854874129703,0.49230025570849095,0.5613929127823813,0.0,0.0,0.0
wildppg,OT50,37342,0.06257973564914333,-0.004122762783891076,0.88898217100384,0.639215357073189,0.6683731777899777,0.8679323475364233,0.2989150913200036,0.32750854874129703,0.4521150503591756,0.5267148729688815,0.0,0.0,0.0
dalia_s2,MSE,9906,-0.002648828926265478,-0.005232502838337862,0.021656701990554868,0.35870292719699787,0.0003597472267331447,0.0070208575673602735,0.025348750201152005,0.3552029093115226,0.3026532009805909,0.4109153263616042,0.0,0.0,0.0
dalia_s2,OT1,9906,0.000674074459823899,-0.002018927537869328,0.07038891399320968,0.3793807465407799,0.003287395864095606,0.05356229885922101,0.2165860062025682,0.3552029093115226,0.31786843359429384,0.4223364033091238,0.0,0.0,0.0
dalia_s2,iMF1,9906,0.002115337806520831,-0.023933448716964116,0.6989763645267306,0.5359322295793605,0.09807816943333744,0.6527904863160351,0.2738901563160317,0.3552029093115226,0.4538426450057839,0.5290120251361444,0.0,0.0,0.0
dalia_s2,OT50,9906,0.00011837965184734293,-0.027862460073077713,0.8123266200304918,0.4922718344013013,0.0985843007620457,0.7289026703529401,0.2885166036333892,0.3552029093115226,0.4443477857020028,0.521037122861661,0.0,0.0,0.0
dalia_s1,MSE,10096,-0.0002518565449430937,-0.00016187826600612897,0.010278643807820604,0.39244314582688117,3.365008519086867e-05,0.002061634246736649,0.03400893943215312,0.22753094484097564,0.3245389817800066,0.45486437654040857,0.0,0.0,0.0
dalia_s1,OT1,10096,-0.014720832506385877,-0.015738805831665665,0.085397340503654,0.3738760831119036,0.003233940008736614,0.06119216451339066,0.1535146393242417,0.22753094484097564,0.3540671596897677,0.47857263691328206,0.0,0.0,0.0
dalia_s1,iMF1,10096,-0.003788707867019781,-0.030012292626548167,0.6498750061357189,0.3173891224034762,0.07767589215044544,0.6190252252391755,0.3489364578164401,0.22753094484097564,0.44455658666841646,0.5434462814252491,0.0,0.0,0.0
dalia_s1,OT50,10096,-0.007215294113242973,-0.03814841314786307,0.8920140634498495,0.42721741366927274,0.08910091097793388,0.8509446708403878,0.2638597139182719,0.22753094484097564,0.4537052997567811,0.5536354232455304,0.0,0.0,0.0
