dataset,model,quantity,mean,ci95_lo,ci95_hi,n,clusters,bootstrap
wildppg,MSE,global_lag_abs_ms,104.56992257486563,83.18302528274171,127.48667253582968,3907,8,cluster
wildppg,MSE,delta_global_morph,0.018743953310930362,0.006025359183428799,0.03737242589930745,2258,8,cluster
wildppg,MSE,oracle_beat_corr,0.347580400452043,0.2985827596100843,0.3993646165273764,37342,8,cluster
wildppg,MSE,delta_local_corr,0.24214457961152525,0.20824690800884127,0.2780987349795917,37342,8,cluster
wildppg,MSE,oracle_p2p_ratio,0.13361103984917763,0.1034498840604169,0.16758287859149337,37342,8,cluster
wildppg,MSE,oracle_slope_ratio,0.06763094320353785,0.04631150957839543,0.09043212028325304,37342,8,cluster
wildppg,MSE,oracle_absent,0.8780729473515076,0.7863365836967614,0.9501037022673381,37342,8,cluster
wildppg,MSE,missing_per_gt_beat,0.6029327745503107,0.4424726054687063,0.7587391530422403,3907,8,cluster
wildppg,OT1,global_lag_abs_ms,84.13784553365754,69.29682508135555,98.93104775712486,3907,8,cluster
wildppg,OT1,delta_global_morph,0.01834612642159977,0.009590184067753837,0.02933324432823348,2663,8,cluster
wildppg,OT1,oracle_beat_corr,0.40020824171004304,0.3646653948332486,0.4457047054504637,37342,8,cluster
wildppg,OT1,delta_local_corr,0.2723454061443724,0.23030401979349166,0.3281327858508491,37342,8,cluster
wildppg,OT1,oracle_p2p_ratio,0.21740745949243032,0.17585849953997024,0.26185403421013037,37342,8,cluster
wildppg,OT1,oracle_slope_ratio,0.16453682326952934,0.1383504796066245,0.19468699105486323,37342,8,cluster
wildppg,OT1,oracle_absent,0.7567618231481977,0.6530186656005605,0.848823355869282,37342,8,cluster
wildppg,OT1,missing_per_gt_beat,0.5399625680415063,0.3787920074161601,0.6936396205469296,3907,8,cluster
wildppg,iMF1,global_lag_abs_ms,93.03813667775788,80.63972527785472,106.41679991187482,3907,8,cluster
wildppg,iMF1,delta_global_morph,0.017313291742704618,0.008567378320202214,0.02632265110528345,3128,8,cluster
wildppg,iMF1,oracle_beat_corr,0.4807837298087769,0.4570340859150169,0.5043963682082735,37342,8,cluster
wildppg,iMF1,delta_local_corr,0.43097574117475274,0.41640555432129583,0.4470605808833296,37342,8,cluster
wildppg,iMF1,oracle_p2p_ratio,0.8839700484931398,0.791838090378091,0.9889902609358682,37342,8,cluster
wildppg,iMF1,oracle_slope_ratio,0.9936122651026793,0.839409521621629,1.1661087843442186,37342,8,cluster
wildppg,iMF1,oracle_absent,0.5247174763001446,0.47910615891943725,0.5750959589483287,37342,8,cluster
wildppg,iMF1,missing_per_gt_beat,0.6192575998114364,0.5249392841102617,0.7123214501921664,3907,8,cluster
wildppg,OT50,global_lag_abs_ms,80.46255119017148,66.42236655492522,95.95933715943491,3907,8,cluster
wildppg,OT50,delta_global_morph,0.012048754981551123,0.006697438757364783,0.018659438761329285,3312,8,cluster
wildppg,OT50,oracle_beat_corr,0.5708505158488913,0.5338663201005605,0.6037999126159695,37342,8,cluster
wildppg,OT50,delta_local_corr,0.508270780199748,0.4842672557375102,0.5338248302457587,37342,8,cluster
wildppg,OT50,oracle_p2p_ratio,0.9443331170974174,0.8459269840209848,1.0529466986942657,37342,8,cluster
wildppg,OT50,oracle_slope_ratio,0.9933793722574799,0.8328429996300424,1.1696193029976563,37342,8,cluster
wildppg,OT50,oracle_absent,0.37834074232767395,0.31238072333591443,0.4567857910073024,37342,8,cluster
wildppg,OT50,missing_per_gt_beat,0.559306488518881,0.43906455727736404,0.6756481521610902,3907,8,cluster
wildppg,OT1-OT50,paired_delta_oracle_beat_corr,-0.17456759478256956,-0.20304486672746186,-0.1465572946208775,3907,8,cluster
wildppg,MSE-OT50,paired_delta_oracle_beat_corr,-0.2254507350292096,-0.27702519042712165,-0.17686962892099228,3907,8,cluster
wildppg,iMF1-OT50,paired_delta_oracle_beat_corr,-0.09140127347040786,-0.10525634003794951,-0.07628329851455733,3907,8,cluster
wildppg,OT1-MSE,paired_delta_oracle_beat_corr,0.05088314024664002,0.017808362008937567,0.09549776140704067,3907,8,cluster
wildppg,iMF1-OT1,paired_delta_oracle_beat_corr,0.08316632131216171,0.054979179493064974,0.10790030709159679,3907,8,cluster
dalia_s2,MSE,global_lag_abs_ms,138.14786585365854,138.14786585365854,138.14786585365854,1025,1,window(exploratory)
dalia_s2,MSE,delta_global_morph,0.04732949001080592,0.04732949001080592,0.04732949001080592,264,1,window(exploratory)
