dataset,model,n_gt_beats,n_pred_beats,matched,missing,spurious,missing_rate,spurious_rate,oracle_absent_rate,n_beats_oracle
wildppg,MSE,40523,28844,15806,24717,13038,0.6099499049922267,0.3217432075611381,0.8780729473515076,37342
wildppg,OT1,40523,31511,18507,22016,13004,0.5432963995755496,0.3209041778742936,0.7567618231481977,37342
wildppg,iMF1,40523,37605,15041,25482,22564,0.6288280729462281,0.5568195839399847,0.5247174763001446,37342
wildppg,OT50,40523,39533,17636,22887,21897,0.5647903659650075,0.5403597956715939,0.37834074232767395,37342
dalia_s2,MSE,10748,4593,615,10133,3978,0.9427800521027168,0.3701153703014514,1.0,9906
dalia_s2,OT1,10748,3682,597,10151,3085,0.9444547822850763,0.28703014514328246,0.9996971532404604,9906
dalia_s2,iMF1,10748,10758,1515,9233,9243,0.8590435429847414,0.8599739486416077,0.6340601655562286,9906
dalia_s2,OT50,10748,10573,1509,9239,9064,0.8596017863788612,0.8433196873836993,0.6263880476478901,9906
dalia_s1,MSE,10988,2497,287,10701,2210,0.9738805970149254,0.20112850382235165,1.0,10096
dalia_s1,OT1,10988,4165,552,10436,3613,0.9497633782307973,0.32881325081907536,0.9872226624405706,10096
dalia_s1,iMF1,10988,11322,1418,9570,9904,0.8709501274117218,0.9013469239170003,0.6631339144215531,10096
dalia_s1,OT50,10988,11364,1439,9549,9925,0.8690389515835457,0.9032580997451766,0.618066561014263,10096
