dataset,model,n_ref,n_pred,n_matched,n_missing,n_spurious,missing_rate,spurious_rate,timing_bias_ms,timing_sd_ms,timing_mae_ms,per_window_dispersion_ms
wildppg,MSE,40523,28844,15806,24717,13038,0.6099499049922267,0.3217432075611381,-5.640658610654182,23.460265673120478,19.746259331899278,14.749984199208876
wildppg,OT1,40523,31511,18507,22016,13004,0.5432963995755496,0.3209041778742936,0.2038924461014751,23.544016166675313,19.217812854595557,13.594284957402595
wildppg,iMF1,40523,37605,15041,25482,22564,0.6288280729462281,0.5568195839399847,-4.350088923608802,26.221759554991426,22.320760753939233,19.198215759926516
wildppg,OT50,40523,39533,17636,22887,21897,0.5647903659650075,0.5403597956715939,-1.4268577058289862,25.679072407007776,21.394005868677706,18.186598917567192
dalia_s2,MSE,10748,4593,615,10133,3978,0.9427800521027168,0.3701153703014514,-0.7621951219512195,28.628181359382005,24.59349593495935,16.261378428907552
dalia_s2,OT1,10748,3682,597,10151,3085,0.9444547822850763,0.28703014514328246,-1.1123324958123952,29.09304147493971,25.164886934673365,16.574546945900828
dalia_s2,iMF1,10748,10758,1515,9233,9243,0.8590435429847414,0.8599739486416077,-0.9488448844884488,29.01982610286105,25.041254125412543,19.755054161075275
dalia_s2,OT50,10748,10573,1509,9239,9064,0.8596017863788612,0.8433196873836993,-2.0346669980119283,29.234913914865903,25.435926110006626,20.52678043919104
dalia_s1,MSE,10988,2497,287,10701,2210,0.9738805970149254,0.20112850382235165,1.6877177700348431,29.000180926093034,24.880226480836235,15.695189738355046
dalia_s1,OT1,10988,4165,552,10436,3613,0.9497633782307973,0.32881325081907536,1.8965126811594204,29.759279238821474,25.815217391304348,16.55413006201227
dalia_s1,iMF1,10988,11322,1418,9570,9904,0.8709501274117218,0.9013469239170003,-0.4793282792665726,29.37100342111729,25.47051304654443,19.082041853234966
dalia_s1,OT50,10988,11364,1439,9549,9925,0.8690389515835457,0.9032580997451766,-0.10315323141070187,29.336525339819516,25.42455698401668,19.52470841155641
