dataset,model_a,model_b,rmse_raw,pcc_raw,rmse_global_aligned,pcc_global_aligned,d_amp_median,d_qrs_energy,d_slope,d_hf,d_oracle_beat_corr,d_oracle_p2p
wildppg,MSE,OT1,0.0781082690995282,0.5116585050606991,0.08017172221727818,0.4112728076787386,0.05699486370994303,0.055781894510035804,0.10504973466378872,0.05802616904071159,0.05262784125800002,0.06795838457528369
wildppg,MSE,iMF1,0.34865724791161473,0.15312477358337134,0.34897574756453925,0.13552306089551838,0.8030985410682733,1.109926118791841,1.035942055244347,0.2137053817678361,0.1332033293567339,0.7113242214228113
wildppg,MSE,OT50,0.2592918674368766,0.179936565892854,0.2598744001323115,0.16018624454348743,0.7800168401406042,0.7076709351616179,0.9126539989301297,0.2563860160336163,0.22327011539684832,0.7886191572391235
wildppg,OT1,iMF1,0.3316666011412107,0.14236245332209463,0.3307181137662568,0.15469901174944917,0.7461036773583303,1.054144224281805,0.9308923205805583,0.1556792127271245,0.08057548809873388,0.6433658368475277
wildppg,OT1,OT50,0.2364720941240836,0.240339680852818,0.23863222690050476,0.2142554071616196,0.7230219764306611,0.6518890406515822,0.8076042642663409,0.19835984699290474,0.1706422741388483,0.7206607726638397
wildppg,iMF1,OT50,0.22612615290483778,0.7100068751181944,0.27840973764598254,0.4176392517336374,0.023081700927669035,0.40225518363022295,0.12328805631421735,0.042680634265780226,0.09006678604011442,0.07729493581631208
dalia_s2,MSE,OT1,0.0817230109139224,0.12596568406582243,0.08186576313038932,0.08919924170861931,0.0806671549880413,0.05794908775199829,0.08925834920818897,0.14326146942583104,0.03310358150329107,0.04805222063318083
dalia_s2,MSE,iMF1,0.31521594981632295,0.03348911670482773,0.31505395688885063,0.039469445682955184,0.8173119762001907,0.6378985186887116,0.9617949086312004,0.24576325344143032,0.17053776928235975,0.6367243302291001
dalia_s2,MSE,OT50,0.30790364272470944,0.013593909558342884,0.30758808186819814,0.02900361083695318,0.8572772703452017,0.6663112746913693,0.8942095726003432,0.26272530589993587,0.18051287525458132,0.7634063735848762
dalia_s2,OT1,iMF1,0.2998186728712967,0.16858375951639645,0.3026197726970813,0.0633948920994753,0.7366448212121495,0.5799494309367134,0.8725365594230114,0.10250178401559928,0.13743418777906868,0.5886721095959193
dalia_s2,OT1,OT50,0.27815937892642434,0.18294147024137009,0.2814749894308362,0.06475339383581397,0.7766101153571605,0.608362186939371,0.8049512233921542,0.11946383647410486,0.14740929375129025,0.7153541529516954
dalia_s2,iMF1,OT50,0.18645473597014273,0.7471738528094871,0.25113201032571125,0.402809909053346,0.03996529414501104,0.02841275600265769,0.06758533603085726,0.016962052458505572,0.009975105972221565,0.12668204335577604
dalia_s1,MSE,OT1,0.1203683946228482,0.1208481007816968,0.12053001290325237,0.11661352016380425,0.11936558680810015,0.09707341616727087,0.12318651982197237,0.09629241932903823,0.02200095539851238,0.07413568843865796
dalia_s1,MSE,iMF1,0.28336385011276494,0.0027768326587275013,0.283441542833622,0.03384445540410998,0.6669879691708623,0.3603810687184281,0.9198128597325421,0.29786088043265335,0.15712321640119642,0.6133965426564164
dalia_s1,MSE,OT50,0.30805979771550684,0.02430603411881317,0.30803916745877413,0.045664567231029296,0.8074672563780135,0.5031135354542662,0.9942764177288131,0.248187783130237,0.2060642771115368,0.8453371224283251
dalia_s1,OT1,iMF1,0.29240720299841305,-0.026417000647517067,0.2905027079896376,0.04339601454214169,0.5476223823627622,0.26330765255115723,0.7966263399105697,0.20156846110361515,0.13512226100268404,0.5392608542177585
dalia_s1,OT1,OT50,0.2712466294480419,0.05888468700147362,0.27131511248901535,0.07976864005460808,0.6881016695699134,0.40604011928699535,0.8710898979068409,0.15189536380119878,0.18406332171302442,0.7712014339896672
dalia_s1,iMF1,OT50,0.23389811646018055,0.6528759251616187,0.2921014329026483,0.28830533722817986,0.1404792872071512,0.14273246673583811,0.07446355799627102,0.04967309730241637,0.04894106071034038,0.23194057977190874
