dataset,model,qrs_energy_retention_window,rmse_qrs,rmse_nonqrs,max_slope_ratio_window,hf_ratio,oracle_qrs_energy_median,oracle_slope_median,oracle_qrs_rmse
wildppg,MSE,0.06837209748001999,0.43519644259248536,0.3401429232221596,0.047328700236843234,0.006538171299675096,0.009018069348805901,0.03166885278755189,0.4111937569946643
wildppg,OT1,0.12415399199005579,0.4398344255587498,0.3476700811384556,0.15237843490063196,0.06456434034038669,0.02584846039785231,0.11148090291695668,0.40152340346524396
wildppg,iMF1,1.178298216271861,0.584673817474332,0.47975611473986374,1.0832707554811902,0.2202435530675112,0.5017003249046814,0.8123605320361948,0.4540190431311651
wildppg,OT50,0.776043032641638,0.5472317418447646,0.4245356602532149,0.9599826991669729,0.2629241873332914,0.8084784505784278,0.8580593110230272,0.38695267322179616
dalia_s2,MSE,0.01749461998499254,0.41263061021186886,0.22809298272273804,0.01128961381821818,0.006545638411231051,0.00036493945431028806,0.006997031365664206,0.409389637081767
dalia_s2,OT1,0.07544370773699083,0.4252869620877066,0.2532589725343165,0.10054796302640714,0.14980710783706208,0.0033200671966568582,0.053521910970951915,0.4143736431831168
dalia_s2,iMF1,0.6553931386737042,0.5404032310992516,0.4215598519738207,0.9730845224494186,0.25230889185266137,0.1739615531507985,0.6123888418070333,0.4349200072454636
dalia_s2,OT50,0.6838058946763619,0.5342423196775357,0.4124485028856904,0.9054991864185613,0.26927094431116694,0.2341654612519563,0.7031142822046419,0.41783283714976205
dalia_s1,MSE,0.014309428805911312,0.4581363956039005,0.26404756754761943,0.007891095433765708,0.005397023972616521,3.716255703588367e-05,0.0021175092733031,0.4537690164506237
dalia_s1,OT1,0.11138284497318218,0.4840824881606788,0.29956786676638597,0.13107761525573808,0.10168944330165475,0.003416066420449555,0.06105327206692381,0.46715305944314484
dalia_s1,iMF1,0.3746904975243394,0.5556665168624086,0.4255466133991514,0.9277039551663079,0.3032579044052699,0.12521932487410004,0.5987711519052649,0.449591031807779
dalia_s1,OT50,0.5174229642601775,0.5677802443743868,0.4181094030070391,1.002167513162579,0.2535848071028535,0.21570068730912173,0.8111952732615069,0.426547003361437
