dataset,model,rmse_raw,rmse_global_aligned,rmse_qrs_raw,rmse_nonqrs_raw,qrs_rmse_oracle_local,morph_corr,oracle_beat_corr,qrs_energy_retention,amp_ratio_median,slope_ratio
wildppg,MSE,0.3500113743613721,0.3458424055637909,0.43519644259248536,0.3401429232221596,0.4111937569946643,0.3160492492348912,0.347580400452043,0.06837209748001999,0.19387780918705758,0.047328700236843234
wildppg,OT1,0.35458242538430174,0.34750759089486877,0.4398344255587498,0.3476700811384556,0.40152340346524396,0.37932513031358017,0.40020824171004304,0.12415399199005579,0.2508726728970006,0.15237843490063196
wildppg,iMF1,0.48519355715759716,0.47110647312628007,0.584673817474332,0.47975611473986374,0.4540190431311651,0.5511208540375794,0.4807837298087769,1.178298216271861,0.9969763502553308,1.0832707554811902
wildppg,OT50,0.4402715621624593,0.42270444031953164,0.5472317418447646,0.4245356602532149,0.38695267322179616,0.6699211441722588,0.5708505158488913,0.776043032641638,0.9738946493276618,0.9599826991669729
dalia_s2,MSE,0.2862141579983765,0.28502117353891115,0.41263061021186886,0.22809298272273804,0.409389637081767,0.17520669949863169,0.251742976584954,0.01749461998499254,0.058160335581421925,0.01128961381821818
dalia_s2,OT1,0.3035346042771626,0.30073858670076153,0.4252869620877066,0.2532589725343165,0.4143736431831168,0.21743569130700627,0.28484655808824505,0.07544370773699083,0.13882749056946322,0.10054796302640714
dalia_s2,iMF1,0.44262941927513644,0.4257259929681028,0.5404032310992516,0.4215598519738207,0.4349200072454636,0.5951267536985673,0.42228074586731373,0.6553931386737042,0.8754723117816127,0.9730845224494186
dalia_s2,OT50,0.4351275649392758,0.4163874949304482,0.5342423196775357,0.4124485028856904,0.41783283714976205,0.6503153265639183,0.4322558518395353,0.6838058946763619,0.9154376059266237,0.9054991864185613
dalia_s1,MSE,0.32070264583234254,0.3201533159548847,0.4581363956039005,0.26404756754761943,0.4537690164506237,0.1836711108665433,0.25133240400606904,0.014309428805911312,0.03387027503200214,0.007891095433765708
dalia_s1,OT1,0.3471263243686486,0.3391829390864447,0.4840824881606788,0.29956786676638597,0.46715305944314484,0.16776361307111487,0.2733333594045814,0.11138284497318218,0.1532358618401023,0.13107761525573808
dalia_s1,iMF1,0.44904694925896776,0.4332530868965198,0.5556665168624086,0.4255466133991514,0.449591031807779,0.5811520536446547,0.40845562040726546,0.3746904975243394,0.7008582442028645,0.9277039551663079
dalia_s1,OT50,0.44825769000025145,0.4240083722406613,0.5677802443743868,0.4181094030070391,0.426547003361437,0.6832125852714189,0.45739668111760584,0.5174229642601775,0.8413375314100157,1.002167513162579
