bootstrap,dataset,mean,mean_ci_hi,mean_ci_lo,median,median_ci_hi,median_ci_lo,n,n_clusters,q25,q75,quantity
"cluster(subject,site)",wildppg,0.0018466189067716653,0.0019567363465199604,0.0017291459911016815,0.0016811461812554537,0.0018074727610240386,0.0015330267058571748,3907,8,0.0012767821165606602,0.0022763834430712926,OT1/r_source
"cluster(subject,site)",wildppg,0.04213607472214931,0.043439352874797395,0.04072529134409312,0.04100178265948267,0.042514382910070384,0.039153884929329565,3907,8,0.035732087542908714,0.04771145942428696,OT1/std_retention
"cluster(subject,site)",wildppg,-0.0005995535765370222,-0.0003363792610583952,-0.000894618342216452,-0.0005667318133565562,-0.00034776586805499517,-0.0007848012518599955,3907,8,-0.0012863955028030545,0.0001572938340298713,OT1/beta
"cluster(subject,site)",wildppg,0.03767431549627878,0.03864949887291123,0.03655520510521219,0.036676345156856936,0.03787007056159766,0.035176280915726915,3907,8,0.032696110351603615,0.04187517276499528,OT1/d_pair
"cluster(subject,site)",wildppg,0.15033399528610436,0.15314081642936878,0.14743775840213355,0.15004957038996825,0.1532671915180484,0.14723069978421965,3907,8,0.13003339221894464,0.16984718421602812,iMF1/r_source
"cluster(subject,site)",wildppg,0.385823649026578,0.3895191038634596,0.38196253753645876,0.3873623244327825,0.3914935395610615,0.38370652733736194,3907,8,0.36060142929020556,0.41212520448803824,iMF1/std_retention
"cluster(subject,site)",wildppg,0.10884551149798877,0.11077927285085959,0.10666514936038404,0.10941811220967612,0.11157831501094675,0.10657259871601645,3907,8,0.10107216128545495,0.11685056085826115,iMF1/beta
"cluster(subject,site)",wildppg,0.35078793451868434,0.35437775178747444,0.34692834001953843,0.3519016792057251,0.35546196173814765,0.34722590309706175,3907,8,0.3281080067323911,0.3740339201278978,iMF1/d_pair
"cluster(subject,site)",wildppg,0.06749807608788412,0.07590379026835656,0.058873983408613544,0.06077690974717241,0.06951369629778945,0.05335258474877501,3907,8,0.045887594414715016,0.08233665567993562,OT1/Fbar_vs_M_A6_rmse
"cluster(subject,site)",wildppg,0.5450529277757592,0.60754176782603,0.4823008252257534,0.5466925551530685,0.640455925550388,0.48389495038327507,3907,8,0.3797936131504387,0.7315359760289574,OT1/Fbar_vs_M_A6_pcc
"cluster(subject,site)",wildppg,0.8977973417314582,0.9158987223863594,0.8795861896274564,0.9249281200998811,0.9419976403420149,0.9018247798304049,3907,8,0.8400888315711366,0.9756222427313599,OT1/Q_MSE
"cluster(subject,site)",wildppg,0.35272284935591247,0.3798672230843425,0.32684307446105304,0.33090680175649684,0.37208229153886674,0.27786008897395087,3907,8,0.258197454605959,0.4152091581964699,OT1/Fbar_vs_GT_rmse
"cluster(subject,site)",wildppg,0.04673631912737619,0.04819938889377227,0.045068596133205574,0.04128246754407883,0.04350284859538078,0.03912403620779514,256,8,0.035071197897195816,0.052698610350489616,OT1/rho_J
"cluster(subject,site)",wildppg,0.5299043059931137,0.5584293765423354,0.5043693982472177,0.4809549003839493,0.5055905878543854,0.4594815280288458,256,8,0.4026603698730469,0.5963587164878845,iMF1/rho_J
"window(within-subject, descriptive)",dalia_s2,0.0018054850316266337,0.00184489091292409,0.0017666551416084257,0.0016958864338640401,0.0017390047949053407,0.001640524840896106,1025,1025,0.001346398154323048,0.0021314935002373536,OT1/r_source
"window(within-subject, descriptive)",dalia_s2,0.041884093717352064,0.042322064559224215,0.04146073351316721,0.041181141726086716,0.041701376414997875,0.04050339295535753,1025,1025,0.03669329849336317,0.046168100461653754,OT1/std_retention
"window(within-subject, descriptive)",dalia_s2,0.0041797957618998575,0.004290416501442123,0.004059725728674567,0.004250097387607048,0.004436558459937133,0.004047458723230659,1025,1025,0.0027883539489173275,0.005495193517103625,OT1/beta
"window(within-subject, descriptive)",dalia_s2,0.038027995218170484,0.03834360102334008,0.037708170211331125,0.0376172046325949,0.03805822379088949,0.03713031184167742,1025,1025,0.034065042568529234,0.04115408622811001,OT1/d_pair
"window(within-subject, descriptive)",dalia_s2,0.10229428222095499,0.10308126463499426,0.10150185843451551,0.10246137052687615,0.10315416613168332,0.10177074307471762,1025,1025,0.09344782521671713,0.11108792917893913,iMF1/r_source
"window(within-subject, descriptive)",dalia_s2,0.31921721268542347,0.32044757815181735,0.3179842392328112,0.32009587708509485,0.32117622242100474,0.3190152709114685,1025,1025,0.30569237022980655,0.33329855862115443,iMF1/std_retention
"window(within-subject, descriptive)",dalia_s2,0.09082644097938944,0.09135951442092141,0.09028055278103496,0.0911131634378806,0.09182360152085571,0.09050968323987195,1025,1025,0.08454971297196975,0.09720595079869078,iMF1/beta
