B,HF_relative,HF_relative_sd,QRS_relative,QRS_relative_sd,arm,cost_reduction,cost_reduction_sd,dR2_FULL,dR2_FULL_sd,dR2_HF,dR2_HF_sd,dR2_QRS,dR2_QRS_sd,n_folds
1,46750.00080000001,65807.95867674367,0.06195,0.10730054752889194,independent,0.0,0.0,-0.00042649999999999996,0.0017236476583107117,2.0249999999999998e-05,9.68048939878558e-05,-0.00012550000000000004,0.0004290084498002341,12
8,0.00835,0.004426341604530766,0.16665000000000002,0.051331788396665086,RAW,0.01826175,0.000533505564638271,0.152202,0.021121744329008433,0.001185,0.0005083930566008942,0.02588275,0.009564841879900575,4
8,438750.720625,759936.8757678437,212500.32045,368060.6115965183,WHITE,0.00047,8.746427842267967e-06,0.00135725,0.0009518165198713458,0.0016845,0.0003666895826172322,0.00077925,0.00025350283528986414,4
8,6770255.96375,3936196.1886381907,3500.175225,6062.0766670433495,HF,0.007762250000000001,0.0002171478470996204,-0.00067975,0.0006460314911055033,0.00874425,0.0006743902338409119,-0.00012124999999999999,0.00026542360011875356,4
32,0.0164,0.005278257288158659,0.17202499999999998,0.04914210897997765,RAW,0.02749675,0.000676382796573064,0.2564055,0.029667753997395893,0.004079,0.000972739173674012,0.044387750000000004,0.013917535690182368,4
32,0.955,0.18340740170451136,0.47687499999999994,0.07644845894457258,WHITE,0.00072525,1.4515078366994801e-05,0.004429499999999999,0.0012401371899914946,0.004168,0.001269899405464858,0.00215925,0.0008017120352720171,4
32,5181261.0956,8974181.840673856,0.2334,0.15243042675266644,HF,0.01203825,0.00035264172682766864,0.0014315,0.0022211432304108623,0.0214045,0.0010956223117479854,0.00046225,0.00039271578463311095,4
64,0.01845,0.006553052723731132,0.173225,0.04635581813537542,RAW,0.031321999999999996,0.0008461273544803983,0.28975700000000004,0.02907358272556033,0.0051725,0.0014902178532013367,0.050659249999999996,0.015402391606094815,4
64,1.5799500000000002,1.5018391416859533,0.752175,0.510231209232638,WHITE,0.00083175,1.4219265100559874e-05,0.00576375,0.0023957216423240828,0.0057295,0.0015840458484526257,0.0032389999999999997,0.0005636665681056489,4
64,7021268.165825,12161151.244606355,108750.09687499999,188360.46939232474,HF,0.013847249999999998,0.0003979650581395304,0.0013327500000000002,0.0030944300262730133,0.028064,0.0015410168720685709,0.0003405,0.0005652046089691768,4
64,0.017075,0.004873076543622108,0.169375,0.048064247367455994,RESID,0.03454825,0.0007263206506082563,0.33945325,0.019195301005389312,0.005722,0.0014681725034886059,0.0577905,0.01743747204298834,4
128,0.023075,0.007047827679505223,0.17617499999999997,0.047017569854257674,RAW,0.034623,0.0009630610053366303,0.313058,0.028057995126166798,0.007039,0.0017572590873289004,0.05545,0.016098826867197498,4
128,1.052225,0.4677918520827398,0.570525,0.15032693329872726,WHITE,0.0009265,1.6286497474902326e-05,0.00764175,0.001640335998355215,0.007355,0.0022104284652528345,0.004148000000000001,0.0005075519677826103,4
128,43.404925000000006,26.30618170842882,0.51525,0.35497231230055115,HF,0.01549325,0.00042897341118069244,0.00121725,0.0007329257721625022,0.035431000000000004,0.00201350838091129,0.00042575,0.0002207548130845622,4
256,0.02635,0.009028427327059791,0.182575,0.045323028087275896,RAW,0.0377005,0.0009811283045555246,0.3328825,0.032348356731834144,0.008517,0.0024247023528672544,0.060811750000000005,0.015773739939770146,4
256,0.986325,0.45431451867071115,0.54985,0.15059124310530145,WHITE,0.00101475,1.889940475253119e-05,0.009512,0.0015436753220803912,0.008851,0.0027101035958058874,0.0050015,0.000589684873470568,4
256,10626773.780025,18406057.189932823,65250.174825,113016.21425871484,HF,0.01703175,0.00047668143188087363,0.00125025,0.0012352136201888317,0.04272775,0.002538265586478295,0.00023774999999999995,0.0001536820988274171,4
256,0.023925,0.006869270339708578,0.176,0.046959823253500434,RESID,0.041714,0.0008534603095633679,0.39073725,0.02113107915340578,0.0092455,0.002461838185177897,0.06872775,0.018376375273363898,4
512,0.03075,0.010313704475114652,0.1834,0.04786089217722544,RAW,0.040432499999999996,0.0010993576533594516,0.33881199999999995,0.03069916752128632,0.01013025,0.002816510019066149,0.062362249999999994,0.017313685026229972,4
512,22.38325,37.275942219446314,8.939324999999998,14.622067259347256,WHITE,0.0010935,2.1511624764298938e-05,0.008441500000000001,0.005058556241656309,0.010463,0.0026450053875181428,0.005508000000000001,0.0006296312412833404,4
512,11740416.388749998,20334613.429927014,1.920425,2.111095753838513,HF,0.018415749999999998,0.0005447175300098208,0.0004412499999999999,0.001501189757325835,0.04967925,0.002927208087495659,0.0005045,0.0005381823575703685,4
