B,arm,assigned,fold,random,reduction,setting
8,RAW,10360.18747,0,10549.645515,0.018002,train_crossfit
8,WHITE,8188.599064,0,8192.418801,0.000466,train_crossfit
8,HF,8223.399966,0,8288.923585,0.007905,train_crossfit
32,RAW,41018.917419,0,42166.624464,0.027234,train_crossfit
32,WHITE,32755.671825,0,32779.294963,0.000721,train_crossfit
32,HF,32758.89957,0,33165.248064,0.012252,train_crossfit
64,RAW,81726.501871,0,84330.545397,0.030888,train_crossfit
64,WHITE,65487.478394,0,65541.694314,0.000827,train_crossfit
64,HF,65378.422245,0,66310.790918,0.01406,train_crossfit
64,RESID,69860.964048,0,72367.967302,0.034634,train_crossfit
128,RAW,163118.35167,0,168872.546272,0.034078,train_crossfit
128,WHITE,130937.455198,0,131058.371318,0.000923,train_crossfit
128,HF,130511.596658,0,132601.014245,0.015757,train_crossfit
256,RAW,325167.014747,0,337715.577394,0.03716,train_crossfit
256,WHITE,261947.858981,0,262212.123809,0.001008,train_crossfit
256,HF,260707.171314,0,265293.949812,0.017289,train_crossfit
256,RESID,277512.79046,0,289624.215343,0.041816,train_crossfit
512,RAW,649162.909408,0,676004.091509,0.039706,train_crossfit
512,WHITE,523759.100162,0,524329.668216,0.001088,train_crossfit
512,HF,520557.415591,0,530503.899573,0.018749,train_crossfit
8,RAW,10259.193759,1,10443.670179,0.017706,train_crossfit
8,WHITE,8188.239889,1,8192.05436,0.000466,train_crossfit
8,HF,8226.017951,1,8292.715217,0.008042,train_crossfit
32,RAW,40681.089441,1,41797.038573,0.026714,train_crossfit
32,WHITE,32747.127227,1,32770.531045,0.000714,train_crossfit
32,HF,32756.871554,1,33171.392213,0.012496,train_crossfit
64,RAW,80984.986432,1,83524.820309,0.030415,train_crossfit
64,WHITE,65502.675883,1,65556.421364,0.00082,train_crossfit
64,HF,65405.045185,1,66360.159412,0.014393,train_crossfit
64,RESID,69386.46003,1,71803.098189,0.033649,train_crossfit
128,RAW,161495.518933,1,167122.108804,0.033671,train_crossfit
128,WHITE,130978.667648,1,131098.403914,0.000913,train_crossfit
128,HF,130565.507262,1,132695.827226,0.016054,train_crossfit
256,RAW,321919.560834,1,334176.841833,0.036682,train_crossfit
256,WHITE,261881.224813,1,262143.088578,0.000999,train_crossfit
256,HF,260658.598084,1,265349.491095,0.017678,train_crossfit
256,RESID,275627.386994,1,287325.580212,0.040711,train_crossfit
512,RAW,642466.937212,1,668809.036594,0.039387,train_crossfit
512,WHITE,523763.586258,1,524327.605077,0.001076,train_crossfit
512,HF,520606.54601,1,530758.026249,0.019126,train_crossfit
8,RAW,10192.732892,2,10381.369717,0.018206,train_crossfit
8,WHITE,8190.04453,2,8193.837722,0.000463,train_crossfit
8,HF,8220.34626,2,8282.740051,0.007532,train_crossfit
32,RAW,40316.291091,2,41454.395002,0.027471,train_crossfit
32,WHITE,32733.421771,2,32756.861218,0.000716,train_crossfit
32,HF,32726.404149,2,33110.85072,0.011611,train_crossfit
64,RAW,80387.506689,2,82984.396613,0.031302,train_crossfit
64,WHITE,65508.447592,2,65562.476657,0.000824,train_crossfit
64,HF,65383.106591,2,66273.27237,0.013431,train_crossfit
64,RESID,70024.665312,2,72509.592062,0.034261,train_crossfit
128,RAW,160209.977586,2,165940.751735,0.034539,train_crossfit
128,WHITE,130923.798446,2,131043.816676,0.000916,train_crossfit
128,HF,130476.743041,2,132464.065848,0.015003,train_crossfit
256,RAW,319132.449933,2,331624.471728,0.037672,train_crossfit
256,WHITE,261793.404926,2,262056.692,0.001005,train_crossfit
256,HF,260535.427237,2,264903.251516,0.016488,train_crossfit
256,RESID,277860.711855,2,289831.84686,0.041301,train_crossfit
512,RAW,636929.758842,2,663751.577445,0.040412,train_crossfit
512,WHITE,523676.013983,2,524242.161153,0.00108,train_crossfit
512,HF,520478.635702,2,529899.349567,0.017778,train_crossfit
8,RAW,10314.274207,3,10514.893938,0.019133,train_crossfit
8,WHITE,8188.243786,3,8192.213514,0.000485,train_crossfit
8,HF,8220.662049,3,8283.378603,0.00757,train_crossfit
32,RAW,40886.199782,3,42087.727743,0.028568,train_crossfit
32,WHITE,32745.177475,3,32769.744872,0.00075,train_crossfit
32,HF,32746.333521,3,33137.17644,0.011794,train_crossfit
64,RAW,81315.630648,3,84062.143555,0.032683,train_crossfit
64,WHITE,65471.413733,3,65527.484367,0.000856,train_crossfit
64,HF,65361.553633,3,66256.359189,0.013505,train_crossfit
64,RESID,70503.696647,3,73110.672723,0.035649,train_crossfit
128,RAW,162260.182119,3,168354.56764,0.036204,train_crossfit
128,WHITE,130981.909059,3,131106.993935,0.000954,train_crossfit
128,HF,130562.268193,3,132572.009049,0.015159,train_crossfit
256,RAW,323877.435014,3,337121.618695,0.039288,train_crossfit
256,WHITE,262018.773426,3,262293.436558,0.001047,train_crossfit
256,HF,260817.189919,3,265239.324858,0.016672,train_crossfit
256,RESID,280106.730956,3,292701.681518,0.043028,train_crossfit
512,RAW,644228.46102,3,672629.144669,0.042225,train_crossfit
512,WHITE,523804.74194,3,524397.181479,0.00113,train_crossfit
512,HF,520711.72725,3,530261.682127,0.01801,train_crossfit
