B,assignment_p,cost_q,n_folds,overlap,overlap_sd,regret,regret_sd
8,WHITE,RAW,4,0.34683975000000006,0.0064069874112175395,0.4587775,0.014791090975651525
8,HF,RAW,4,0.2473145,0.009968017694105482,0.6585542499999999,0.021407241022315317
8,RAW,WHITE,4,0.34683975000000006,0.0064069874112175395,0.42121074999999997,0.010656068491122788
8,HF,WHITE,4,0.308975,0.0021433687270276326,0.48873625,0.0026400854507951143
8,RAW,HF,4,0.2473145,0.009968017694105482,0.5938494999999999,0.01708679584503773
8,WHITE,HF,4,0.308975,0.0021433687270276326,0.455872,0.0034330271627238756
32,WHITE,RAW,4,0.219368,0.004303169239060897,0.42749725,0.008431722284770762
32,HF,RAW,4,0.11829375,0.003768893894433748,0.6521365,0.017425472253284828
32,RAW,WHITE,4,0.219368,0.004303169239060897,0.388212,0.006768838305056493
32,HF,WHITE,4,0.16752625,0.0022334151399818107,0.48187175,0.003424308789741361
32,RAW,HF,4,0.11829375,0.003768893894433748,0.56359425,0.014269611826798256
32,WHITE,HF,4,0.16752625,0.0022334151399818107,0.43633075000000004,0.0040715380002524885
64,WHITE,RAW,4,0.18666824999999998,0.005796892459542435,0.41088275,0.010364880592052173
64,HF,RAW,4,0.08695975,0.005575698403563451,0.64611975,0.02219983225584151
64,RESID,RAW,4,0.53491975,0.009923074205481854,0.05004325,0.00339637257783948
64,RAW,WHITE,4,0.18666824999999998,0.005796892459542435,0.3731995,0.007166516605018081
64,HF,WHITE,4,0.12935625,0.0020605479095376572,0.48225250000000003,0.0033819805218244597
64,RESID,WHITE,4,0.1814725,0.004905538324180134,0.38159974999999996,0.005210791416618018
64,RAW,HF,4,0.08695975,0.005575698403563451,0.5533255,0.014206298259926824
64,WHITE,HF,4,0.12935625,0.0020605479095376572,0.43138075000000004,0.0014566705830420209
64,RESID,HF,4,0.092369,0.004828250666649363,0.53609325,0.010799166620045243
64,RAW,RESID,4,0.53491975,0.009923074205481854,0.04766175,0.0034206243856202616
64,WHITE,RESID,4,0.1814725,0.004905538324180134,0.41435774999999997,0.008814331437352455
64,HF,RESID,4,0.092369,0.004828250666649363,0.631104,0.022051033728603283
128,WHITE,RAW,4,0.15753175,0.004201599420161331,0.401262,0.011270785442905037
128,HF,RAW,4,0.0635375,0.003934252502064398,0.6462885,0.01800711100510018
128,RAW,WHITE,4,0.15753175,0.004201599420161331,0.36340799999999995,0.002919032630855642
128,HF,WHITE,4,0.10080725,0.0015593233107665616,0.48087675,0.0022202854968449387
128,RAW,HF,4,0.0635375,0.003934252502064398,0.5465052499999999,0.012253645302011128
128,WHITE,HF,4,0.10080725,0.0015593233107665616,0.42773725,0.0022567392821280854
256,WHITE,RAW,4,0.13663475,0.0038957816529549038,0.390754,0.009960505308467031
256,HF,RAW,4,0.047576749999999994,0.003223572736499052,0.6444637499999999,0.018018098337158103
256,RESID,RAW,4,0.484291,0.011127152758005963,0.0485575,0.003092365154699556
256,RAW,WHITE,4,0.13663475,0.0038957816529549038,0.3533915,0.006606468667147381
256,HF,WHITE,4,0.08026125,0.000945496265196216,0.47789575,0.0027478827645116195
256,RESID,WHITE,4,0.13100425,0.0032226095307219585,0.36221975,0.005061916207080088
256,RAW,HF,4,0.047576749999999994,0.003223572736499052,0.540273,0.013697572211892144
256,WHITE,HF,4,0.08026125,0.000945496265196216,0.4245695,0.0019319925595094774
256,RESID,HF,4,0.05307775,0.0029675801905761547,0.52406675,0.011275169031438104
256,RAW,RESID,4,0.484291,0.011127152758005963,0.046399,0.002618309760131524
256,WHITE,RESID,4,0.13100425,0.0032226095307219585,0.39486699999999997,0.008132311571748837
256,HF,RESID,4,0.05307775,0.0029675801905761547,0.6291467500000001,0.017903981322250635
512,WHITE,RAW,4,0.117691,0.004897302675963578,0.38063075,0.008992548481242684
512,HF,RAW,4,0.03649925,0.0030536971342128866,0.63922975,0.018520051354882903
512,RAW,WHITE,4,0.117691,0.004897302675963578,0.34427575,0.006246291634842222
512,HF,WHITE,4,0.065155,0.0015175043657268369,0.4738407499999999,0.001472813867228303
512,RAW,HF,4,0.03649925,0.0030536971342128866,0.536985,0.013195177812367679
512,WHITE,HF,4,0.065155,0.0015175043657268369,0.42028825000000003,0.002317130917212065
