B,arm,delta_r2,domain,fold,n_perm,null_hi,null_lo,null_mean,r2,setting
1,RAW,-0.000905,FULL,0,100,-0.030552,-0.035674,-0.032799,-0.033704,train_crossfit
1,RAW,-0.000326,QRS,0,100,-0.040076,-0.041419,-0.040712,-0.041037,train_crossfit
1,RAW,-0.000114,HF,0,100,-0.035823,-0.036604,-0.036224,-0.036338,train_crossfit
1,WHITE,-0.000905,FULL,0,100,-0.030552,-0.035674,-0.032799,-0.033704,train_crossfit
1,WHITE,-0.000326,QRS,0,100,-0.040076,-0.041419,-0.040712,-0.041037,train_crossfit
1,WHITE,-0.000114,HF,0,100,-0.035823,-0.036604,-0.036224,-0.036338,train_crossfit
1,HF,-0.000905,FULL,0,100,-0.030552,-0.035674,-0.032799,-0.033704,train_crossfit
1,HF,-0.000326,QRS,0,100,-0.040076,-0.041419,-0.040712,-0.041037,train_crossfit
1,HF,-0.000114,HF,0,100,-0.035823,-0.036604,-0.036224,-0.036338,train_crossfit
8,RAW,0.150148,FULL,0,100,-0.025595,-0.039663,-0.032449,0.117699,train_crossfit
8,RAW,0.021205,QRS,0,100,-0.039606,-0.042676,-0.041146,-0.019941,train_crossfit
8,RAW,0.000904,HF,0,100,-0.035333,-0.036452,-0.035851,-0.034947,train_crossfit
8,WHITE,0.002536,FULL,0,100,-0.029373,-0.035672,-0.032684,-0.030148,train_crossfit
8,WHITE,0.000692,QRS,0,100,-0.040274,-0.041943,-0.041157,-0.040465,train_crossfit
8,WHITE,0.001534,HF,0,100,-0.03541,-0.03634,-0.035838,-0.034304,train_crossfit
8,HF,0.000331,FULL,0,100,-0.029949,-0.036073,-0.032669,-0.032338,train_crossfit
8,HF,0.000232,QRS,0,100,-0.040324,-0.042161,-0.041162,-0.04093,train_crossfit
8,HF,0.007896,HF,0,100,-0.035444,-0.036322,-0.035866,-0.02797,train_crossfit
32,RAW,0.257,FULL,0,100,-0.02337,-0.040818,-0.031579,0.225421,train_crossfit
32,RAW,0.03713,QRS,0,100,-0.039611,-0.042979,-0.041082,-0.003952,train_crossfit
32,RAW,0.003505,HF,0,100,-0.035313,-0.036224,-0.03581,-0.032305,train_crossfit
32,WHITE,0.003374,FULL,0,100,-0.028998,-0.034875,-0.032009,-0.028635,train_crossfit
32,WHITE,0.001381,QRS,0,100,-0.040419,-0.041861,-0.041178,-0.039797,train_crossfit
32,WHITE,0.003432,HF,0,100,-0.035301,-0.036206,-0.035766,-0.032334,train_crossfit
32,HF,0.004386,FULL,0,100,-0.029094,-0.035205,-0.032323,-0.027937,train_crossfit
32,HF,0.000869,QRS,0,100,-0.040486,-0.042058,-0.041269,-0.0404,train_crossfit
