B,amp,amp_sd,arm,f1,f1_sd,hf,hf_sd,morph,morph_n,morph_n_sd,morph_sd,n_folds,n_windows,n_windows_sd,qrs_energy,qrs_energy_sd,rmse,rmse_sd,slope,slope_sd
1,0.29277824999999996,0.020460739556220835,independent,0.38715799999999995,0.020321769337338706,0.0087265,0.002208505546744223,0.48638200000000004,1455.0,29.45335295004628,0.028653479875924343,12,2048.0,0.0,0.07503300000000002,0.012233856137784195,0.32059550000000003,0.03431588349802464,0.12021025000000002,0.01759696336552134
8,0.299223,0.02142548280669539,RAW,0.38474025,0.01873652565678867,0.008654,0.00218803324929033,0.48658150000000006,1450.75,31.33189269737786,0.02679753785798241,4,2048.0,0.0,0.14169725,0.023270475869382214,0.33521125,0.030861775178811397,0.121612,0.01759275863814428
8,0.29720525000000003,0.020875757607509718,WHITE,0.38459625,0.019583992715672172,0.008809250000000001,0.0021766829552096007,0.48691249999999997,1455.0,31.709619991415853,0.02751524066313066,4,2048.0,0.0,0.07622625,0.0124486557180886,0.32124549999999996,0.033596376728004466,0.12152675,0.01747359047784685
8,0.293383,0.020567332119164134,HF,0.38581975,0.018864775275298146,0.00873275,0.00220795735635904,0.48882549999999997,1455.5,23.90083680543424,0.026467085120012744,4,2048.0,0.0,0.07568325000000001,0.012204109745798749,0.32108024999999996,0.033328261373607525,0.12028275,0.017522521242318418
32,0.3081965,0.023215262969649948,RAW,0.37775425,0.020183470320722853,0.00860225,0.002174920501420684,0.4857755,1422.75,21.775846711436962,0.02934490114568459,4,2048.0,0.0,0.1869025,0.03247336069380562,0.34501375,0.028896848983712736,0.12316849999999999,0.017177979457724354
32,0.302363,0.021810041368599,WHITE,0.38236349999999997,0.019772016216107052,0.008885,0.002195500056934638,0.4863415,1438.0,27.883686987197372,0.02543123855123852,4,2048.0,0.0,0.07745475,0.012783054454530813,0.32155625,0.033679889373148204,0.1229465,0.017411017266374763
32,0.29320675,0.02004565583081531,HF,0.3855385,0.020201782959679587,0.008792000000000001,0.0022161539883320384,0.488544,1450.25,29.252136674096132,0.029519408691571058,4,2048.0,0.0,0.07524924999999999,0.01244830623769756,0.32120125000000005,0.03370184826070374,0.12042749999999999,0.01759669083236959
64,0.313521,0.02403273936737134,RAW,0.3778405,0.020029276990196132,0.008561,0.002175198036961233,0.48377725,1440.25,31.027205803939225,0.029840283647906217,4,2048.0,0.0,0.19844450000000002,0.035486898924110014,0.34774025,0.028348886992040787,0.12404974999999999,0.01748052923076129
64,0.30497874999999997,0.022120140272780836,WHITE,0.3816335,0.020357772821455702,0.008901,0.0022024442104171447,0.48669399999999996,1432.25,26.479945241635225,0.028478303399254664,4,2048.0,0.0,0.07690274999999999,0.011869044472386982,0.3213385,0.03375797957890844,0.1234745,0.017492658695864388
64,0.293785,0.020681481728831722,HF,0.38637275000000004,0.017746051537947824,0.00882025,0.002248605053694401,0.4898015,1455.75,17.55526986406076,0.02813641713598234,4,2048.0,0.0,0.07558925,0.012931298047276616,0.32051050000000003,0.034069383854862995,0.12052525,0.017493562092595664
