f1,kind,precision,recall,value
1.0,jitter_sd_ms,1.0,1.0,0.0
1.0,jitter_sd_ms,1.0,1.0,5.0
1.0,jitter_sd_ms,1.0,1.0,10.0
0.9888799541387432,jitter_sd_ms,0.9888799541387432,0.9888799541387432,20.0
0.9094364802677792,jitter_sd_ms,0.9094364802677792,0.9094364802677792,30.0
0.7903534426727786,jitter_sd_ms,0.7903534426727786,0.7903534426727786,40.0
0.6860115511116488,jitter_sd_ms,0.6860115511116488,0.6860115511116488,50.0
1.0,fixed_shift_ms,1.0,1.0,10.0
1.0,fixed_shift_ms,1.0,1.0,20.0
1.0,fixed_shift_ms,1.0,1.0,30.0
1.0,fixed_shift_ms,1.0,1.0,40.0
1.0,fixed_shift_ms,1.0,1.0,50.0
