epoch,train_loss,train_mae_monitor,val_mae_batchmean,val_mae_window,val_cfm_loss,val_cfm_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.3393109906126152,0.18467543179338627,nan,nan,nan,0.25793970421707596,0.25793970421707596,25.640563575926972,0.32547502476364537,1.219974398612976,0.001,81.43736399989575,81.43736399989575,18409.638671875,1,0,0,best
1,0.21934536119753664,0.14275238141417504,nan,nan,nan,0.21764034617800926,0.21764034617800926,nan,nan,nan,0.001,73.03890865691938,154.47627265681513,18409.638671875,1,1,0,best
2,0.20856155956333333,0.13924039392308754,nan,nan,nan,0.203507941555492,0.203507941555492,nan,nan,nan,0.001,72.97410444100387,227.450377097819,18409.638671875,1,2,0,best
3,0.20086693201552738,0.13736516101793808,nan,nan,nan,0.19741513832389096,0.19741513832389096,nan,nan,nan,0.001,72.97148825391196,300.42186535173096,18409.638671875,1,3,0,best
4,0.1935232504524968,0.13480675687844104,nan,nan,nan,0.19762051084418933,0.19762051084418933,20.5642744925177,0.658599272490757,1.151362419128418,0.001,81.59221314103343,382.0140784927644,18409.638671875,0,3,1,
5,0.19411827332594178,0.1336442747915333,nan,nan,nan,0.19055553835962433,0.19055553835962433,nan,nan,nan,0.001,73.11396494996734,455.1280434427317,18409.638671875,1,5,0,best
6,0.18674582608721474,0.1323744146322662,nan,nan,nan,0.19392030182188322,0.19392030182188322,nan,nan,nan,0.001,73.08741280902177,528.2154562517535,18409.638671875,0,5,1,
7,0.18471063707362523,0.13231961984526028,nan,nan,nan,0.19177344001361904,0.19177344001361904,nan,nan,nan,0.001,73.0544709211681,601.2699271729216,18409.638671875,0,5,2,
8,0.18602365864948792,0.13123984021896665,nan,nan,nan,0.18380723971376156,0.18380723971376156,nan,nan,nan,0.001,73.04917185404338,674.319099026965,18409.638671875,1,8,0,best
9,0.18441110368479383,0.13074603764848275,nan,nan,nan,0.18189635843855423,0.18189635843855423,16.470854047357328,0.655267939569544,0.945628821849823,0.001,81.68167054792866,756.0007695748936,18409.638671875,1,9,0,best
10,0.18086926991289312,0.12994781363416802,nan,nan,nan,0.1838662199590398,0.1838662199590398,nan,nan,nan,0.001,73.10471988399513,829.1054894588888,18409.638671875,0,9,1,
11,0.17858137691562825,0.12996868636797776,nan,nan,nan,0.17991551132353928,0.17991551132353928,nan,nan,nan,0.001,73.44133528601378,902.5468247449026,18409.638671875,1,11,0,best
12,0.17955367002974856,0.12949718020179055,nan,nan,nan,0.17835669323578016,0.17835669323578016,nan,nan,nan,0.001,73.354973499896,975.9017982447986,18409.638671875,1,12,0,best
13,0.17663505124774845,0.1288264023648067,nan,nan,nan,0.18685517924533915,0.18685517924533915,nan,nan,nan,0.001,73.41753015713766,1049.3193284019362,18409.638671875,0,12,1,
14,0.17648712322115898,0.12888795140792023,nan,nan,nan,0.18674888482249805,0.18674888482249805,16.773854244758777,0.5715679441661264,1.038093090057373,0.001,82.02372260787524,1131.3430510098115,18409.638671875,0,12,2,
15,0.1746083522384817,0.12908522500233216,nan,nan,nan,0.18496378009873718,0.18496378009873718,nan,nan,nan,0.001,73.32165291602723,1204.6647039258387,18409.638671875,0,12,3,
16,0.1730546540834687,0.12772839079526338,nan,nan,nan,0.18453597263568908,0.18453597263568908,nan,nan,nan,0.001,73.37438233708963,1278.0390862629283,18409.638671875,0,12,4,
17,0.1729228411885825,0.1288091671060432,nan,nan,nan,0.17466994569324795,0.17466994569324795,nan,nan,nan,0.001,73.31642557494342,1351.3555118378717,18409.638671875,1,17,0,best
18,0.175753385505893,0.12578336044468663,nan,nan,nan,0.17612692995686957,0.17612692995686957,nan,nan,nan,0.001,73.25071720103733,1424.606229038909,18409.638671875,0,17,1,
19,0.1713026076555252,0.12712521847676148,nan,nan,nan,0.17623067682133006,0.17623067682133006,11.969901625291389,0.7060797456894854,0.9472514986991882,0.001,81.82455983408727,1506.4307888729963,18409.638671875,0,17,2,
20,0.17094352780417962,0.12673504085026005,nan,nan,nan,0.17578975918227652,0.17578975918227652,nan,nan,nan,0.001,73.02193618193269,1579.452725054929,18409.638671875,0,17,3,
21,0.17164775200865484,0.12653180269355124,nan,nan,nan,0.17949687306802953,0.17949687306802953,nan,nan,nan,0.001,73.06793435104191,1652.520659405971,18409.638671875,0,17,4,
22,0.17171807553280483,0.12646672715517607,nan,nan,nan,0.17424144521421506,0.17424144521421506,nan,nan,nan,0.001,73.0226546979975,1725.5433141039684,18409.638671875,1,22,0,best
23,0.16956159089776604,0.12515761015767402,nan,nan,nan,0.17628843535584332,0.17628843535584332,nan,nan,nan,0.001,73.24241539998911,1798.7857295039576,18409.638671875,0,22,1,
24,0.16811117516322568,0.12600279670547354,nan,nan,nan,0.17486556602936737,0.17486556602936737,13.537595245646887,0.6922450074030099,0.9537442922592163,0.001,81.60289908503182,1880.3886285889894,18409.638671875,0,22,2,
25,0.17094838199290363,0.12448378124020316,nan,nan,nan,0.18280803524847056,0.18280803524847056,nan,nan,nan,0.001,73.00131401396357,1953.389942602953,18409.638671875,0,22,3,
26,0.16682371151718225,0.12455416111783547,nan,nan,nan,0.17238384079448318,0.17238384079448318,nan,nan,nan,0.001,72.92054895800538,2026.3104915609583,18409.638671875,1,26,0,best
27,0.165552065318281,0.12518428096717055,nan,nan,nan,0.1717539088690207,0.1717539088690207,nan,nan,nan,0.001,73.0301695689559,2099.340661129914,18409.638671875,1,27,0,best
28,0.16719611436128617,0.1251216995445165,nan,nan,nan,0.17344090297725956,0.17344090297725956,nan,nan,nan,0.001,73.0747009369079,2172.415362066822,18409.638671875,0,27,1,
29,0.1667057177559896,0.12382236807183786,nan,nan,nan,0.1789353396595315,0.1789353396595315,14.035113594930491,0.6502278850723057,0.8833354711532593,0.001,81.6402978869155,2254.0556599537376,18409.638671875,0,27,2,
30,0.16519202498549765,0.1248718569224531,nan,nan,nan,0.17584526728571884,0.17584526728571884,nan,nan,nan,0.001,73.00582389114425,2327.061483844882,18409.638671875,0,27,3,
31,0.16493595408445055,0.12426780912686478,nan,nan,nan,0.1684688646955684,0.1684688646955684,nan,nan,nan,0.001,73.04540998209268,2400.1068938269746,18409.638671875,1,31,0,best
32,0.16337388354268942,0.12306614419953389,nan,nan,nan,0.1711242794463531,0.1711242794463531,nan,nan,nan,0.001,73.07084829779342,2473.177742124768,18409.638671875,0,31,1,
33,0.16427990225228398,0.1244254894554615,nan,nan,nan,0.18016151007459186,0.18016151007459186,nan,nan,nan,0.001,73.03602325194515,2546.213765376713,18409.638671875,0,31,2,
34,0.1613482570106333,0.1230379100211642,nan,nan,nan,0.170086189248096,0.170086189248096,13.113395611268052,0.6729249203656034,0.9089846611022949,0.001,81.6647260801401,2627.878491456853,18409.638671875,0,31,3,
35,0.16259353465654633,0.1240721677175977,nan,nan,nan,0.17189755269007595,0.17189755269007595,nan,nan,nan,0.001,73.05144799896516,2700.9299394558184,18409.638671875,0,31,4,
36,0.1650627611712976,0.12443076311187311,nan,nan,nan,0.1723250647122411,0.1723250647122411,nan,nan,nan,0.001,73.04472870286554,2773.974668158684,18409.638671875,0,31,5,
37,0.16212964775887403,0.12261812324551019,nan,nan,nan,0.16775793369421382,0.16775793369421382,nan,nan,nan,0.001,73.05064951488748,2847.0253176735714,18409.638671875,1,37,0,best
38,0.1595657212829048,0.12226172871887683,nan,nan,nan,0.1702330480309106,0.1702330480309106,nan,nan,nan,0.001,73.02285321406089,2920.0481708876323,18409.638671875,0,37,1,
39,0.1621911814266985,0.12371532368389043,nan,nan,nan,0.17248158524460122,0.17248158524460122,14.383739330235642,0.6658092933621133,0.9434100389480591,0.001,81.68395159184001,3001.7321224794723,18409.638671875,0,37,2,
40,0.16038685610348527,0.12280269488692283,nan,nan,nan,0.17884759972519204,0.17884759972519204,nan,nan,nan,0.001,73.06030239304528,3074.7924248725176,18409.638671875,0,37,3,
41,0.16144863482226024,0.1220506406643174,nan,nan,nan,0.1690136331251298,0.1690136331251298,nan,nan,nan,0.001,73.01148967305198,3147.8039145455696,18409.638671875,0,37,4,
42,0.15956623723561114,0.12176878296516158,nan,nan,nan,0.1709442153428109,0.1709442153428109,nan,nan,nan,0.001,73.00809681904502,3220.8120113646146,18409.638671875,0,37,5,
43,0.16136406148699198,0.1216747199608521,nan,nan,nan,0.17513594091939885,0.17513594091939885,nan,nan,nan,0.001,73.02638779697008,3293.8383991615847,18409.638671875,0,37,6,
44,0.16004907946017655,0.12234810983592814,nan,nan,nan,0.1761501910515742,0.1761501910515742,13.359107093898416,0.6302999449980442,0.8919415473937988,0.001,81.71385278785601,3375.5522519494407,18409.638671875,0,37,7,
45,0.1597943711687218,0.12146197035908698,nan,nan,nan,0.1682242497630503,0.1682242497630503,nan,nan,nan,0.001,72.97719390201382,3448.5294458514545,18409.638671875,0,37,8,
46,0.15739652399312365,0.12295442907647654,nan,nan,nan,0.17184454787631248,0.17184454787631248,nan,nan,nan,0.001,73.02431153017096,3521.5537573816255,18409.638671875,0,37,9,
47,0.15822344127703797,0.12135714167221026,nan,nan,nan,0.16557440654457828,0.16557440654457828,nan,nan,nan,0.001,73.06818901700899,3594.6219463986345,18409.638671875,1,47,0,best
48,0.157912165671587,0.12174501937221396,nan,nan,nan,0.1692723298262538,0.1692723298262538,nan,nan,nan,0.001,72.9853207950946,3667.607267193729,18409.638671875,0,47,1,
49,0.1587655672295527,0.12217878553677688,nan,nan,nan,0.16785595682634916,0.16785595682634916,11.614090558101928,0.6659468308153285,0.9504786133766174,0.001,81.55699157109484,3749.164258764824,18409.638671875,0,47,2,
50,0.15592779605226084,0.12090356871485711,nan,nan,nan,0.16874277465223317,0.16874277465223317,nan,nan,nan,0.001,72.9832068409305,3822.1474656057544,18409.638671875,0,47,3,
51,0.15757676857438954,0.12052026573907246,nan,nan,nan,0.1699192807486793,0.1699192807486793,nan,nan,nan,0.001,73.03430598601699,3895.1817715917714,18409.638671875,0,47,4,
52,0.15966570695692842,0.12159189331260595,nan,nan,nan,0.17567859804809463,0.17567859804809463,nan,nan,nan,0.001,73.04033970017917,3968.2221112919506,18409.638671875,0,47,5,
53,0.15840618759393693,0.12079567150636153,nan,nan,nan,0.1666150874104993,0.1666150874104993,nan,nan,nan,0.001,73.02389572211541,4041.246007014066,18409.638671875,0,47,6,
54,0.1577600035816431,0.12107883942398158,nan,nan,nan,0.16771234778784525,0.16771234778784525,13.71804196102181,0.6108501902183,0.9152929782867432,0.001,81.66237476095557,4122.908381775022,18409.638671875,0,47,7,
55,0.1563364568081769,0.12095823318443515,nan,nan,nan,0.17718447930616787,0.17718447930616787,nan,nan,nan,0.001,72.90475753392093,4195.8131393089425,18409.638671875,0,47,8,
56,0.15518724745647475,0.12087534913285213,nan,nan,nan,0.1659820252662207,0.1659820252662207,nan,nan,nan,0.001,73.08337814500555,4268.896517453948,18409.638671875,0,47,9,
57,0.15659093690866774,0.12081120742315596,nan,nan,nan,0.16725879248847592,0.16725879248847592,nan,nan,nan,0.001,73.05415543401614,4341.950672887964,18409.638671875,0,47,10,
58,0.15465776639228518,0.12059496559879997,nan,nan,nan,0.16618769912989556,0.16618769912989556,nan,nan,nan,0.001,73.15220544394106,4415.102878331905,18409.638671875,0,47,11,
59,0.1566093633459373,0.11928392015397549,nan,nan,nan,0.16941460405800007,0.16941460405800007,16.222838330071916,0.6206002195662788,0.9844021797180176,0.001,81.75747578521259,4496.860354117118,18409.638671875,0,47,12,
