epoch,train_loss,train_mae_monitor,val_mae_batchmean,val_mae_window,val_cfm_loss,val_cfm_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.3008794590830803,0.1746347423642874,nan,nan,nan,0.17975878802520595,0.17975878802520595,14.868194262378736,0.5860596628188783,0.9057700037956238,0.001,95.30215334892273,95.30215334892273,20722.427734375,1,0,0,best
1,0.17706182463602585,0.1301669948480346,nan,nan,nan,0.17168770873011183,0.17168770873011183,nan,nan,nan,0.001,86.96050587296486,182.2626592218876,20722.427734375,1,1,0,best
2,0.16198837699537927,0.1232087874954397,nan,nan,nan,0.14652310224788823,0.14652310224788823,nan,nan,nan,0.001,87.03987920610234,269.30253842798993,20722.427734375,1,2,0,best
3,0.1560747348449447,0.12163162431256337,nan,nan,nan,0.14508756166877645,0.14508756166877645,nan,nan,nan,0.001,86.95718970708549,356.2597281350754,20722.427734375,1,3,0,best
4,0.15260187272321094,0.11994639875536615,nan,nan,nan,0.14389323560297096,0.14389323560297096,10.129597411208621,0.6793253243084033,0.8802446126937866,0.001,95.66075920988806,451.9204873449635,20722.427734375,1,4,0,best
5,0.15016045153818347,0.11742644807831808,nan,nan,nan,0.13801084363161337,0.13801084363161337,nan,nan,nan,0.001,86.84511272981763,538.7656000747811,20722.427734375,1,5,0,best
6,0.1509967771104791,0.11877957447008654,nan,nan,nan,0.13462512542738467,0.13462512542738467,nan,nan,nan,0.001,87.0515392459929,625.817139320774,20722.427734375,1,6,0,best
7,0.14155612090094524,0.11551231437108733,nan,nan,nan,0.13936797387533806,0.13936797387533806,nan,nan,nan,0.001,87.04618034209125,712.8633196628653,20722.427734375,0,6,1,
8,0.14279940023340962,0.11424465717917139,nan,nan,nan,0.1434526359979826,0.1434526359979826,nan,nan,nan,0.001,86.94155924790539,799.8048789107706,20722.427734375,0,6,2,
9,0.14216577790000223,0.1147447725588625,nan,nan,nan,0.14041540777037606,0.14041540777037606,8.422123913815737,0.7088911708308018,0.7524049878120422,0.001,95.62444425397553,895.4293231647462,20722.427734375,0,6,3,
10,0.13977000469511205,0.11481936011802066,nan,nan,nan,0.13213607868871097,0.13213607868871097,nan,nan,nan,0.001,87.03932217811234,982.4686453428585,20722.427734375,1,10,0,best
11,0.13691859678788618,0.1136560315435583,nan,nan,nan,0.13916968233991645,0.13916968233991645,nan,nan,nan,0.001,87.04736389708705,1069.5160092399456,20722.427734375,0,10,1,
12,0.13560380617325957,0.11249790581112558,nan,nan,nan,0.12879713774121107,0.12879713774121107,nan,nan,nan,0.001,86.96342649497092,1156.4794357349165,20722.427734375,1,12,0,best
13,0.13712472140111706,0.1126863705502315,nan,nan,nan,0.1303121802317104,0.1303121802317104,nan,nan,nan,0.001,86.99841580400243,1243.477851538919,20722.427734375,0,12,1,
14,0.1359087327325886,0.1128294960680333,nan,nan,nan,0.13724956850237072,0.13724956850237072,9.045844479168927,0.7266458172592266,0.7592055797576904,0.001,95.73944016708992,1339.2172917060088,20722.427734375,0,12,2,
15,0.13303546509282155,0.11265243904834443,nan,nan,nan,0.12562598233336345,0.12562598233336345,nan,nan,nan,0.001,87.06296517397277,1426.2802568799816,20722.427734375,1,15,0,best
16,0.13096376599913293,0.11149563538757237,nan,nan,nan,0.1241451056622451,0.1241451056622451,nan,nan,nan,0.001,87.00320997997187,1513.2834668599535,20722.427734375,1,16,0,best
17,0.13065237033773552,0.11118241646750407,nan,nan,nan,0.12418323756051662,0.12418323756051662,nan,nan,nan,0.001,87.01240937085822,1600.2958762308117,20722.427734375,0,16,1,
18,0.1328095470978455,0.11049421510913156,nan,nan,nan,0.12334656164227263,0.12334656164227263,nan,nan,nan,0.001,86.92905334802344,1687.2249295788351,20722.427734375,1,18,0,best
19,0.13088816936043177,0.11066396175460382,nan,nan,nan,0.12404147526310803,0.12404147526310803,8.277749155994847,0.6880656470636699,0.7344669103622437,0.001,95.7233036858961,1782.9482332647312,20722.427734375,0,18,1,
20,0.13069346673338791,0.11051130319227938,nan,nan,nan,0.12674955098915602,0.12674955098915602,nan,nan,nan,0.001,75.54963658400811,1858.4978698487394,20703.607421875,0,18,2,
21,0.13219555132091046,0.10997091728177938,nan,nan,nan,0.12266298217927765,0.12266298217927765,nan,nan,nan,0.001,87.0314151130151,1945.5292849617545,20722.427734375,1,21,0,best
22,0.12897284782745622,0.11011402590030973,nan,nan,nan,0.12647889165928689,0.12647889165928689,nan,nan,nan,0.001,87.05113378795795,2032.5804187497124,20722.427734375,0,21,1,
23,0.12952191585844214,0.1098059014163234,nan,nan,nan,0.1213413537769053,0.1213413537769053,nan,nan,nan,0.001,86.96713899914175,2119.547557748854,20722.427734375,1,23,0,best
24,0.12782136066393418,0.10910353206775406,nan,nan,nan,0.12306392399134063,0.12306392399134063,5.778285930026204,0.7381743087707949,0.7424355745315552,0.001,95.73035803204402,2215.277915780898,20722.427734375,0,23,1,
25,0.12863556254993785,0.1095819198272445,nan,nan,nan,0.12532216603406354,0.12532216603406354,nan,nan,nan,0.001,86.99537822511047,2302.2732940060087,20722.427734375,0,23,2,
26,0.12809367071498523,0.10981905890459365,nan,nan,nan,0.1246538185577254,0.1246538185577254,nan,nan,nan,0.001,87.17981401504949,2389.453108021058,20722.427734375,0,23,3,
27,0.1247285753149878,0.10901138203387911,nan,nan,nan,0.11815665717405247,0.11815665717405247,nan,nan,nan,0.001,87.05408913595602,2476.507197157014,20722.427734375,1,27,0,best
28,0.12697788246653297,0.10911346579139883,nan,nan,nan,0.11937259530139252,0.11937259530139252,nan,nan,nan,0.001,87.06150401709601,2563.56870117411,20722.427734375,0,27,1,
29,0.1266458363695578,0.10895674479278651,nan,nan,nan,0.11821153866646311,0.11821153866646311,8.181716010003369,0.7226091421952617,0.8569701910018921,0.001,95.56664677709341,2659.1353479512036,20722.427734375,0,27,2,
30,0.12475955428724939,0.1100223397328095,nan,nan,nan,0.11782832424029649,0.11782832424029649,nan,nan,nan,0.001,87.04535073484294,2746.1806986860465,20722.427734375,1,30,0,best
31,0.12408173808997328,0.10802610008554026,nan,nan,nan,0.12172026224385164,0.12172026224385164,nan,nan,nan,0.001,86.982383843977,2833.1630825300235,20722.427734375,0,30,1,
32,0.12744130756367336,0.1091919426552274,nan,nan,nan,0.11745913547206586,0.11745913547206586,nan,nan,nan,0.001,86.901044836035,2920.0641273660585,20722.427734375,1,32,0,best
33,0.12424704114144498,0.10879692594436081,nan,nan,nan,0.11990513464182496,0.11990513464182496,nan,nan,nan,0.001,87.02970583597198,3007.0938332020305,20722.427734375,0,32,1,
34,0.12374231649393386,0.1086609250781211,nan,nan,nan,0.11900627202449103,0.11900627202449103,10.331660554436269,0.6638861723696498,0.9471709728240967,0.001,95.59902004897594,3102.6928532510065,20722.427734375,0,32,2,
35,0.12304532639682293,0.10826616974716836,nan,nan,nan,0.11920596215888721,0.11920596215888721,nan,nan,nan,0.001,87.02342755789869,3189.716280808905,20722.427734375,0,32,3,
36,0.12443110218102282,0.1087090054018931,nan,nan,nan,0.11492030543018049,0.11492030543018049,nan,nan,nan,0.001,87.02354704309255,3276.7398278519977,20722.427734375,1,36,0,best
37,0.12286748625338077,0.10739196369593794,nan,nan,nan,0.1177051690602712,0.1177051690602712,nan,nan,nan,0.001,86.8833745289594,3363.623202380957,20722.427734375,0,36,1,
38,0.12105318768457933,0.10708979148079048,nan,nan,nan,0.11823881907066235,0.11823881907066235,nan,nan,nan,0.001,86.94997864309698,3450.573181024054,20722.427734375,0,36,2,
39,0.12175420820713043,0.10788489011200991,nan,nan,nan,0.11583012536935794,0.11583012536935794,8.048121066493625,0.7040695882177267,0.7856826186180115,0.001,95.63900419487618,3546.2121852189302,20722.427734375,0,36,3,
40,0.12212931622158398,0.10816293761811473,nan,nan,nan,0.11772849737731753,0.11772849737731753,nan,nan,nan,0.001,86.96168742701411,3633.1738726459444,20722.427734375,0,36,4,
41,0.12186891263951369,0.10778444932132471,nan,nan,nan,0.11713971725543235,0.11713971725543235,nan,nan,nan,0.001,75.49234452005476,3708.666217165999,20703.607421875,0,36,5,
42,0.12036846703426404,0.10659147650003434,nan,nan,nan,0.11481354229910055,0.11481354229910055,nan,nan,nan,0.001,87.03742394596338,3795.7036411119625,20722.427734375,1,42,0,best
43,0.12132521976124157,0.10616413127969612,nan,nan,nan,0.11517909712095399,0.11517909712095399,nan,nan,nan,0.001,87.03859027801082,3882.7422313899733,20722.427734375,0,42,1,
44,0.12072187519886277,0.10614450624720617,nan,nan,nan,0.1172931303593725,0.1172931303593725,7.417986659226381,0.7049304386660158,0.7971368432044983,0.001,95.74139033188112,3978.4836217218544,20722.427734375,0,42,2,
45,0.12108481607653877,0.10660191127522425,nan,nan,nan,0.116749169607616,0.116749169607616,nan,nan,nan,0.001,86.94132713321596,4065.4249488550704,20722.427734375,0,42,3,
46,0.12000449811193076,0.10797200111502951,nan,nan,nan,0.11211996647766748,0.11211996647766748,nan,nan,nan,0.001,87.08008486707695,4152.505033722147,20722.427734375,1,46,0,best
47,0.12194274247369984,0.1072856403548609,nan,nan,nan,0.1146588474984528,0.1146588474984528,nan,nan,nan,0.001,87.01912926789373,4239.524162990041,20722.427734375,0,46,1,
48,0.12028577778149735,0.10700136683881283,nan,nan,nan,0.11356020223747944,0.11356020223747944,nan,nan,nan,0.001,86.9920560461469,4326.516219036188,20722.427734375,0,46,2,
49,0.12091431831094351,0.10712984343144026,nan,nan,nan,0.11289560502318756,0.11289560502318756,7.731069706753578,0.7436512208584044,0.7635776996612549,0.001,95.64133702986874,4422.157556066057,20722.427734375,0,46,3,
50,0.11852892776104537,0.10643944083289666,nan,nan,nan,0.11988687255817171,0.11988687255817171,nan,nan,nan,0.001,86.77505140309222,4508.932607469149,20722.427734375,0,46,4,
