epoch,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.9999998020854863,838.9497663844716,68.23897527083754,10.174134294526874,160.22123247238986,160.22123247238986,nan,nan,nan,nan,0.001,191.77840523584746,191.77840523584746,17696.09716796875,1,0,0,best
1,0.9999996594407342,179.0679600802335,75.8268757386641,9.996671265905553,194.274407700324,194.274407700324,nan,nan,nan,nan,0.001,191.58237366890535,383.3607789047528,17696.09716796875,0,0,1,
2,0.9999996146017854,180.10227166956122,75.73236257379705,10.649976096370004,159.56249125119288,159.56249125119288,nan,nan,nan,nan,0.001,191.49268638994545,574.8534652946983,17696.09716796875,1,2,0,best
3,0.9999995885924859,169.2677015217868,76.5201264814897,13.071474662694063,179.6772912332475,179.6772912332475,nan,nan,nan,nan,0.001,191.45535361487418,766.3088189095724,17696.09716796875,0,2,1,
4,0.9999995823610913,173.30728480599143,76.34148564772173,12.060068919441918,138.00487593409002,138.00487593409002,nan,nan,nan,nan,0.001,191.86693126289174,958.1757501724642,17696.09716796875,1,4,0,best
5,0.9999995633959771,168.34878717769277,75.96912682273171,11.18731603080576,133.7593796537133,133.7593796537133,nan,nan,nan,nan,0.001,191.397032903973,1149.5727830764372,17696.09716796875,1,5,0,best
6,0.9999995298006318,162.11733875274658,76.16976869756525,12.033532005006617,140.1453963244403,140.1453963244403,nan,nan,nan,nan,0.001,191.57059012702666,1341.1433732034639,17696.09716796875,0,5,1,
7,0.9999995097822073,166.21466002172355,75.00753869815749,9.080793906231316,167.8128077080447,167.8128077080447,nan,nan,nan,nan,0.001,74.18843255401589,1415.3318057574797,17589.53466796875,0,5,2,
8,0.9999995065006343,155.46231173602018,76.69690128673207,13.014812984249808,153.00348946987054,153.00348946987054,nan,nan,nan,nan,0.001,191.3304024359677,1606.6622081934474,17696.09716796875,0,5,3,
9,0.9999994860454039,157.15811909762297,76.33174455816095,13.082930503108285,136.31854733089438,136.31854733089438,nan,nan,nan,nan,0.001,191.28585320198908,1797.9480613954365,17696.09716796875,0,5,4,
10,0.999999499456449,164.64452653364702,76.12393599423496,13.104772160269997,136.06079999157507,136.06079999157507,nan,nan,nan,nan,0.001,191.64871955499984,1989.5967809504364,17696.09716796875,0,5,5,
11,0.9999995269558647,170.99413256211713,76.34188981489702,13.678348631208593,131.47289681176514,131.47289681176514,nan,nan,nan,nan,0.001,191.36563647096045,2180.962417421397,17696.09716796875,1,11,0,best
12,0.9999994664029641,160.14258038780906,76.05993602059104,12.233766975186088,149.64503304462488,149.64503304462488,nan,nan,nan,nan,0.001,191.5159386571031,2372.4783560785,17696.09716796875,0,11,1,
13,0.9999994426965714,154.01347697864878,76.18168489282782,12.712030427022414,132.94326819938811,132.94326819938811,nan,nan,nan,nan,0.001,191.2285957748536,2563.7069518533535,17696.09716796875,0,11,2,
14,0.9999994882128456,175.51163935227828,76.66533650484952,13.273713664575057,130.7723061281731,130.7723061281731,nan,nan,nan,nan,0.001,191.30150947906077,2755.0084613324143,17696.09716796875,1,14,0,best
15,0.9999994374051386,135.21062640754545,79.34716625602879,15.068243853899897,154.91054753360586,154.91054753360586,nan,nan,nan,nan,0.001,74.13616549503058,2829.144626827445,17589.53466796875,0,14,1,
16,0.99999944743785,160.25001507672397,76.41958704861727,13.741838951544327,142.10154425900885,142.10154425900885,nan,nan,nan,nan,0.001,191.55766550917178,3020.7022923366167,17696.09716796875,0,14,2,
17,0.9999994468959895,156.55814563577826,76.67419225519353,13.01854095025496,136.69713928787797,136.69713928787797,nan,nan,nan,nan,0.001,191.41812241100706,3212.1204147476237,17696.09716796875,0,14,3,
18,0.9999994287436659,146.8098012230613,76.71364576166326,13.554194208708676,130.53052423482606,130.53052423482606,nan,nan,nan,nan,0.001,191.52690380206332,3403.647318549687,17696.09716796875,1,18,0,best
19,0.9999994650483132,156.14485454559326,76.47225712862881,13.000562151995572,131.0676929484745,131.0676929484745,nan,nan,nan,nan,0.001,191.7826482860837,3595.4299668357708,17696.09716796875,0,18,1,
20,0.9999994053082033,153.44887543591585,76.44974642666904,12.492329624566166,125.88397090075023,125.88397090075023,nan,nan,nan,nan,0.001,191.7023043599911,3787.132271195762,17696.09716796875,1,20,0,best
21,0.999999395554716,146.70111977837303,76.43073446100408,12.315914519266649,141.00514204889282,141.00514204889282,nan,nan,nan,nan,0.001,191.69880978087895,3978.831080976641,17696.09716796875,0,20,1,
22,0.9999993828209963,143.89442298195578,76.39730871373956,11.24661649573933,129.52788990705443,129.52788990705443,nan,nan,nan,nan,0.001,191.4277488978114,4170.258829874452,17696.09716796875,0,20,2,
23,0.9999993279272196,122.99706229385065,76.19785378903758,9.279739778869006,141.30076844522415,141.30076844522415,nan,nan,nan,nan,0.001,74.07886247895658,4244.337692353409,17589.53466796875,0,20,3,
24,0.9999994086948308,150.17989250529897,76.67178004871715,12.243436119773172,125.56992086535504,125.56992086535504,nan,nan,nan,nan,0.001,191.5361020890996,4435.873794442508,17696.09716796875,1,24,0,best
25,0.9999993871558797,136.5217386679216,76.62039066661488,12.487371945381165,122.9415422162439,122.9415422162439,nan,nan,nan,nan,0.001,191.40941118099727,4627.283205623506,17696.09716796875,1,25,0,best
