epoch,train_mse,val_mse,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,1332.7601717168634,261.3860778808594,261.3860778808594,nan,nan,nan,nan,0.001,71.96749388007447,71.96749388007447,19201.044921875,1,0,0,best
1,270.99680439342154,245.99830627441406,245.99830627441406,nan,nan,nan,nan,0.001,71.98895556479692,143.9564494448714,19201.044921875,1,1,0,best
2,266.7106180364435,242.38438415527344,242.38438415527344,nan,nan,nan,nan,0.001,72.00720767420717,215.96365711907856,19201.044921875,1,2,0,best
3,264.60110924460673,240.49746704101562,240.49746704101562,nan,nan,nan,nan,0.001,71.97265459783375,287.9363117169123,19201.044921875,1,3,0,best
4,262.6716552734375,240.037109375,240.037109375,nan,nan,nan,nan,0.001,72.00509282294661,359.9414045398589,19201.044921875,1,4,0,best
5,255.98376846313477,241.74853515625,241.74853515625,nan,nan,nan,nan,0.001,72.03567174985074,431.97707628970966,19201.044921875,0,4,1,
6,251.66571565107867,242.8155517578125,242.8155517578125,nan,nan,nan,nan,0.001,72.01377874496393,503.9908550346736,19201.044921875,0,4,2,
7,270.0918535505022,255.652099609375,255.652099609375,nan,nan,nan,nan,0.001,6.6713420120067894,510.6621970466804,19094.482421875,0,4,3,
8,256.8013153769753,237.98849487304688,237.98849487304688,nan,nan,nan,nan,0.001,71.96054744790308,582.6227444945835,19201.044921875,1,8,0,best
9,253.43806617043236,239.84361267089844,239.84361267089844,nan,nan,nan,nan,0.001,71.96157340006903,654.5843178946525,19201.044921875,0,8,1,
10,250.2033940401944,241.9072265625,241.9072265625,nan,nan,nan,nan,0.001,71.956175127998,726.5404930226505,19201.044921875,0,8,2,
11,251.58652107932352,238.46145629882812,238.46145629882812,nan,nan,nan,nan,0.001,71.92173832189292,798.4622313445434,19201.044921875,0,8,3,
12,247.14368189031427,238.36526489257812,238.36526489257812,nan,nan,nan,nan,0.001,72.05196910700761,870.514200451551,19201.044921875,0,8,4,
13,252.06825270219284,232.5222625732422,232.5222625732422,nan,nan,nan,nan,0.001,72.04038912802935,942.5545895795804,19201.044921875,1,13,0,best
14,250.21215834184127,243.09120178222656,243.09120178222656,nan,nan,nan,nan,0.001,71.97142804483883,1014.5260176244192,19201.044921875,0,13,1,
15,241.2161647251674,235.66441345214844,235.66441345214844,nan,nan,nan,nan,0.001,6.680666369153187,1021.2066839935724,19094.482421875,0,13,2,
16,249.49043045043945,234.2353973388672,234.2353973388672,nan,nan,nan,nan,0.001,71.95554250478745,1093.1622264983598,19201.044921875,0,13,3,
17,247.8294331637296,237.2396697998047,237.2396697998047,nan,nan,nan,nan,0.001,71.95482873590663,1165.1170552342664,19201.044921875,0,13,4,
18,240.92493313876065,231.19369506835938,231.19369506835938,nan,nan,nan,nan,0.001,71.9965492549818,1237.1136044892482,19201.044921875,1,18,0,best
19,243.9132777820934,232.41941833496094,232.41941833496094,nan,nan,nan,nan,0.001,72.02534409379587,1309.138948583044,19201.044921875,0,18,1,
20,242.5851605502042,229.16961669921875,229.16961669921875,nan,nan,nan,nan,0.001,71.94897348596714,1381.0879220690113,19201.044921875,1,20,0,best
21,241.76256575150924,228.3813018798828,228.3813018798828,nan,nan,nan,nan,0.001,72.01996041322127,1453.1078824822325,19201.044921875,1,21,0,best
22,236.58619252985173,243.7374267578125,243.7374267578125,nan,nan,nan,nan,0.001,71.93228356097825,1525.0401660432108,19201.044921875,0,21,1,
23,214.29361179896765,231.02210998535156,231.02210998535156,nan,nan,nan,nan,0.001,6.6334775518625975,1531.6736435950734,19094.482421875,0,21,2,
24,239.2196781505238,252.68118286132812,252.68118286132812,nan,nan,nan,nan,0.001,72.04129634005949,1603.7149399351329,19201.044921875,0,21,3,
25,233.13068688132546,229.97018432617188,229.97018432617188,nan,nan,nan,nan,0.001,71.92955874884501,1675.6444986839779,19201.044921875,0,21,4,
26,228.9449931751598,245.2353515625,245.2353515625,nan,nan,nan,nan,0.001,72.05098824505694,1747.6954869290348,19201.044921875,0,21,5,
27,229.94087683937767,226.7528076171875,226.7528076171875,nan,nan,nan,nan,0.001,71.91330213006586,1819.6087890591007,19201.044921875,1,27,0,best
28,234.32457948164506,227.99972534179688,227.99972534179688,nan,nan,nan,nan,0.001,72.00810964498669,1891.6168987040874,19201.044921875,0,27,1,
29,230.33182067871093,230.8815460205078,230.8815460205078,nan,nan,nan,nan,0.001,72.02844224101864,1963.645340945106,19201.044921875,0,27,2,
30,227.84017146717417,223.0197296142578,223.0197296142578,nan,nan,nan,nan,0.001,72.0007879009936,2035.6461288460996,19201.044921875,1,30,0,best
31,222.60953630719865,238.8482208251953,238.8482208251953,nan,nan,nan,nan,0.001,6.672721724025905,2042.3188505701255,19094.482421875,0,30,1,
32,228.31421016346326,237.20643615722656,237.20643615722656,nan,nan,nan,nan,0.001,71.87456890009344,2114.193419470219,19201.044921875,0,30,2,
33,229.01972905939274,229.0000762939453,229.0000762939453,nan,nan,nan,nan,0.001,71.91095975483768,2186.1043792250566,19201.044921875,0,30,3,
34,223.66143972223455,222.17283630371094,222.17283630371094,nan,nan,nan,nan,0.001,71.96253264206462,2258.0669118671212,19201.044921875,1,34,0,best
35,217.94450870860706,231.72589111328125,231.72589111328125,nan,nan,nan,nan,0.001,71.99178775795735,2330.0586996250786,19201.044921875,0,34,1,
36,221.36514857899058,230.5007781982422,230.5007781982422,nan,nan,nan,nan,0.001,71.989889892051,2402.0485895171296,19201.044921875,0,34,2,
37,221.47434803355824,223.5131072998047,223.5131072998047,nan,nan,nan,nan,0.001,71.98605405609123,2474.034643573221,19201.044921875,0,34,3,
38,215.99895726984198,221.92910766601562,221.92910766601562,nan,nan,nan,nan,0.001,71.9705296671018,2546.0051732403226,19201.044921875,1,38,0,best
39,215.7548326764788,224.10498046875,224.10498046875,nan,nan,nan,nan,0.001,6.67624261486344,2552.681415855186,19094.482421875,0,38,1,
40,218.86072186556729,233.9016571044922,233.9016571044922,nan,nan,nan,nan,0.001,71.97742513986304,2624.658840995049,19201.044921875,0,38,2,
41,216.2658235723322,227.52000427246094,227.52000427246094,nan,nan,nan,nan,0.001,72.04101400682703,2696.699855001876,19201.044921875,0,38,3,
42,211.07402822321112,226.07391357421875,226.07391357421875,nan,nan,nan,nan,0.001,71.96746380883269,2768.667318810709,19201.044921875,0,38,4,
43,212.73109533136542,227.59507751464844,227.59507751464844,nan,nan,nan,nan,0.001,71.90704698394984,2840.5743657946587,19201.044921875,0,38,5,
44,215.44857545332476,239.1649169921875,239.1649169921875,nan,nan,nan,nan,0.001,71.94737238204107,2912.5217381766997,19201.044921875,0,38,6,
