epoch,train_loss,train_mae_monitor,val_mae_batchmean,val_mae_window,val_cfm_loss,val_cfm_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,876.1915593233975,9.807912939245051,nan,nan,nan,181.83348726017184,181.83348726017184,nan,nan,nan,0.001,85.11878028302453,85.11878028302453,19202.294921875,1,0,0,best
1,176.8732383034446,5.2623502146114,nan,nan,nan,149.12461866069043,149.12461866069043,nan,nan,nan,0.001,85.28901233407669,170.40779261710122,19202.294921875,1,1,0,best
2,154.84457654086026,4.972375117648731,nan,nan,nan,126.46140680992366,126.46140680992366,nan,nan,nan,0.001,85.46808499703184,255.87587761413306,19202.294921875,1,2,0,best
3,109.47401643232865,4.313356935977936,nan,nan,nan,51.9166274502746,51.9166274502746,nan,nan,nan,0.001,85.51491868798621,341.39079630211927,19202.294921875,1,3,0,best
4,57.40080396045338,3.179841023683548,nan,nan,nan,54.24486329168336,54.24486329168336,nan,nan,nan,0.001,85.44336497993208,426.83416128205135,19202.294921875,0,3,1,
5,41.562090362202035,2.6970348634503103,nan,nan,nan,23.737297090709717,23.737297090709717,nan,nan,nan,0.001,85.38179246312939,512.2159537451807,19202.294921875,1,5,0,best
6,32.3067604411732,2.3321365968747574,nan,nan,nan,18.435543903666005,18.435543903666005,nan,nan,nan,0.001,85.55526587180793,597.7712196169887,19202.294921875,1,6,0,best
7,22.298290525163925,1.92514545576913,nan,nan,nan,22.203438626802885,22.203438626802885,nan,nan,nan,0.001,20.458700496936217,618.2299201139249,19095.732421875,0,6,1,
8,27.38865108056502,2.1064639695666054,nan,nan,nan,15.236726181595413,15.236726181595413,nan,nan,nan,0.001,85.5824729220476,703.8123930359725,19202.294921875,1,8,0,best
9,22.927764309536325,1.909877956455404,nan,nan,nan,21.965746670367032,21.965746670367032,nan,nan,nan,0.001,85.42489267187193,789.2372857078444,19202.294921875,0,8,1,
10,25.09880866354162,1.9990740288387645,nan,nan,nan,32.06581028777989,32.06581028777989,nan,nan,nan,0.001,85.53767851204611,874.7749642198905,19202.294921875,0,8,2,
11,20.406552581353623,1.8050527366724882,nan,nan,nan,24.73909206118679,24.73909206118679,nan,nan,nan,0.001,85.38234036089852,960.1573045807891,19202.294921875,0,8,3,
12,19.966612711819735,1.7530111535028978,nan,nan,nan,14.20184470065299,14.20184470065299,nan,nan,nan,0.001,85.45326939201914,1045.6105739728082,19202.294921875,1,12,0,best
13,20.997872640869833,1.78763845725493,nan,nan,nan,31.803385534041965,31.803385534041965,nan,nan,nan,0.001,85.43127332185395,1131.0418472946621,19202.294921875,0,12,1,
14,20.1349844195626,1.748459151929075,nan,nan,nan,12.612856498131386,12.612856498131386,nan,nan,nan,0.001,85.48165050009266,1216.5234977947548,19202.294921875,1,14,0,best
15,9.706827572413854,1.2055529526301794,nan,nan,nan,13.094081188538814,13.094081188538814,nan,nan,nan,0.001,20.401982076000422,1236.9254798707552,19095.732421875,0,14,1,
16,19.359388037161395,1.7269151912494138,nan,nan,nan,25.530606561644465,25.530606561644465,nan,nan,nan,0.001,85.46512361289933,1322.3906034836546,19202.294921875,0,14,2,
17,17.19174694364721,1.628804807771336,nan,nan,nan,14.137089563570811,14.137089563570811,nan,nan,nan,0.001,85.4011376411654,1407.79174112482,19202.294921875,0,14,3,
18,16.939184275540438,1.6129554854197936,nan,nan,nan,20.590452488738926,20.590452488738926,nan,nan,nan,0.001,85.38376631797291,1493.1755074427929,19202.294921875,0,14,4,
19,17.3459361650727,1.6426499859853225,nan,nan,nan,11.922724312458962,11.922724312458962,nan,nan,nan,0.001,85.49169490695931,1578.6672023497522,19202.294921875,1,19,0,best
