epoch,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,w_mean,w_median,w_p01,w_p10,w_p25,w_p75,w_p90,w_p99,w_min,w_max,w_std,w_saturation_frac,w_near_lower_frac,delta2_mean,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.9999631654132496,0.4265841491181742,1.0132971086200666,0.9700430426640775,0.003683030569730115,0.0034372013674742034,0.000999485627736166,0.001675631080500104,0.00241935741406368,0.004717435425581326,0.00588546030419159,0.007592082035791298,0.0008956600268654505,0.007918630631254267,0.0017354565334575123,0.0,0.0,436.8221676913175,0.2583692434273045,0.2583692434273045,nan,nan,nan,nan,0.001,190.1651903060265,190.1651903060265,17696.10400390625,1,0,0,best
1,0.9999411511150273,0.24922936494377526,1.066196755116636,0.8125396553765644,0.005885211487343027,0.005366233341522853,0.0012992056281125935,0.0024020949865437365,0.0036897238973655146,0.007588931256693534,0.009702336044177752,0.01337376576742496,0.0011412704371402717,0.014086614659225399,0.0031097593733151866,0.0,7.102272727272727e-05,255.21087043068627,0.22026477899519128,0.22026477899519128,nan,nan,nan,nan,0.001,189.98306612297893,380.1482564290054,17696.10400390625,1,1,0,best
2,0.9999300139871511,0.22146549035202373,1.074260011450811,0.7717531034892255,0.006998593527400358,0.006295940651431341,0.0014049526127729967,0.0027297737579581073,0.004319077147837643,0.00903763859109445,0.011683808946558698,0.016759694505228916,0.0012039106568078172,0.017818808352405374,0.003898036193409511,0.0,0.0,226.78066083734686,0.20259888950321409,0.20259888950321409,nan,nan,nan,nan,0.001,189.78453094302677,569.9327873720322,17696.10400390625,1,2,0,best
3,0.9999221883036874,0.2082230506464839,1.0815909376198596,0.7424578309059143,0.007781248149165715,0.006974863513923166,0.0014216853891742755,0.002967380360827189,0.004712644554357129,0.010054321126716042,0.013208368672481315,0.018867102326740597,0.001205520735113003,0.02000911426730454,0.004424129994797774,0.0,0.00014204545454545454,213.22040353254837,0.20611552110955417,0.20611552110955417,nan,nan,nan,nan,0.001,189.92803474585526,759.8608221178874,17696.10400390625,0,2,1,
4,0.9999169532548298,0.2046329541978511,1.0845222225243396,0.7180491949346932,0.008304754274219952,0.007489694047465243,0.0014388357933719155,0.0031490969933326016,0.005041550606785511,0.010737612960987132,0.014109312201088126,0.02006094441114163,0.00120464736883977,0.021314954541792924,0.004721489343898032,0.0,0.00014204545454545454,209.5441449772228,0.18380478595057104,0.18380478595057104,nan,nan,nan,nan,0.001,189.9631006848067,949.8239228026941,17696.10400390625,1,4,0,best
5,0.9999125458977439,0.1929074483669617,1.0826675690033218,0.7027466710995544,0.008745451014361937,0.007814593734854663,0.0014993427456912204,0.003194946967943741,0.005234801324761727,0.011366968983995982,0.014869231114756654,0.0214888403467326,0.0012582529300165003,0.02284331706945192,0.005069872975053096,0.0,0.0,197.53722721446644,0.1818138436512475,0.1818138436512475,nan,nan,nan,nan,0.001,189.83225403702818,1139.6561768397223,17696.10400390625,1,5,0,best
6,0.9999081064354289,0.18580595349723641,1.08534119901332,0.6953033857047558,0.009189324702178552,0.008141333411913365,0.0015808404408083085,0.003436586086701771,0.0054675367348615755,0.011806140668605539,0.015686109283177013,0.023163697618821807,0.0013250807911886528,0.024685869241048666,0.005429476701167666,0.0,7.102272727272727e-05,190.26529613841663,0.17203118620052976,0.17203118620052976,nan,nan,nan,nan,0.001,189.82417390309274,1329.480350742815,17696.10400390625,1,6,0,best
7,0.999900261358339,0.18561910837888718,1.0961849713812069,0.6168967938544798,0.009973625652492046,0.008824189464390581,0.001600939279769034,0.0037499704488496086,0.005888627927598296,0.012656476966352486,0.01682244460763676,0.025879212978238964,0.0013290164302927634,0.02785740496248615,0.005928992806952827,0.0,0.0,190.07396697998047,0.17453785016177556,0.17453785016177556,nan,nan,nan,nan,0.001,73.07314107497223,1402.5534918177873,17589.54150390625,0,6,1,
8,0.9999035720120777,0.1817091345109723,1.089313293858008,0.6857814746824178,0.009642600671345876,0.008623484898866577,0.0015973573436812412,0.0035660803040214392,0.005781105639603497,0.01249317623547871,0.016457051026042214,0.02383376750883392,0.00133216191583911,0.02537384579931809,0.005627496645320207,0.0,7.102272727272727e-05,186.07015327106822,0.17567041716365903,0.17567041716365903,nan,nan,nan,nan,0.001,189.66253265016712,1592.2160244679544,17696.10400390625,0,6,2,
9,0.9999001488089562,0.17192233460531994,1.0887121562253346,0.6624198052016171,0.009984955382110043,0.008867118802895261,0.001728038593567114,0.003769227728348183,0.005939695200438357,0.012884318409487606,0.017021001636219973,0.02480756739704785,0.0014428054947943152,0.02636175603521141,0.005837168196872385,0.0,0.00014204545454545454,176.04847008098255,0.17848061820189667,0.17848061820189667,nan,nan,nan,nan,0.001,189.69149023899809,1781.9075147069525,17696.10400390625,0,6,3,
10,0.9998978712342003,0.17402335070073605,1.0887392277067358,0.6482337965883992,0.01021290679716251,0.009056640178261494,0.00166444376333278,0.003801676610071974,0.006140966685382988,0.013195858620615168,0.0175458031156185,0.025397175012833693,0.001369715678265493,0.026967309428040275,0.0059965187128082935,0.0,7.102272727272727e-05,178.19991066672586,0.15801597292245792,0.15801597292245792,nan,nan,nan,nan,0.001,189.53017359389924,1971.4376883008517,17696.10400390625,1,10,0,best
11,0.9998940503055399,0.16888123830272392,1.0915895073251292,0.6402558063918894,0.01059499217451296,0.009432841290254146,0.0017083885873779019,0.003925930449358103,0.006297696645329283,0.01371757514055141,0.018160715402865953,0.026391509725627572,0.0014335144215775388,0.028030276455154473,0.0062358470771207725,0.0,7.102272727272727e-05,172.93438873291015,0.16626834308256283,0.16626834308256283,nan,nan,nan,nan,0.001,189.64442024403252,2161.0821085448842,17696.10400390625,0,10,1,
12,0.9998916437680071,0.16600146158175036,1.0904968267137354,0.6338183692910454,0.010835756391117519,0.009555645370644263,0.0017841263478740902,0.004002771342956376,0.006406038988974284,0.01403159101662988,0.01864683859007941,0.027268804889172316,0.001472039240136589,0.029126122627745974,0.006423611062134362,0.0,0.00014204545454545454,169.98549702384256,0.1571476723181556,0.1571476723181556,nan,nan,nan,nan,0.001,190.21972244093195,2351.301830985816,17696.10400390625,1,12,0,best
13,0.99988940466534,0.16648952182043683,1.0947347619316794,0.6170159125869924,0.011059605171480639,0.009874203027522361,0.0017124912837144539,0.004067888005440843,0.006607870641164482,0.0143252964427864,0.018823729377155277,0.027608905722048473,0.0013818324691535302,0.029389171283268792,0.006511931940489872,0.0,7.102272727272727e-05,170.48527027476916,0.16438553674714348,0.16438553674714348,nan,nan,nan,nan,0.001,190.0397529990878,2541.341583984904,17696.10400390625,0,12,1,
14,0.9998880103230476,0.16586041323501954,1.094383923032067,0.6177833421663804,0.011198921722825616,0.009924053398638286,0.001711490846686171,0.004026844258293171,0.006613747165432539,0.014521310465749015,0.019263610226864163,0.0284931408834051,0.0014090577062730021,0.03038026160899211,0.006733290943190117,0.0,7.102272727272727e-05,169.8410620949485,0.16344439622725856,0.16344439622725856,nan,nan,nan,nan,0.001,189.66994136478752,2731.0115253496915,17696.10400390625,0,12,2,
