epoch,train_mse,val_mse,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.7425460144877434,0.5214676260948181,0.5214676260948181,nan,nan,nan,nan,0.001,71.92070045787841,71.92070045787841,19201.044921875,1,0,0,best
1,0.5408446213061159,0.49932655692100525,0.49932655692100525,nan,nan,nan,nan,0.001,71.9545452950988,143.8752457529772,19201.044921875,1,1,0,best
2,0.532739733159542,0.4911220669746399,0.4911220669746399,nan,nan,nan,nan,0.001,71.96975395502523,215.84499970800243,19201.044921875,1,2,0,best
3,0.5290087534622713,0.48676207661628723,0.48676207661628723,nan,nan,nan,nan,0.001,71.99308308097534,287.8380827889778,19201.044921875,1,3,0,best
4,0.5200082403692332,0.4825803339481354,0.4825803339481354,nan,nan,nan,nan,0.001,71.94786662398838,359.78594941296615,19201.044921875,1,4,0,best
5,0.5102007263086059,0.4794360101222992,0.4794360101222992,nan,nan,nan,nan,0.001,71.97324296692386,431.75919237989,19201.044921875,1,5,0,best
6,0.4988881666551937,0.48313695192337036,0.48313695192337036,nan,nan,nan,nan,0.001,71.99284216482192,503.75203454471193,19201.044921875,0,5,1,
7,0.5294135979243687,0.48163217306137085,0.48163217306137085,nan,nan,nan,nan,0.001,6.674283174797893,510.4263177195098,19094.482421875,0,5,2,
8,0.5096446531740102,0.48729968070983887,0.48729968070983887,nan,nan,nan,nan,0.001,72.03262533107772,582.4589430505875,19201.044921875,0,5,3,
9,0.4999752029776573,0.4793177545070648,0.4793177545070648,nan,nan,nan,nan,0.001,71.98728611995466,654.4462291705422,19201.044921875,1,9,0,best
10,0.4924438014626503,0.4837381839752197,0.4837381839752197,nan,nan,nan,nan,0.001,72.01738768885843,726.4636168594006,19201.044921875,0,9,1,
11,0.4937399203127081,0.4712974727153778,0.4712974727153778,nan,nan,nan,nan,0.001,72.0319513999857,798.4955682593863,19201.044921875,1,11,0,best
12,0.4822801867669279,0.4701113998889923,0.4701113998889923,nan,nan,nan,nan,0.001,71.95428716600873,870.4498554253951,19201.044921875,1,12,0,best
13,0.4866333242167126,0.4709780216217041,0.4709780216217041,nan,nan,nan,nan,0.001,72.07883583102375,942.5286912564188,19201.044921875,0,12,1,
14,0.48345473286780444,0.46500635147094727,0.46500635147094727,nan,nan,nan,nan,0.001,71.95125538506545,1014.4799466414843,19201.044921875,1,14,0,best
15,0.4499877946717398,0.4604469835758209,0.4604469835758209,nan,nan,nan,nan,0.001,6.664764606161043,1021.1447112476453,19094.482421875,1,15,0,best
