epoch,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,w_mean,w_median,w_p01,w_p10,w_p25,w_p75,w_p90,w_p99,w_min,w_max,w_std,w_saturation_frac,w_near_lower_frac,delta2_mean,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.9999646788293665,1.033446084064516,0.7241554128217765,0.628068903272916,0.003531918504979165,0.0032037933468183673,0.00029466767181971095,0.0009419920552979668,0.001833545735148205,0.004829431946564,0.006324064571659123,0.008874896241071507,0.00021358878215406465,0.009356549072386273,0.0022666818101821596,0.0,0.019247159090909093,1058.2487931338223,0.4606639711297015,0.4606639711297015,nan,nan,nan,nan,0.001,196.90781703800894,196.90781703800894,19216.23681640625,1,0,0,best
1,0.9999492587013679,0.6447240787473592,0.8462904973463579,0.7308152772486209,0.005074627002679997,0.00447313765921122,0.0004131450801568545,0.0011946544494011587,0.0024674328857641242,0.006938108193307099,0.009278018610678953,0.014126105356792156,0.00031412078560193055,0.015187803045211529,0.003555982808095657,0.0,0.01143465909090909,660.1974577123468,0.3953507330686917,0.3953507330686917,nan,nan,nan,nan,0.001,197.10580073390156,394.0136177719105,19216.23681640625,1,1,0,best
2,0.9999428151683374,0.49481332962485874,0.8714322210712866,0.6926625962284478,0.005718773436753756,0.004942234254188159,0.0004938411424022475,0.001363365133279744,0.0027601140487769787,0.007692287388173016,0.0105257716760124,0.01655762909953906,0.00038889897741269537,0.01786369016944346,0.0041136573026464745,0.0,0.005255681818181818,506.6888507496227,0.3765235990344927,0.3765235990344927,nan,nan,nan,nan,0.001,197.2817105690483,591.2953283409588,19216.23681640625,1,2,0,best
3,0.9999398675831881,0.46112668175588956,0.8858445592901923,0.6902716092088006,0.006013072358275002,0.005071473714302887,0.0005395352071652517,0.0013699151764078785,0.0027411060439507394,0.008175676760517739,0.011312479979824274,0.01788128685756502,0.000437261174209363,0.01928365607534281,0.00448178079942326,0.0,0.002840909090909091,472.1937202106823,0.42927839194610223,0.42927839194610223,nan,nan,nan,nan,0.001,197.26442563300952,788.5597539739683,19216.23681640625,0,2,1,
4,0.9999364328655329,0.4630605115809224,0.890260475738482,0.6903508165343242,0.006356633151881397,0.005241942897290838,0.0005772678052711523,0.0014488037973271937,0.0028985336985153315,0.008562652233310722,0.01222604670964012,0.019060645597478883,0.00047467677037709355,0.020496963811191645,0.0047942507297689604,0.0,0.0029119318181818183,474.17396143132993,0.41236361026114327,0.41236361026114327,nan,nan,nan,nan,0.001,197.27622348279692,985.8359774567652,19216.23681640625,0,2,2,
5,0.9999350106174295,0.41526979468762876,0.8908734885129062,0.6821582681076093,0.006498831254430115,0.0053640011354053226,0.0005959442137530211,0.001451467269031458,0.002888921256420541,0.008824536680582572,0.01247092932145196,0.01973020548466593,0.0004945350511434299,0.021202879532409662,0.004961783183865588,0.0,0.0017045454545454545,425.2362689971924,0.41861922811800456,0.41861922811800456,nan,nan,nan,nan,0.001,196.97871803096496,1182.8146954877302,19216.23681640625,0,2,3,
6,0.9999329117211428,0.43604080782017923,0.8923145848241719,0.6575937954539602,0.006709103140218014,0.0054489784471859985,0.0005982189190862383,0.0015009511979852423,0.002972291721380316,0.008986642390531912,0.01292173309696161,0.021135230991058053,0.0004827637818421367,0.022928364782340147,0.005242743191245774,0.0,0.00234375,446.5057919935747,0.44779855162200555,0.44779855162200555,nan,nan,nan,nan,0.001,197.02993831899948,1379.8446338067297,19216.23681640625,0,2,4,
7,0.9999312754381787,0.426717709614472,0.9043992070989175,0.6721596488221125,0.006872049414298751,0.005644393024373461,0.0005824010205246437,0.0014986010587149808,0.002998883384332823,0.009278342337347567,0.013288177888501774,0.021101228312843227,0.00046660362507344125,0.022627402617680755,0.0053172702996314245,0.0,0.00234375,436.95893436778675,0.3620665758356078,0.3620665758356078,nan,nan,nan,nan,0.001,197.12015305901878,1576.9647868657485,19216.23681640625,1,7,0,best
8,0.9999289894645864,0.41171696904030713,0.9011781199411912,0.6626780327748168,0.007100900439333848,0.0057051078352907845,0.0005927282856232936,0.001501614723582117,0.003036376149446534,0.009583233195272359,0.013895522972399538,0.022326208799230782,0.0004827661400213401,0.024049974842505022,0.005633200567998839,0.0,0.00234375,421.59817699085585,0.4117141109683318,0.4117141109683318,nan,nan,nan,nan,0.001,197.345977924997,1774.3107647907455,19216.23681640625,0,7,1,
9,0.9999283282594247,0.39650619216263294,0.8960674188353799,0.6518645481629806,0.007166861583986743,0.0058148656945294615,0.0006414945428580474,0.0015264855681876228,0.0030582194547274745,0.009760699820154432,0.013900527184490453,0.022333638977513396,0.0005280692857695613,0.024069999319247224,0.005618209417761219,0.0,0.0019886363636363634,406.02234004627576,0.3941524003139024,0.3941524003139024,nan,nan,nan,nan,0.001,197.10079562687315,1971.4115604176186,19216.23681640625,0,7,2,
