epoch,train_mse,val_mse,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.9335545531050725,0.5642629861831665,0.5642629861831665,nan,nan,nan,nan,0.001,72.14825604017824,72.14825604017824,20721.177734375,1,0,0,best
1,1.0295748655768957,0.550049901008606,0.550049901008606,nan,nan,nan,nan,0.001,72.23314688098617,144.3814029211644,20721.177734375,1,1,0,best
2,1.0122233419933102,0.5411692261695862,0.5411692261695862,nan,nan,nan,nan,0.001,72.26017878297716,216.64158170414157,20721.177734375,1,2,0,best
3,1.0051001394336874,0.5409943461418152,0.5409943461418152,nan,nan,nan,nan,0.001,72.32977039087564,288.9713520950172,20721.177734375,1,3,0,best
4,1.0240213577720252,0.5367969274520874,0.5367969274520874,nan,nan,nan,nan,0.001,72.27658809907734,361.24794019409455,20721.177734375,1,4,0,best
5,0.9844161519950086,0.5355207920074463,0.5355207920074463,nan,nan,nan,nan,0.001,72.2462014418561,433.49414163595065,20721.177734375,1,5,0,best
6,0.9728312402963638,0.5370293855667114,0.5370293855667114,nan,nan,nan,nan,0.001,72.27153438609093,505.7656760220416,20721.177734375,0,5,1,
7,1.055549979345365,0.5283709764480591,0.5283709764480591,nan,nan,nan,nan,0.001,72.35770450299606,578.1233805250376,20721.177734375,1,7,0,best
8,1.0136203828183088,0.5314427018165588,0.5314427018165588,nan,nan,nan,nan,0.001,72.29641675506718,650.4197972801048,20721.177734375,0,7,1,
9,0.9597908394580538,0.5309014916419983,0.5309014916419983,nan,nan,nan,nan,0.001,72.34890046599321,722.768697746098,20721.177734375,0,7,2,
10,1.0327413010326298,0.5247662663459778,0.5247662663459778,nan,nan,nan,nan,0.001,72.37131045595743,795.1400082020555,20721.177734375,1,10,0,best
11,0.9871498900381002,0.5227610468864441,0.5227610468864441,nan,nan,nan,nan,0.001,72.2956140008755,867.435622202931,20721.177734375,1,11,0,best
12,0.9872060540047559,0.521453320980072,0.521453320980072,nan,nan,nan,nan,0.001,72.36613569781184,939.8017579007428,20721.177734375,1,12,0,best
13,0.9791339073668827,0.5285105109214783,0.5285105109214783,nan,nan,nan,nan,0.001,72.30626752506942,1012.1080254258122,20721.177734375,0,12,1,
14,0.9494919848713008,0.5212990045547485,0.5212990045547485,nan,nan,nan,nan,0.001,72.36050193198025,1084.4685273577925,20721.177734375,1,14,0,best
15,1.0170037249272519,0.5211613774299622,0.5211613774299622,nan,nan,nan,nan,0.001,72.32566605205648,1156.794193409849,20721.177734375,1,15,0,best
16,0.9306003279306672,0.5243886709213257,0.5243886709213257,nan,nan,nan,nan,0.001,72.33115789387375,1229.1253513037227,20721.177734375,0,15,1,
17,0.9264895821159537,0.518166720867157,0.518166720867157,nan,nan,nan,nan,0.001,72.30058379890397,1301.4259351026267,20721.177734375,1,17,0,best
18,1.0151068541136654,0.5192713737487793,0.5192713737487793,nan,nan,nan,nan,0.001,72.28373722289689,1373.7096723255236,20721.177734375,0,17,1,
19,0.9758250374008309,0.5220633149147034,0.5220633149147034,nan,nan,nan,nan,0.001,72.2839353941381,1445.9936077196617,20721.177734375,0,17,2,
20,0.941233174885557,0.5200622081756592,0.5200622081756592,nan,nan,nan,nan,0.001,60.871550606098026,1506.8651583257597,20702.357421875,0,17,3,
21,1.0434858597815038,0.5283801555633545,0.5283801555633545,nan,nan,nan,nan,0.001,72.30906623508781,1579.1742245608475,20721.177734375,0,17,4,
22,0.9757429544221271,0.5267301797866821,0.5267301797866821,nan,nan,nan,nan,0.001,72.25447764713317,1651.4287022079807,20721.177734375,0,17,5,
23,1.0486156924204393,0.5175314545631409,0.5175314545631409,nan,nan,nan,nan,0.001,72.2431144779548,1723.6718166859355,20721.177734375,1,23,0,best
24,0.9688437098806555,0.5208584666252136,0.5208584666252136,nan,nan,nan,nan,0.001,72.32340800901875,1795.9952246949542,20721.177734375,0,23,1,
25,1.0397449278018691,0.5226994752883911,0.5226994752883911,nan,nan,nan,nan,0.001,72.33343355194665,1868.3286582469009,20721.177734375,0,23,2,
26,1.0057858828793873,0.524531364440918,0.524531364440918,nan,nan,nan,nan,0.001,72.30844775494188,1940.6371060018428,20721.177734375,0,23,3,
27,1.0252324199134653,0.521219789981842,0.521219789981842,nan,nan,nan,nan,0.001,72.36695798113942,2013.0040639829822,20721.177734375,0,23,4,
28,0.945170480419289,0.5216532349586487,0.5216532349586487,nan,nan,nan,nan,0.001,72.29151596617885,2085.295579949161,20721.177734375,0,23,5,
29,0.9675102359191938,0.5135881304740906,0.5135881304740906,nan,nan,nan,nan,0.001,72.34779521496966,2157.6433751641307,20721.177734375,1,29,0,best
30,0.9250232254239645,0.5164581537246704,0.5164581537246704,nan,nan,nan,nan,0.001,72.2324236240238,2229.8757987881545,20721.177734375,0,29,1,
