epoch,train_loss,train_mae_monitor,val_mae_batchmean,val_mae_window,val_cfm_loss,val_cfm_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.7344703720374541,0.2524322431195866,nan,nan,nan,0.5160956259447801,0.5160956259447801,nan,nan,nan,0.001,86.69160610390827,86.69160610390827,20722.427734375,1,0,0,best
1,0.48550662222233687,0.20058463114229116,nan,nan,nan,0.43360095061903114,0.43360095061903114,nan,nan,nan,0.001,87.02799915918149,173.71960526308976,20722.427734375,1,1,0,best
2,0.44118689501827413,0.18838665051893755,nan,nan,nan,0.39428531729875815,0.39428531729875815,nan,nan,nan,0.001,87.02374816918746,260.7433534322772,20722.427734375,1,2,0,best
3,0.40108128264546394,0.1797268279574134,nan,nan,nan,0.3755450553119261,0.3755450553119261,nan,nan,nan,0.001,87.0763566349633,347.8197100672405,20722.427734375,1,3,0,best
4,0.3982745511287993,0.17756608843126082,nan,nan,nan,0.36618254600459393,0.36618254600459393,nan,nan,nan,0.001,87.12268186011352,434.94239192735404,20722.427734375,1,4,0,best
5,0.4000773710283366,0.17926227237013254,nan,nan,nan,0.3696909889677242,0.3696909889677242,nan,nan,nan,0.001,87.03006805689074,521.9724599842448,20722.427734375,0,4,1,
6,0.3697283965620128,0.17023277848281643,nan,nan,nan,0.3632079991198279,0.3632079991198279,nan,nan,nan,0.001,87.0215260500554,608.9939860343002,20722.427734375,1,6,0,best
7,0.37751038751818916,0.17155238535593856,nan,nan,nan,0.3480422978042139,0.3480422978042139,nan,nan,nan,0.001,87.0397310340777,696.0337170683779,20722.427734375,1,7,0,best
8,0.3640393967655572,0.16651194529099897,nan,nan,nan,0.35992375372895474,0.35992375372895474,nan,nan,nan,0.001,87.12831611302681,783.1620331814047,20722.427734375,0,7,1,
9,0.3532825641334057,0.1663737347180193,nan,nan,nan,0.353573777228397,0.353573777228397,nan,nan,nan,0.001,87.13585906894878,870.2978922503535,20722.427734375,0,7,2,
10,0.37550586902282457,0.17059587853198702,nan,nan,nan,0.3422427276639044,0.3422427276639044,nan,nan,nan,0.001,87.10349825699814,957.4013905073516,20722.427734375,1,10,0,best
11,0.36555027196353135,0.16839350651610982,nan,nan,nan,0.3338123487512848,0.3338123487512848,nan,nan,nan,0.001,87.16629352211021,1044.5676840294618,20722.427734375,1,11,0,best
12,0.3478178344666958,0.16399379741739142,nan,nan,nan,0.3382043849209341,0.3382043849209341,nan,nan,nan,0.001,87.08185244398192,1131.6495364734437,20722.427734375,0,11,1,
13,0.35667530433698136,0.16523227766156195,nan,nan,nan,0.33968009066865185,0.33968009066865185,nan,nan,nan,0.001,87.12154120882042,1218.7710776822641,20722.427734375,0,11,2,
14,0.3687706351957538,0.16839710470627656,nan,nan,nan,0.32862907071724595,0.32862907071724595,nan,nan,nan,0.001,87.0909460450057,1305.8620237272698,20722.427734375,1,14,0,best
15,0.3584168690849434,0.16639030301435428,nan,nan,nan,0.33615525447550665,0.33615525447550665,nan,nan,nan,0.001,87.08863894408569,1392.9506626713555,20722.427734375,0,14,1,
16,0.33557001406496223,0.1613310457630591,nan,nan,nan,0.3235129303314884,0.3235129303314884,nan,nan,nan,0.001,87.06715710298158,1480.017819774337,20722.427734375,1,16,0,best
17,0.3205557678233493,0.1584435328163884,nan,nan,nan,0.323635149553241,0.323635149553241,nan,nan,nan,0.001,87.12314345687628,1567.1409632312134,20722.427734375,0,16,1,
18,0.3495027836073529,0.16219760907644576,nan,nan,nan,0.33852761994894776,0.33852761994894776,nan,nan,nan,0.001,87.1303389929235,1654.271302224137,20722.427734375,0,16,2,
19,0.33796533542600543,0.16113267330960793,nan,nan,nan,0.32496156059451586,0.32496156059451586,nan,nan,nan,0.001,86.94868871802464,1741.2199909421615,20722.427734375,0,16,3,
20,0.33428904218751876,0.15982097920661414,nan,nan,nan,0.32238580194773103,0.32238580194773103,nan,nan,nan,0.001,75.56299725687131,1816.7829881990328,20703.607421875,1,20,0,best
21,0.3513036019422791,0.1619393166493286,nan,nan,nan,0.34149089250098447,0.34149089250098447,nan,nan,nan,0.001,86.96220146096312,1903.745189659996,20722.427734375,0,20,1,
22,0.32659488543868065,0.15973438451235944,nan,nan,nan,0.3266968139884021,0.3266968139884021,nan,nan,nan,0.001,87.08341626194306,1990.828605921939,20722.427734375,0,20,2,
23,0.36057219566269355,0.16596593132073229,nan,nan,nan,0.34989432020892874,0.34989432020892874,nan,nan,nan,0.001,87.16802252805792,2077.996628449997,20722.427734375,0,20,3,
24,0.3378098615868525,0.16164191504093733,nan,nan,nan,0.31625228230515434,0.31625228230515434,nan,nan,nan,0.001,87.04849093500525,2165.045119385002,20722.427734375,1,24,0,best
25,0.3411412904208357,0.16112726764245466,nan,nan,nan,0.3225438141444873,0.3225438141444873,nan,nan,nan,0.001,87.13627678784542,2252.1813961728476,20722.427734375,0,24,1,
26,0.3361645096404986,0.16111884306777607,nan,nan,nan,0.33180881026871456,0.33180881026871456,nan,nan,nan,0.001,87.0408116420731,2339.2222078149207,20722.427734375,0,24,2,
27,0.3301586602221836,0.16052480123259805,nan,nan,nan,0.3126026029000981,0.3126026029000981,nan,nan,nan,0.001,87.19314870494418,2426.415356519865,20722.427734375,1,27,0,best
28,0.33080658614635466,0.15873693434352223,nan,nan,nan,0.3163503138833191,0.3163503138833191,nan,nan,nan,0.001,87.02160324482247,2513.4369597646873,20722.427734375,0,27,1,
29,0.35122773213820024,0.16419820795682344,nan,nan,nan,0.31828762579468156,0.31828762579468156,nan,nan,nan,0.001,87.15153060900047,2600.588490373688,20722.427734375,0,27,2,
30,0.3196909178387035,0.15816626111892138,nan,nan,nan,0.3241023999381727,0.3241023999381727,nan,nan,nan,0.001,87.01454632286914,2687.603036696557,20722.427734375,0,27,3,
31,0.3343369188633832,0.15892094173891977,nan,nan,nan,0.3161729932933691,0.3161729932933691,nan,nan,nan,0.001,87.08859171601944,2774.6916284125764,20722.427734375,0,27,4,
32,0.3377178728580475,0.15947101285511797,nan,nan,nan,0.31380030434859163,0.31380030434859163,nan,nan,nan,0.001,86.98559382092208,2861.6772222334985,20722.427734375,0,27,5,
33,0.3500160802494396,0.16217070943252607,nan,nan,nan,0.3169551358827669,0.3169551358827669,nan,nan,nan,0.001,87.05611258395948,2948.733334817458,20722.427734375,0,27,6,
34,0.30680798217654226,0.15437205538830973,nan,nan,nan,0.31446777457762587,0.31446777457762587,nan,nan,nan,0.001,87.0751079309266,3035.8084427483846,20722.427734375,0,27,7,
35,0.33043554899367417,0.16048857833851468,nan,nan,nan,0.3295065443455937,0.3295065443455937,nan,nan,nan,0.001,86.96636074990965,3122.774803498294,20722.427734375,0,27,8,
36,0.3410996652462266,0.16238569312474943,nan,nan,nan,0.307965310782076,0.307965310782076,nan,nan,nan,0.001,87.03719969792292,3209.812003196217,20722.427734375,1,36,0,best
37,0.3459871871227568,0.16161815043200145,nan,nan,nan,0.3121982699026362,0.3121982699026362,nan,nan,nan,0.001,87.05479055806063,3296.8667937542778,20722.427734375,0,36,1,
38,0.32613554684953255,0.15809009488333356,nan,nan,nan,0.32185103228731543,0.32185103228731543,nan,nan,nan,0.001,87.03501307102852,3383.9018068253063,20722.427734375,0,36,2,
39,0.3365746827965433,0.16022957302629948,nan,nan,nan,0.31487876664222153,0.31487876664222153,nan,nan,nan,0.001,87.09684313018806,3470.9986499554943,20722.427734375,0,36,3,
40,0.32111158845099536,0.15689354880966924,nan,nan,nan,0.3164855965141261,0.3164855965141261,nan,nan,nan,0.001,87.04120620689355,3558.039856162388,20722.427734375,0,36,4,
41,0.32421775593783686,0.1567234243851542,nan,nan,nan,0.31745821547791697,0.31745821547791697,nan,nan,nan,0.001,75.58356635598466,3633.6234225183725,20703.607421875,0,36,5,
42,0.3214539017866958,0.15536393364044754,nan,nan,nan,0.3071418510245521,0.3071418510245521,nan,nan,nan,0.001,87.0069144249428,3720.6303369433153,20722.427734375,1,42,0,best
43,0.3131841875612736,0.15356757911768826,nan,nan,nan,0.31658182889026254,0.31658182889026254,nan,nan,nan,0.001,87.05512278503738,3807.6854597283527,20722.427734375,0,42,1,
44,0.3255328947170214,0.15702501349151135,nan,nan,nan,0.31723171207989853,0.31723171207989853,nan,nan,nan,0.001,87.07994566392154,3894.7654053922743,20722.427734375,0,42,2,
45,0.32644993940537625,0.15821329534731127,nan,nan,nan,0.3073200232129116,0.3073200232129116,nan,nan,nan,0.001,87.11852663708851,3981.8839320293628,20722.427734375,0,42,3,
46,0.31540304198861124,0.15693179819394243,nan,nan,nan,0.3041750901520174,0.3041750901520174,nan,nan,nan,0.001,87.1019588559866,4068.9858908853494,20722.427734375,1,46,0,best
47,0.33543242398988116,0.15829239917749707,nan,nan,nan,0.31522066645137226,0.31522066645137226,nan,nan,nan,0.001,87.10262323589996,4156.088514121249,20722.427734375,0,46,1,
48,0.34085689756003296,0.16121471788395536,nan,nan,nan,0.3053024997484416,0.3053024997484416,nan,nan,nan,0.001,87.04533490003087,4243.13384902128,20722.427734375,0,46,2,
49,0.32386996075510976,0.1559216402132403,nan,nan,nan,0.3053498042306938,0.3053498042306938,nan,nan,nan,0.001,86.99026564019732,4330.1241146614775,20722.427734375,0,46,3,
