round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
1,220,0.996667,"[0.0,0.1)",1839,0.048515,1.240943,0.00350222,0.00434606,366.6079,28.0989,28.4007,1.3491
1,220,0.996667,"[0.1,0.3)",3004,0.191445,1.054785,0.00395093,0.00416739,303.8404,29.431,24.4244,4.5691
1,220,0.996667,"[0.3,0.5)",1591,0.386691,0.800473,0.00410952,0.00328956,296.0112,30.4175,18.482,7.0731
1,220,0.996667,"[0.5,0.7)",528,0.578273,0.550971,0.00399227,0.00219962,320.3012,30.5507,15.607,8.9921
1,220,0.996667,"[0.7,1.0)",51,0.756304,0.319235,0.00397117,0.00126774,331.6986,30.6573,13.3685,10.1178
1,220,0.996667,boundary(r=t),7012,0.0,1.0,0.00421445,0.00421445,299.2586,0.0,0.0,0.0
2,440,0.993333,"[0.0,0.1)",1909,0.049555,1.238785,0.00500298,0.00619762,236.5287,30.9059,31.2539,1.4847
2,440,0.993333,"[0.1,0.3)",2958,0.191979,1.053905,0.00512347,0.00539965,221.4501,32.0435,24.5632,4.5637
2,440,0.993333,"[0.3,0.5)",1559,0.385548,0.802623,0.00558965,0.00448639,201.6822,32.1784,17.2237,6.6008
2,440,0.993333,"[0.5,0.7)",538,0.576038,0.555336,0.00587906,0.00326485,194.1731,32.0253,15.651,9.0196
2,440,0.993333,"[0.7,1.0)",49,0.747878,0.332368,0.00529848,0.00176105,226.1005,31.4227,15.9769,12.0019
2,440,0.993333,boundary(r=t),7012,0.0,1.0,0.00567132,0.00567132,203.7344,0.0,0.0,0.0
3,660,0.99,"[0.0,0.1)",1826,0.049748,1.237735,0.00560597,0.0069387,212.8019,31.825,33.7802,1.6346
3,660,0.99,"[0.1,0.3)",2974,0.191437,1.054426,0.00547019,0.00576791,209.9201,32.3447,26.6809,4.9424
3,660,0.99,"[0.3,0.5)",1644,0.385488,0.803362,0.00556212,0.0044684,208.5627,32.3249,19.3144,7.3508
3,660,0.99,"[0.5,0.7)",518,0.577773,0.554596,0.00602661,0.00334234,191.021,31.8754,15.8007,9.1241
3,660,0.99,"[0.7,1.0)",51,0.75201,0.329152,0.00530717,0.00174687,254.4295,32.136,17.0861,12.8056
3,660,0.99,boundary(r=t),7012,0.0,1.0,0.00618663,0.00618663,187.9581,0.0,0.0,0.0
4,880,0.986667,"[0.0,0.1)",1830,0.049886,1.236758,0.00599904,0.00741935,199.2521,32.016,35.0236,1.6979
4,880,0.986667,"[0.1,0.3)",2997,0.192789,1.052499,0.00557059,0.00586304,210.5419,32.5651,27.4165,5.1498
4,880,0.986667,"[0.3,0.5)",1556,0.385573,0.803916,0.00582569,0.00468336,205.832,32.5408,19.0224,7.2175
4,880,0.986667,"[0.5,0.7)",564,0.576005,0.558361,0.00616057,0.00343982,185.4065,32.119,16.231,9.3292
4,880,0.986667,"[0.7,1.0)",66,0.747546,0.337127,0.00526481,0.00177491,236.3963,31.5437,15.7819,11.8048
4,880,0.986667,boundary(r=t),7012,0.0,1.0,0.00652932,0.00652932,178.2357,0.0,0.0,0.0
5,1100,0.983333,"[0.0,0.1)",1883,0.048571,1.237653,0.00628502,0.00777867,190.3479,32.3854,34.258,1.6482
5,1100,0.983333,"[0.1,0.3)",2864,0.193371,1.051575,0.00571716,0.00601203,207.3373,32.7315,27.9998,5.257
5,1100,0.983333,"[0.3,0.5)",1664,0.385611,0.804525,0.00583628,0.00469543,209.0209,32.7693,19.6715,7.4875
5,1100,0.983333,"[0.5,0.7)",545,0.572813,0.563937,0.00619115,0.00349142,185.4451,32.3833,16.6369,9.5053
5,1100,0.983333,"[0.7,1.0)",57,0.75265,0.332716,0.00550518,0.00183166,226.1032,32.3222,17.2485,12.9523
5,1100,0.983333,boundary(r=t),7012,0.0,1.0,0.00670517,0.00670517,174.3118,0.0,0.0,0.0
6,1320,0.98,"[0.0,0.1)",1837,0.050084,1.234906,0.00637476,0.00787223,191.8197,32.1865,34.397,1.6949
6,1320,0.98,"[0.1,0.3)",2981,0.193185,1.05164,0.00580272,0.00610237,210.8075,32.7462,28.8763,5.4726
6,1320,0.98,"[0.3,0.5)",1595,0.386363,0.804233,0.0057148,0.00459603,219.3926,32.7091,20.5007,7.7887
6,1320,0.98,"[0.5,0.7)",550,0.573665,0.564313,0.00616663,0.0034799,189.4743,32.4543,15.9786,9.1715
6,1320,0.98,"[0.7,1.0)",50,0.751562,0.33657,0.00549953,0.00185098,222.8991,31.458,15.7146,11.8371
