round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
1,218,0.996667,"[0.0,0.1)",1819,0.04855,1.0,0.00330172,0.00330172,393.6996,27.0868,26.335,1.275
1,218,0.996667,"[0.1,0.3)",2977,0.19143,1.0,0.00392048,0.00392048,310.8362,28.6482,22.9493,4.3089
1,218,0.996667,"[0.3,0.5)",1577,0.38637,1.0,0.0042435,0.0042435,288.3746,30.0105,18.1154,6.9434
1,218,0.996667,"[0.5,0.7)",526,0.578283,1.0,0.00419523,0.00419523,304.5089,30.2979,15.0744,8.645
1,218,0.996667,"[0.7,1.0)",51,0.756304,1.0,0.00425949,0.00425949,359.1959,30.3894,13.4105,10.146
1,218,0.996667,boundary(r=t),6949,0.0,1.0,0.00413932,0.00413932,311.5637,0.0,0.0,0.0
2,436,0.993333,"[0.0,0.1)",1879,0.049485,1.0,0.00426711,0.00426711,287.6437,29.5186,25.488,1.2416
2,436,0.993333,"[0.1,0.3)",2972,0.192918,1.0,0.00491599,0.00491599,234.85,30.6922,20.3212,3.7985
2,436,0.993333,"[0.3,0.5)",1530,0.387173,1.0,0.00557762,0.00557762,201.0123,31.3034,15.4896,5.9488
2,436,0.993333,"[0.5,0.7)",512,0.57703,1.0,0.00580541,0.00580541,198.3172,31.3343,13.9986,8.064
2,436,0.993333,"[0.7,1.0)",57,0.741757,1.0,0.00534235,0.00534235,269.1114,31.3285,15.4802,11.4747
2,436,0.993333,boundary(r=t),6949,0.0,1.0,0.00525023,0.00525023,230.2286,0.0,0.0,0.0
3,654,0.99,"[0.0,0.1)",1861,0.047526,1.0,0.0049537,0.0049537,237.9143,30.7909,31.4295,1.4614
3,654,0.99,"[0.1,0.3)",2914,0.193141,1.0,0.00526449,0.00526449,216.2856,31.7984,24.557,4.5691
3,654,0.99,"[0.3,0.5)",1590,0.386253,1.0,0.00576866,0.00576866,195.4111,32.186,17.6096,6.7262
3,654,0.99,"[0.5,0.7)",523,0.572718,1.0,0.00612516,0.00612516,188.4676,31.9022,15.593,8.9255
3,654,0.99,"[0.7,1.0)",62,0.752831,1.0,0.00516879,0.00516879,275.9973,31.3697,17.3797,13.108
3,654,0.99,boundary(r=t),6949,0.0,1.0,0.00582726,0.00582726,199.1543,0.0,0.0,0.0
4,872,0.986667,"[0.0,0.1)",1890,0.049586,1.0,0.00569669,0.00569669,207.9421,31.5278,32.6464,1.586
4,872,0.986667,"[0.1,0.3)",2911,0.193785,1.0,0.00555277,0.00555277,208.8882,32.1916,26.2219,4.8896
4,872,0.986667,"[0.3,0.5)",1529,0.38709,1.0,0.00591941,0.00591941,197.2607,32.358,17.8828,6.8462
4,872,0.986667,"[0.5,0.7)",561,0.575089,1.0,0.00634808,0.00634808,179.7902,32.0926,15.2277,8.748
4,872,0.986667,"[0.7,1.0)",59,0.742663,1.0,0.00665786,0.00665786,216.9286,31.7645,14.8586,11.0748
4,872,0.986667,boundary(r=t),6949,0.0,1.0,0.00630242,0.00630242,186.2376,0.0,0.0,0.0
5,1090,0.983333,"[0.0,0.1)",1830,0.050068,1.0,0.00591387,0.00591387,202.9793,31.7433,33.8949,1.6521
5,1090,0.983333,"[0.1,0.3)",2931,0.19314,1.0,0.00566056,0.00566056,209.1241,32.3046,27.2613,5.1173
5,1090,0.983333,"[0.3,0.5)",1602,0.387176,1.0,0.00585805,0.00585805,202.9776,32.1574,18.8363,7.1587
5,1090,0.983333,"[0.5,0.7)",538,0.575428,1.0,0.00623359,0.00623359,193.6804,32.0497,15.538,8.9551
5,1090,0.983333,"[0.7,1.0)",49,0.748578,1.0,0.00579684,0.00579684,250.1928,32.1433,17.4279,13.0699
5,1090,0.983333,boundary(r=t),6949,0.0,1.0,0.0065536,0.0065536,178.6642,0.0,0.0,0.0
6,1308,0.98,"[0.0,0.1)",1797,0.05017,1.0,0.00610279,0.00610279,197.1893,31.9112,35.4277,1.7457
6,1308,0.98,"[0.1,0.3)",3003,0.192743,1.0,0.00571104,0.00571104,209.0777,32.287,28.5452,5.3309
6,1308,0.98,"[0.3,0.5)",1560,0.386899,1.0,0.00589663,0.00589663,204.0552,32.3716,19.5898,7.4787
6,1308,0.98,"[0.5,0.7)",528,0.571551,1.0,0.00619892,0.00619892,189.4441,32.1956,16.1974,9.2537
6,1308,0.98,"[0.7,1.0)",62,0.747089,1.0,0.00607049,0.00607049,213.9794,32.3428,15.9392,11.8966
6,1308,0.98,boundary(r=t),6949,0.0,1.0,0.00659403,0.00659403,177.9535,0.0,0.0,0.0
7,1526,0.976667,"[0.0,0.1)",1812,0.049924,1.0,0.00621197,0.00621197,195.6985,31.9223,34.7862,1.7137
7,1526,0.976667,"[0.1,0.3)",2902,0.193999,1.0,0.00575644,0.00575644,208.8605,32.4034,28.5817,5.4145
7,1526,0.976667,"[0.3,0.5)",1646,0.388124,1.0,0.00602575,0.00602575,200.0995,32.4101,19.2043,7.3262
7,1526,0.976667,"[0.5,0.7)",530,0.57268,1.0,0.00654645,0.00654645,178.5645,32.3871,15.3686,8.8146
7,1526,0.976667,"[0.7,1.0)",60,0.741697,1.0,0.00651259,0.00651259,181.4423,31.6647,14.6994,10.9003
7,1526,0.976667,boundary(r=t),6949,0.0,1.0,0.00681914,0.00681914,172.1865,0.0,0.0,0.0
8,1744,0.973333,"[0.0,0.1)",1829,0.048183,1.0,0.00659106,0.00659106,181.5409,32.2253,33.8226,1.5972
8,1744,0.973333,"[0.1,0.3)",2921,0.191725,1.0,0.00576923,0.00576923,212.9708,32.4111,29.3339,5.5003
8,1744,0.973333,"[0.3,0.5)",1600,0.38643,1.0,0.00589408,0.00589408,210.7315,32.4004,20.1796,7.6714
8,1744,0.973333,"[0.5,0.7)",552,0.571405,1.0,0.00628413,0.00628413,188.5862,32.3673,16.1268,9.2108
8,1744,0.973333,"[0.7,1.0)",48,0.747945,1.0,0.00603872,0.00603872,216.128,32.1298,15.9478,11.9108
8,1744,0.973333,boundary(r=t),6949,0.0,1.0,0.00687772,0.00687772,170.6048,0.0,0.0,0.0
9,1962,0.97,"[0.0,0.1)",1801,0.050353,1.0,0.00646446,0.00646446,187.971,32.0384,34.7115,1.7155
9,1962,0.97,"[0.1,0.3)",2931,0.194611,1.0,0.00577963,0.00577963,213.7372,32.529,30.5246,5.8249
9,1962,0.97,"[0.3,0.5)",1611,0.387933,1.0,0.00591624,0.00591624,216.0881,32.5476,20.8027,7.8884
9,1962,0.97,"[0.5,0.7)",538,0.573259,1.0,0.00672215,0.00672215,174.713,32.3975,15.754,9.0131
9,1962,0.97,"[0.7,1.0)",69,0.746571,1.0,0.00603083,0.00603083,230.3029,32.0982,14.9832,11.1439
9,1962,0.97,boundary(r=t),6949,0.0,1.0,0.00705598,0.00705598,167.5514,0.0,0.0,0.0
10,2180,0.966667,"[0.0,0.1)",1807,0.049243,1.0,0.00659527,0.00659527,183.6779,32.3278,34.9173,1.6755
10,2180,0.966667,"[0.1,0.3)",2908,0.193044,1.0,0.00590301,0.00590301,212.462,32.5407,30.2804,5.772
10,2180,0.966667,"[0.3,0.5)",1629,0.388427,1.0,0.00595166,0.00595166,220.098,32.5903,20.9798,7.9966
10,2180,0.966667,"[0.5,0.7)",534,0.576414,1.0,0.00642121,0.00642121,182.9487,32.3635,15.5498,8.9452
10,2180,0.966667,"[0.7,1.0)",72,0.747844,1.0,0.00575847,0.00575847,235.1483,32.2911,15.5143,11.6107
10,2180,0.966667,boundary(r=t),6949,0.0,1.0,0.00711,0.00711,164.6777,0.0,0.0,0.0
11,2398,0.963333,"[0.0,0.1)",1805,0.049921,1.0,0.00674997,0.00674997,182.6658,32.2652,34.1513,1.6784
11,2398,0.963333,"[0.1,0.3)",2941,0.193672,1.0,0.0060022,0.0060022,208.4118,32.6076,29.4722,5.6217
11,2398,0.963333,"[0.3,0.5)",1602,0.386933,1.0,0.00585239,0.00585239,232.1146,32.5933,21.6459,8.2373
11,2398,0.963333,"[0.5,0.7)",540,0.577296,1.0,0.00675612,0.00675612,177.7646,32.4482,15.1576,8.7463
11,2398,0.963333,"[0.7,1.0)",62,0.744759,1.0,0.00613021,0.00613021,215.9916,31.6218,15.0654,11.2584
11,2398,0.963333,boundary(r=t),6949,0.0,1.0,0.00731165,0.00731165,161.5265,0.0,0.0,0.0
12,2616,0.96,"[0.0,0.1)",1779,0.049573,1.0,0.00690893,0.00690893,176.9231,32.3004,34.1801,1.6747
12,2616,0.96,"[0.1,0.3)",2976,0.191958,1.0,0.00613623,0.00613623,201.9456,32.6303,29.2975,5.5082
12,2616,0.96,"[0.3,0.5)",1620,0.386313,1.0,0.00585985,0.00585985,223.1534,32.6618,21.0086,7.9971
12,2616,0.96,"[0.5,0.7)",518,0.575737,1.0,0.00665352,0.00665352,183.3103,32.4952,15.33,8.7837
12,2616,0.96,"[0.7,1.0)",57,0.755434,1.0,0.00627816,0.00627816,347.4045,31.103,15.6628,11.8421
12,2616,0.96,boundary(r=t),6949,0.0,1.0,0.00728038,0.00728038,162.7987,0.0,0.0,0.0
13,2834,0.956667,"[0.0,0.1)",1839,0.049112,1.0,0.00694171,0.00694171,178.3349,32.2765,33.567,1.6114
13,2834,0.956667,"[0.1,0.3)",2968,0.194414,1.0,0.00601551,0.00601551,208.9697,32.566,29.7699,5.7297
13,2834,0.956667,"[0.3,0.5)",1561,0.385987,1.0,0.00568236,0.00568236,234.1878,32.6943,22.5533,8.5396
13,2834,0.956667,"[0.5,0.7)",515,0.576344,1.0,0.00648565,0.00648565,178.7745,32.4305,15.4465,8.8718
13,2834,0.956667,"[0.7,1.0)",67,0.753877,1.0,0.00576951,0.00576951,237.5455,32.3618,17.1096,12.9518
13,2834,0.956667,boundary(r=t),6949,0.0,1.0,0.00732515,0.00732515,160.7222,0.0,0.0,0.0
14,3052,0.953333,"[0.0,0.1)",1872,0.049798,1.0,0.00713885,0.00713885,173.8269,32.4354,33.6504,1.6612
14,3052,0.953333,"[0.1,0.3)",2883,0.19356,1.0,0.00604262,0.00604262,212.7494,32.6736,30.4648,5.8531
14,3052,0.953333,"[0.3,0.5)",1619,0.386234,1.0,0.00579992,0.00579992,232.3436,32.6533,22.2643,8.4086
14,3052,0.953333,"[0.5,0.7)",520,0.574871,1.0,0.00650355,0.00650355,183.7929,32.2422,15.8548,9.0815
14,3052,0.953333,"[0.7,1.0)",56,0.746605,1.0,0.00634507,0.00634507,274.1021,32.0823,16.9512,12.6703
14,3052,0.953333,boundary(r=t),6949,0.0,1.0,0.0074712,0.0074712,158.2624,0.0,0.0,0.0
