round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
1,220,0.003333,0.996667,1.0,1.0,1.0,1.0,1.0,1,0
2,440,0.006667,0.993333,1.0,1.0,1.0,1.0,1.0,1,0
3,660,0.01,0.99,1.0,1.0,1.0,1.0,1.0,1,0
4,880,0.013333,0.986667,1.0,1.0,1.0,1.0,1.0,0,1
5,1100,0.016667,0.983333,1.0,1.0,1.0,1.0,1.0,1,0
6,1320,0.02,0.98,1.0,1.0,1.0,1.0,1.0,0,1
7,1540,0.023333,0.976667,1.0,1.0,1.0,1.0,1.0,0,2
8,1760,0.026667,0.973333,1.0,1.0,1.0,1.0,1.0,1,0
9,1980,0.03,0.97,1.0,1.0,1.0,1.0,1.0,0,1
10,2200,0.033333,0.966667,1.0,1.0,1.0,1.0,1.0,0,2
11,2420,0.036667,0.963333,1.0,1.0,1.0,1.0,1.0,0,3
12,2640,0.04,0.96,1.0,1.0,1.0,1.0,1.0,1,0
13,2860,0.043333,0.956667,1.0,1.0,1.0,1.0,1.0,0,1
14,3080,0.046667,0.953333,1.0,1.0,1.0,1.0,1.0,0,2
15,3300,0.05,0.95,1.0,1.0,1.0,1.0,1.0,0,3
16,3520,0.053333,0.946667,1.0,1.0,1.0,1.0,1.0,0,4
17,3740,0.056667,0.943333,1.0,1.0,1.0,1.0,1.0,0,5
18,3960,0.06,0.94,1.0,1.0,1.0,1.0,1.0,0,6
19,4180,0.063333,0.936667,1.0,1.0,1.0,1.0,1.0,0,7
20,4400,0.066667,0.933333,1.0,1.0,1.0,1.0,1.0,0,8
21,4620,0.07,0.93,1.0,1.0,1.0,1.0,1.0,0,9
22,4840,0.073333,0.926667,1.0,1.0,1.0,1.0,1.0,0,10
23,5060,0.076667,0.923333,1.0,1.0,1.0,1.0,1.0,1,0
24,5280,0.08,0.92,1.0,1.0,1.0,1.0,1.0,0,1
25,5500,0.083333,0.916667,1.0,1.0,1.0,1.0,1.0,0,2
26,5720,0.086667,0.913333,1.0,1.0,1.0,1.0,1.0,1,0
27,5940,0.09,0.91,1.0,1.0,1.0,1.0,1.0,1,0
28,6160,0.093333,0.906667,1.0,1.0,1.0,1.0,1.0,0,1
29,6380,0.096667,0.903333,1.0,1.0,1.0,1.0,1.0,0,2
30,6600,0.1,0.9,1.0,1.0,1.0,1.0,1.0,0,3
31,6820,0.103333,0.896667,1.0,1.0,1.0,1.0,1.0,0,4
32,7040,0.106667,0.893333,1.0,1.0,1.0,1.0,1.0,0,5
33,7260,0.11,0.89,1.0,1.0,1.0,1.0,1.0,1,0
34,7480,0.113333,0.886667,1.0,1.0,1.0,1.0,1.0,0,1
35,7700,0.116667,0.883333,1.0,1.0,1.0,1.0,1.0,0,2
36,7920,0.12,0.88,1.0,1.0,1.0,1.0,1.0,0,3
37,8140,0.123333,0.876667,1.0,1.0,1.0,1.0,1.0,0,4
38,8360,0.126667,0.873333,1.0,1.0,1.0,1.0,1.0,0,5
39,8580,0.13,0.87,1.0,1.0,1.0,1.0,1.0,0,6
40,8800,0.133333,0.866667,1.0,1.0,1.0,1.0,1.0,0,7
41,9020,0.136667,0.863333,1.0,1.0,1.0,1.0,1.0,0,8
42,9240,0.14,0.86,1.0,1.0,1.0,1.0,1.0,0,9
43,9460,0.143333,0.856667,1.0,1.0,1.0,1.0,1.0,0,10
44,9680,0.146667,0.853333,1.0,1.0,1.0,1.0,1.0,0,11
45,9900,0.15,0.85,1.0,1.0,1.0,1.0,1.0,0,12
46,10120,0.153333,0.846667,1.0,1.0,1.0,1.0,1.0,0,13
47,10340,0.156667,0.843333,1.0,1.0,1.0,1.0,1.0,0,14
48,10560,0.16,0.84,1.0,1.0,1.0,1.0,1.0,0,15
49,10780,0.163333,0.836667,1.0,1.0,1.0,1.0,1.0,0,16
50,11000,0.166667,0.833333,1.0,1.0,1.0,1.0,1.0,0,17
51,11220,0.17,0.83,1.0,1.0,1.0,1.0,1.0,0,18
52,11440,0.173333,0.826667,1.0,1.0,1.0,1.0,1.0,0,19
53,11660,0.176667,0.823333,1.0,1.0,1.0,1.0,1.0,1,0
54,11880,0.18,0.82,1.0,1.0,1.0,1.0,1.0,0,1
55,12100,0.183333,0.816667,1.0,1.0,1.0,1.0,1.0,0,2
56,12320,0.186667,0.813333,1.0,1.0,1.0,1.0,1.0,0,3
57,12540,0.19,0.81,1.0,1.0,1.0,1.0,1.0,0,4
58,12760,0.193333,0.806667,1.0,1.0,1.0,1.0,1.0,0,5
59,12980,0.196667,0.803333,1.0,1.0,1.0,1.0,1.0,0,6
60,13200,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0,7
61,13420,0.203333,0.796667,1.0,1.0,1.0,1.0,1.0,1,0
62,13640,0.206667,0.793333,1.0,1.0,1.0,1.0,1.0,0,1
63,13860,0.21,0.79,1.0,1.0,1.0,1.0,1.0,0,2
64,14080,0.213333,0.786667,1.0,1.0,1.0,1.0,1.0,0,3
65,14300,0.216667,0.783333,1.0,1.0,1.0,1.0,1.0,0,4
66,14520,0.22,0.78,1.0,1.0,1.0,1.0,1.0,0,5
67,14740,0.223333,0.776667,1.0,1.0,1.0,1.0,1.0,0,6
68,14960,0.226667,0.773333,1.0,1.0,1.0,1.0,1.0,0,7
69,15180,0.23,0.77,1.0,1.0,1.0,1.0,1.0,0,8
70,15400,0.233333,0.766667,1.0,1.0,1.0,1.0,1.0,0,9
71,15620,0.236667,0.763333,1.0,1.0,1.0,1.0,1.0,0,10
72,15840,0.24,0.76,1.0,1.0,1.0,1.0,1.0,0,11
